Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Sqrt-x (sx) error,CNOT error
,5.071725942346568,88.03268609634033,113.51949954605824,2.8899999999999926e-2,0.00041211217271453155,"cx0_1: 1.172e-2 "
1,5.020809208733417,77.14362320725994,88.774155631733,1.4699999999999935e-2,0.00034086084681269187,"cx1_4: 2.205e-2 , cx1_2: 1.791e-2 , cx1_0: 1.172e-2 "
2,4.818413360080975,73.30109991459325,46.40048995131314,2.1199999999999997e-2,0.0002801121411824733,"cx2_3: 1.309e-2 , cx2_1: 1.791e-2 "
3,4.894784646960649,91.00949424410032,58.6829983947073,1.0299999999999976e-2,0.000553962200387889,"cx3_5: 1.847e-2 , cx3_2: 1.309e-2 "
4,5.0849977889761355,57.15265790806221,61.64451102288916,2.1299999999999986e-2,0.0010169624915069323,"cx4_7: 2.027e-2 , cx4_1: 2.205e-2 "
5,4.80387455929833,113.1643737437308,28.78073749680645,9.319999999999995e-2,0.00040931951928660797,"cx5_8: 1.835e-2 , cx5_3: 1.847e-2 "
6,5.201563185959604,48.130556155192366,62.3514183739847,1.1600000000000055e-2,0.00032060900897682505,"cx6_7: 1.649e-2 "
7,5.142364821801888,92.90740390158568,43.295298917295895,2.0000000000000018e-2,0.0006361034990233049,"cx7_10: 1.061e-2 , cx7_6: 1.649e-2 , cx7_4: 2.027e-2 "
8,5.068804125367141,92.49743839634311,58.233020063440655,5.5199999999999916e-2,0.0007561181027111057,"cx8_11: 1.166e-2 , cx8_9: 1.312e-2 , cx8_5: 1.835e-2 "
9,5.170181646802784,44.715976919505565,45.33975609073812,1.8199999999999994e-2,0.0007381347305489316,"cx9_8: 1.312e-2 "
10,4.9193154208960905,88.93110888021486,162.20009658865618,1.760000000000006e-2,0.00046727424020495705,"cx10_12: 1.044e-2 , cx10_7: 1.061e-2 "
11,4.959295801267324,144.09430430209304,163.8160034373767,1.4699999999999935e-2,0.00030827718764505843,"cx11_8: 1.166e-2 , cx11_14: 1.002e-2 "
12,5.042163748852269,58.871491804467034,97.77364786177216,1.980000000000004e-2,0.0004005569469379617,"cx12_15: 1.074e-2 , cx12_10: 1.044e-2 , cx12_13: 1.011e-2 "
13,5.113720167107498,78.71924397857669,116.33187761012363,8.80000000000003e-3,0.00026372150152554317,"cx13_12: 1.011e-2 , cx13_14: 1.092e-2 "
14,4.898873224770518,49.13603546989986,81.20631792812097,1.0099999999999998e-2,0.00048249642387142777,"cx14_16: 1.426e-2 , cx14_13: 1.092e-2 , cx14_11: 1.002e-2 "
15,4.849707458355365,85.65853019087238,73.26653716752458,2.939999999999998e-2,0.0008380987660037056,"cx15_12: 1.074e-2 , cx15_18: 1.722e-2 "
16,5.020796627965027,79.40215697038936,64.02236879401681,1.2799999999999923e-2,0.00038095405184994743,"cx16_14: 1.426e-2 , cx16_19: 8.971e-3 "
17,5.050708705206731,74.31288029393727,141.5083032840971,2.1199999999999997e-2,0.0005254246566328449,"cx17_18: 2.079e-2 "
18,4.936704264583497,63.89114790026944,88.40578751941796,2.42e-2,0.0005127134740335531,"cx18_17: 2.079e-2 , cx18_15: 1.722e-2 , cx18_21: 1.468e-2 "
19,4.762805384051252,47.169096823878064,90.58646604415847,1.0199999999999987e-2,0.00035828427959665285,"cx19_22: 9.036e-3 , cx19_20: 1.063e-2 , cx19_16: 8.971e-3 "
20,5.038632676462641,91.37780661874694,196.97779336329342,1.6199999999999992e-2,0.00046205245834874217,"cx20_19: 1.063e-2 "
21,4.834465365049849,137.73962948049396,41.10166793624614,6.299999999999994e-2,0.0004271288922051484,"cx21_23: 3.811e-2 , cx21_18: 1.468e-2 "
22,4.9896149431064005,80.01982342584108,41.45805094371846,1.5300000000000091e-2,0.0003439017387587051,"cx22_19: 9.036e-3 , cx22_25: 1.672e-2 "
23,5.126319774986092,111.54413670388706,75.9143082511648,1.2899999999999912e-2,0.00082302464219359,"cx23_24: 1.214e-2 , cx23_21: 3.811e-2 "
24,4.978692546243745,82.1232810621965,132.83055160471932,8.000000000000007e-3,0.00026736667814013254,"cx24_25: 1.066e-2 , cx24_23: 1.214e-2 "
25,4.852040922254762,77.95094538104641,72.49212700989602,4.310000000000003e-2,0.00043897769530675034,"cx25_22: 1.672e-2 , cx25_26: 1.100e-2 , cx25_24: 1.066e-2 "
26,4.958283647122796,87.80695887690042,130.397014381694,1.3600000000000056e-2,0.00027763094290537006,"cx26_25: 1.100e-2 "
