Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
,5.0278790816390115,69.73287235429953,68.06319972842319,1.539999999999997e-2,0.00030370431490299893,"cx0_1: 8.835e-3 "
1,4.972130638664764,97.41082051444218,150.23745962380974,1.6699999999999937e-2,0.00024633482483529286,"cx1_4: 7.815e-3 , cx1_2: 8.560e-3 , cx1_0: 8.835e-3 "
2,4.779374193333535,87.5870262350054,88.76754257741396,1.2399999999999967e-2,0.00022355581484211076,"cx2_3: 6.764e-3 , cx2_1: 8.560e-3 "
3,4.849564189177385,140.02435230371063,195.39902914233608,1.5900000000000025e-2,0.00020635212311723253,"cx3_5: 7.391e-3 , cx3_2: 6.764e-3 "
4,4.750782535693028,153.94547777572797,169.64031704090274,2.9900000000000038e-2,0.00030881548982581987,"cx4_7: 9.957e-3 , cx4_1: 7.815e-3 "
5,4.704889696608877,133.88765175920244,204.24690898094997,2.4399999999999977e-2,0.0002352303030949402,"cx5_8: 7.691e-3 , cx5_3: 7.391e-3 "
6,4.857669105521418,80.13107660148975,101.50271568860805,4.810000000000003e-2,0.0002187543973841222,"cx6_7: 3.666e-2 "
7,4.704998885738405,114.56290007763319,91.19364010483037,1.2570000000000003e-1,0.0004509385361570736,"cx7_10: 1.253e-2 , cx7_4: 9.957e-3 , cx7_6: 3.666e-2 "
8,4.769317999133454,139.2152904654576,280.7438111536794,2.279999999999993e-2,0.00019018770606976182,"cx8_5: 7.691e-3 , cx8_11: 8.754e-3 , cx8_9: 7.271e-3 "
9,4.864387434430671,122.75509788596437,202.81192217955362,4.84e-2,0.0003247987903085656,"cx9_8: 7.271e-3 "
10,4.85452592711482,67.29239748987393,106.21972265144821,1.089999999999991e-2,0.0002718567030798506,"cx10_7: 1.253e-2 , cx10_12: 8.883e-3 "
11,4.854113504120058,107.4937569213539,87.87543247553016,6.620000000000004e-2,0.000988642949718006,"cx11_14: 1.079e-2 , cx11_8: 8.754e-3 "
12,4.744388167398567,124.4937425700741,23.161980531678495,8.340000000000003e-2,0.00052648088866066,"cx12_13: 2.402e-2 , cx12_15: 1.193e-2 , cx12_10: 8.883e-3 "
13,4.846260017275836,119.47086675548917,149.20348590795626,1.4100000000000001e-2,0.0010477689115894904,"cx13_14: 1.357e-2 , cx13_12: 2.402e-2 "
14,4.78247180929465,81.25394631356534,70.54748261318912,3.4499999999999975e-2,0.00019948654583013732,"cx14_13: 1.357e-2 , cx14_11: 1.079e-2 , cx14_16: 6.973e-3 "
15,4.833426305430135,122.6958038251414,133.64063818242653,3.620000000000001e-2,0.0003783029573427645,"cx15_12: 1.193e-2 , cx15_18: 8.848e-3 "
16,4.999855431594458,79.17758751524921,136.23389437190656,1.2900000000000023e-2,0.00020990047783086107,"cx16_14: 6.973e-3 , cx16_19: 6.239e-3 "
17,4.752436465794632,136.5003110377126,174.952456135652,2.6799999999999935e-2,0.00023392281178816798,"cx17_18: 7.924e-3 "
18,4.629355349052167,86.62051388330372,43.99410471706412,4.289999999999994e-2,0.00036190816693773954,"cx18_21: 9.877e-3 , cx18_17: 7.924e-3 , cx18_15: 8.848e-3 "
19,4.756448767347544,131.70755818155754,235.99190490797235,8.799999999999919e-3,0.000209520116624801,"cx19_20: 7.928e-3 , cx19_16: 6.239e-3 , cx19_22: 6.623e-3 "
20,4.886514685528639,101.70631020149031,156.88389135521356,2.62e-2,0.0006064925310170436,"cx20_19: 7.928e-3 "
21,4.680575531623761,148.39744440616727,197.15866895271637,1.8399999999999972e-2,0.00020200348542822306,"cx21_23: 8.643e-3 , cx21_18: 9.877e-3 "
22,4.854417531640938,104.10439741755542,117.4313056608168,1.5900000000000025e-2,0.00022876781390245645,"cx22_19: 6.623e-3 , cx22_25: 8.988e-3 "
23,4.7321741318692485,108.8318510441215,75.17358970123432,4.379999999999995e-2,0.00032416867547218156,"cx23_24: 1.247e-2 , cx23_21: 8.643e-3 "
24,4.828478587634399,89.91881246029385,87.40803518231013,2.949999999999997e-2,0.00043412952786213037,"cx24_25: 1.441e-2 , cx24_23: 1.247e-2 "
25,4.729959621056805,110.15355271903212,177.56784097911222,2.639999999999998e-2,0.0003063962945497271,"cx25_24: 1.441e-2 , cx25_22: 8.988e-3 , cx25_26: 8.488e-3 "
26,4.847495555535398,101.86282620422087,201.12898257358532,1.1400000000000077e-2,0.0002859611617158476,"cx26_25: 8.488e-3 "
