Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
,4.838189794770782,49.79858946356395,97.68779577984428,9.870000000000001e-2,0.0004155498324087418,"cx0_10: 1.730e-2 , cx0_1: 1.237e-2 "
1,4.681068418405325,52.15242741651688,51.98625780243743,2.4399999999999977e-2,0.0004893172895894198,"cx1_0: 1.237e-2 , cx1_2: 1.608e-2 "
2,4.946570789977157,67.61003256880308,113.75989275225368,4.0899999999999936e-2,0.0005919512553866718,"cx2_1: 1.608e-2 , cx2_3: 1.586e-2 "
3,4.765708615929322,53.49630157823406,70.04803797088707,2.0499999999999963e-2,0.0006249810043129573,"cx3_4: 1.723e-2 , cx3_2: 1.586e-2 "
4,4.7101902455227265,51.42339738528226,72.40166974233044,2.8799999999999937e-2,0.0007783364515649344,"cx4_3: 1.723e-2 , cx4_5: 1.337e-2 , cx4_11: 1.686e-2 "
5,4.5742366467963995,37.96899678227377,44.664924367592214,3.8900000000000046e-2,0.00042170217345873894,"cx5_4: 1.337e-2 , cx5_6: 1.277e-2 "
6,4.758339282406247,63.55516475504258,77.24633641374811,2.52e-2,0.00033303403072514266,"cx6_5: 1.277e-2 , cx6_7: 1.019e-2 "
7,4.630147898673506,74.10616699212282,123.09027794510007,1.9500000000000073e-2,0.00031578759902773995,"cx7_6: 1.019e-2 , cx7_8: 1.146e-2 "
8,4.778063267186409,53.05633242547263,94.10577642796441,1.8399999999999972e-2,0.0004570428064092248,"cx8_9: 1.378e-2 , cx8_12: 2.255e-2 , cx8_7: 1.146e-2 "
9,4.929224260839386,49.434553345438324,84.81853390604694,1.1700000000000044e-2,0.00035089690265667,"cx9_8: 1.378e-2 "
10,4.688263706543925,79.68180741661482,114.77461229973565,3.059999999999996e-2,0.0004040395049316537,"cx10_0: 1.730e-2 , cx10_13: 1.482e-2 "
11,4.763926148221612,52.51299805673181,117.0311163914034,9.07e-2,0.0005909626563066473,"cx11_4: 1.686e-2 , cx11_17: 1.090e-2 "
12,4.9391356203300765,67.85708457570722,112.72214523055267,1.3900000000000023e-2,0.00040927315055972656,"cx12_21: 1.839e-2 , cx12_8: 2.255e-2 "
13,4.840223693643146,84.46045869444343,62.28001410663582,1.6100000000000003e-2,0.0003283066103012125,"cx13_10: 1.482e-2 , cx13_14: 3.350e-2 "
14,4.632069447160154,58.73634985698107,7.137467310081379,1.0160000000000002e-1,0.002692383941010602,"cx14_15: 3.749e-2 , cx14_13: 3.350e-2 "
15,4.802977849648434,77.34969863568996,91.71735899641261,3.210000000000002e-2,0.0010344341104896234,"cx15_14: 3.749e-2 , cx15_16: 1.085e-2 , cx15_24: 1.095e-2 "
16,4.649003668532606,60.12225658267207,77.87793500969387,5.159999999999998e-2,0.0003153202393240682,"cx16_15: 1.085e-2 , cx16_17: 1.041e-2 "
17,4.877029290882539,58.10667373563629,81.51491493639175,1.6100000000000003e-2,0.00038776649867272264,"cx17_11: 1.090e-2 , cx17_16: 1.041e-2 , cx17_18: 1.077e-2 "
18,4.817084860862353,81.44564765747079,114.50367333271649,1.4100000000000001e-2,0.0004207213203639762,"cx18_19: 1.689e-2 , cx18_17: 1.077e-2 "
19,4.999255730228442,48.279153850973934,38.12776339981295,1.9000000000000017e-2,0.0004509723248568413,"cx19_20: 1.296e-2 , cx19_18: 1.689e-2 , cx19_25: 1.598e-2 "
20,4.842862836393448,77.2942806860414,36.99470472791275,1.1400000000000077e-2,0.00047977934015984273,"cx20_21: 1.218e-2 , cx20_19: 1.296e-2 "
21,4.779516538581505,60.999351491489506,72.27607856093304,1.7199999999999993e-2,0.0003818158822125682,"cx21_12: 1.839e-2 , cx21_22: 1.822e-2 , cx21_20: 1.218e-2 "
22,4.934841779034955,52.85104475743315,90.00733733368611,1.8900000000000028e-2,0.0004688068380392939,"cx22_21: 1.822e-2 , cx22_23: 1.458e-2 "
23,4.797162362697947,31.526442870455284,52.85282214595732,4.8799999999999955e-2,0.0008257375148788565,"cx23_26: 2.241e-2 , cx23_22: 1.458e-2 "
24,5.012298762423124,78.10668304486262,98.20852857793572,1.2899999999999912e-2,0.00029956017305522107,"cx24_29: 2.086e-2 , cx24_15: 1.095e-2 "
25,4.8594319254288045,24.96837228080224,41.28058303695246,4.8899999999999944e-2,0.0007481992837853696,"cx25_33: 1.704e-2 , cx25_19: 1.598e-2 "
26,4.720577564604975,65.24434454680984,90.50607310563105,4.4499999999999984e-2,0.0008236337709562837,"cx26_23: 2.241e-2 , cx26_37: 8.824e-3 "
27,4.799702451913554,41.85341767053855,60.61813322716342,8.679999999999999e-2,0.00044357380161615513,"cx27_38: 1.238e-2 , cx27_28: 2.263e-2 "
28,4.895838609116247,29.106376397938696,23.30787341397835,2.1100000000000008e-2,0.0010106075048794527,"cx28_29: 1.896e-2 , cx28_27: 2.263e-2 "
