Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
,5.0734659927723955,118.70180744289134,171.6467336068788,2.2599999999999953e-2,0.0002059776899074639,"cx0_1: 7.043e-3 "
1,4.9438451663264695,86.16269725449617,46.628998489573746,1.9300000000000095e-2,0.0003354513472684784,"cx1_2: 1.882e-2 , cx1_4: 6.425e-3 , cx1_0: 7.043e-3 "
2,4.668156810860948,87.35044160482924,133.29789366568846,2.0399999999999974e-2,0.0002139244553952736,"cx2_3: 5.475e-3 , cx2_1: 1.882e-2 "
3,4.887313212473634,94.91020515749571,106.0324245571335,2.8000000000000025e-2,0.0002490326241972283,"cx3_2: 5.475e-3 , cx3_5: 8.204e-3 "
4,5.016356216671542,95.7901454235718,145.2371562083571,1.2900000000000023e-2,0.0001709788485218886,"cx4_1: 6.425e-3 , cx4_7: 1.000e+0 "
5,4.950751919798458,71.93195578452703,108.53658651779799,2.8299999999999992e-2,0.00031421515101178696,"cx5_8: 2.676e-2 , cx5_3: 8.204e-3 "
6,4.970621017841175,103.76133709485381,74.54761381846917,1.540000000000008e-2,0.0003163635434122114,"cx6_7: 8.957e-3 "
7,4.889861219279572,132.12979170086493,158.0545992605616,2.9900000000000038e-2,0.00025261053287331124,"cx7_10: 6.685e-3 , cx7_6: 8.957e-3 , cx7_4: 1.000e+0 "
8,4.769866431090671,189.1490200408612,64.1965075155755,6.489999999999996e-2,0.00031182393626719764,"cx8_5: 2.676e-2 , cx8_9: 1.043e-2 , cx8_11: 8.719e-3 "
9,4.9488745718038025,105.8611564469939,57.87490511715725,3.4399999999999986e-2,0.00041982738770282406,"cx9_8: 1.043e-2 "
10,4.966297947445354,74.41397177897447,143.2078518908291,3.8799999999999946e-2,0.00023341319445986439,"cx10_12: 5.718e-3 , cx10_7: 6.685e-3 "
11,4.664627730869942,175.3340864039531,188.2893289682692,1.9499999999999962e-2,0.00018417695001781673,"cx11_14: 4.632e-3 , cx11_8: 8.719e-3 "
12,4.741462218615108,131.86546122039962,70.4869677677942,4.139999999999999e-2,0.00016137138010264822,"cx12_13: 9.759e-3 , cx12_10: 5.718e-3 , cx12_15: 5.487e-3 "
13,4.879064759024886,110.87160658395698,152.7308874862703,2.0499999999999963e-2,0.00039108134547063565,"cx13_14: 6.906e-3 , cx13_12: 9.759e-3 "
14,4.774805538388497,81.95675776664774,159.12403408146278,1.0660000000000003e-1,0.00018881573295023338,"cx14_11: 4.632e-3 , cx14_13: 6.906e-3 , cx14_16: 4.904e-3 "
15,4.8608306737043225,172.69113871596966,165.12503454753138,7.420000000000004e-2,0.0001879711126316977,"cx15_18: 4.532e-3 , cx15_12: 5.487e-3 "
16,4.97832490829856,123.88794142088226,171.13231599747763,1.3900000000000023e-2,0.0001710255105255469,"cx16_14: 4.904e-3 , cx16_19: 8.760e-3 "
17,5.0002990605984206,102.41329324515291,43.26383893354146,1.5800000000000036e-2,0.00018495643599555241,"cx17_18: 4.305e-3 "
18,4.772460619599792,186.42924661462004,51.189342325041586,2.1100000000000008e-2,0.00018265584115191583,"cx18_21: 8.992e-3 , cx18_17: 4.305e-3 , cx18_15: 4.532e-3 "
19,4.8077556060809465,136.32138151005972,144.8401329531036,1.7299999999999982e-2,0.00014710475917089168,"cx19_16: 8.760e-3 , cx19_22: 4.833e-3 , cx19_20: 1.000e+0 "
20,5.044589679217895,19.95730107819457,123.11977635108131,2.3370000000000002e-1,0.0003853367118208799,"cx20_19: 1.000e+0 "
21,4.941012448216374,137.49389970875544,197.11101690788865,3.8799999999999946e-2,0.00045426090188956136,"cx21_18: 8.992e-3 , cx21_23: 1.000e+0 "
22,4.906802186917114,127.0063875056714,182.8453212005194,2.6599999999999957e-2,0.00018096204037752148,"cx22_19: 4.833e-3 , cx22_25: 6.937e-3 "
23,4.8916005922632735,131.15954608594217,181.70682236926802,2.310000000000001e-2,0.0002749646704470642,"cx23_24: 1.092e-2 , cx23_21: 1.000e+0 "
24,4.66436423563074,165.04977510981553,46.18407518045888,3.200000000000003e-2,0.00028646857543423516,"cx24_23: 1.092e-2 , cx24_25: 6.021e-3 "
25,4.742062914334763,94.35344419693135,70.74567228478145,4.8899999999999944e-2,0.00019873385938867568,"cx25_22: 6.937e-3 , cx25_26: 4.834e-3 , cx25_24: 6.021e-3 "
26,4.961653470203659,85.95745570360035,121.6996863317376,2.740000000000009e-2,0.00020263608688880143,"cx26_25: 4.834e-3 "
