Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
,5.091542542918527,45.317757494835085,73.06266791209124,2.6100000000000012e-2,0.00037641855034646285,"cx0_1: 9.327e-3 "
1,5.013704986398653,60.61469583224168,35.55116360545895,6.479999999999997e-2,0.00037508263891020274,"cx1_4: 9.711e-3 , cx1_2: 1.058e-2 , cx1_0: 9.327e-3 "
2,4.86304058589088,96.61621161325417,62.92244352002717,1.6699999999999937e-2,0.0002078650439672232,"cx2_3: 6.534e-3 , cx2_1: 1.058e-2 "
3,5.104398378018779,127.77720682893735,57.32174171073765,1.9100000000000006e-2,0.00022781445645352443,"cx3_5: 7.327e-3 , cx3_2: 6.534e-3 "
4,5.06405366099919,80.87911946737061,117.26637647540036,1.7000000000000015e-2,0.00030333635040495876,"cx4_7: 1.041e-2 , cx4_1: 9.711e-3 "
5,4.893171053559197,129.7020078938336,68.67627062847617,1.990000000000003e-2,0.00020943176893349814,"cx5_8: 1.296e-2 , cx5_3: 7.327e-3 "
6,4.993597884053054,116.27024517861193,248.57814487335085,4.190000000000005e-2,0.000253439488144544,"cx6_7: 8.561e-3 "
7,4.943160254618039,75.6227597925075,125.37987205279316,4.9900000000000055e-2,0.00033435884384097793,"cx7_10: 1.671e-2 , cx7_4: 1.041e-2 , cx7_6: 8.561e-3 "
8,4.761327755816078,134.61991926747402,138.42745032892762,3.1500000000000083e-2,0.0007711717091451548,"cx8_5: 1.296e-2 , cx8_11: 9.545e-3 , cx8_9: 7.495e-3 "
9,4.849739326038404,124.60617094916284,120.54188772819387,1.8199999999999994e-2,0.000187347894473884,"cx9_8: 7.495e-3 "
10,5.046745786953504,146.79860047002438,169.34881168486393,2.200000000000002e-2,0.0006375063644454173,"cx10_12: 2.651e-2 , cx10_7: 1.671e-2 "
11,4.8469024124726,125.11798621948063,112.43108740959913,1.4799999999999924e-2,0.00032524412904989607,"cx11_8: 9.545e-3 , cx11_14: 1.705e-2 "
12,4.999248743966834,92.22385735397299,22.38807966483222,1.4890000000000003e-1,0.0023342851358546463,"cx12_15: 3.967e-2 , cx12_10: 2.651e-2 , cx12_13: 2.637e-2 "
13,4.881597803530122,155.2370836543927,148.5269620259462,1.1400000000000077e-2,0.0002357958142244519,"cx13_14: 8.262e-3 , cx13_12: 2.637e-2 "
14,5.097446977094662,96.18995061306255,159.25025610115532,2.4699999999999944e-2,0.0006013679952938707,"cx14_13: 8.262e-3 , cx14_16: 8.703e-3 , cx14_11: 1.705e-2 "
15,4.761261474005099,132.0532247009009,61.093295994583556,5.34e-2,0.001618425610800214,"cx15_12: 3.967e-2 , cx15_18: 1.430e-2 "
16,4.96777102031823,113.79736791247177,140.82579778112478,2.0999999999999908e-2,0.0006728671378256534,"cx16_19: 1.315e-2 , cx16_14: 8.703e-3 "
17,5.054505362735944,91.55045560102683,40.22021374420472,6.35e-2,0.0001615609011797042,"cx17_18: 1.602e-2 "
18,4.894093811860156,70.58591127665642,33.474264067287336,1.37e-1,0.000523203244302005,"cx18_17: 1.602e-2 , cx18_21: 9.904e-3 , cx18_15: 1.430e-2 "
19,4.8935294575330355,90.75776797027292,144.2379477627833,3.0100000000000016e-2,0.0002406913579226487,"cx19_20: 9.277e-3 , cx19_16: 1.315e-2 , cx19_22: 1.055e-2 "
20,5.025951486669078,56.873178642760514,108.43976226793313,8.190000000000008e-2,0.00026650373343769704,"cx20_19: 9.277e-3 "
21,4.9425139373812,125.54324269650064,36.904804092246216,6.990000000000007e-2,0.0003248845451769325,"cx21_23: 2.004e-2 , cx21_18: 9.904e-3 "
22,4.9847240097105185,94.65521857314289,104.77666839901077,6.180000000000008e-2,0.00019642216372213936,"cx22_25: 1.308e-2 , cx22_19: 1.055e-2 "
23,5.071003523712308,99.95917751144732,150.74113204920397,3.649999999999998e-2,0.0026310039433445486,"cx23_21: 2.004e-2 , cx23_24: 4.211e-2 "
24,4.9692586057796735,99.25512496741825,145.34650141485832,3.810000000000002e-2,0.0002539322116982392,"cx24_23: 4.211e-2 , cx24_25: 9.290e-3 "
25,4.890702662623423,70.47460194935617,101.53360209702716,4.519999999999991e-2,0.0003720294292600892,"cx25_26: 1.114e-2 , cx25_22: 1.308e-2 , cx25_24: 9.290e-3 "
26,5.020548427731318,100.06242941346378,169.07339931458966,3.620000000000001e-2,0.00035929885907698,"cx26_25: 1.114e-2 "
