Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
,5.199091397642077,124.95079500528443,136.93521444098752,9.000000000000008e-3,0.00015382009465214258,"cx0_1: 4.069e-3 "
1,4.979614821156291,162.99151543692835,202.5225175910992,8.499999999999952e-3,0.0001640013234256213,"cx1_4: 4.627e-3 , cx1_2: 6.555e-3 , cx1_0: 4.069e-3 "
2,5.105710325138907,121.57807502638784,192.55665905508513,1.1600000000000055e-2,0.00018570625716685603,"cx2_3: 6.234e-3 , cx2_1: 6.555e-3 "
3,4.874367088505176,133.42807229320545,149.73575284657127,1.2599999999999945e-2,0.00019599589944777372,"cx3_5: 8.211e-3 , cx3_2: 6.234e-3 "
4,5.212601005010869,108.03506698758147,35.34632354022739,8.69999999999993e-3,0.00017857154941846112,"cx4_7: 6.874e-3 , cx4_1: 4.627e-3 "
5,5.1092815370812446,97.23088826592513,40.02168330269645,1.0299999999999976e-2,0.00022786117964761375,"cx5_8: 6.977e-3 , cx5_3: 8.211e-3 "
6,5.19551761161516,119.56726810272023,116.93632852058813,7.200000000000095e-3,0.0004492573558276905,"cx6_7: 7.812e-3 "
7,5.027032753839976,135.31020626165576,16.087659648965897,6.299999999999972e-3,0.00021347692647733532,"cx7_10: 7.117e-3 , cx7_6: 7.812e-3 , cx7_4: 6.874e-3 "
8,4.9462261181569245,159.72296435541773,128.1433461287021,9.000000000000008e-3,0.00016261907888246268,"cx8_5: 6.977e-3 , cx8_11: 6.605e-3 , cx8_9: 3.786e-3 "
9,5.052014020818768,148.45505446239568,139.02666291587985,8.799999999999919e-3,0.00014548734686837696,"cx9_8: 3.786e-3 "
10,5.157860957704571,78.7564968048215,112.31012508623714,8.599999999999941e-3,0.00019329646236439035,"cx10_7: 7.117e-3 , cx10_12: 8.866e-3 "
11,4.868484120006694,129.0903866582574,138.81700359371453,1.970000000000005e-2,0.00020462420298977542,"cx11_14: 1.078e-2 , cx11_8: 6.605e-3 "
12,4.948194370985169,123.02661615022562,20.33107380662468,1.4700000000000046e-2,0.00030328630161868814,"cx12_15: 6.298e-3 , cx12_10: 8.866e-3 , cx12_13: 5.536e-3 "
13,5.018702029666431,155.37157398594007,211.33416358326028,1.1900000000000022e-2,0.0004059206886448116,"cx13_12: 5.536e-3 , cx13_14: 1.038e-2 "
14,5.12419356662069,70.73759621418152,131.18040696734508,1.1299999999999977e-2,0.00024840445248288626,"cx14_11: 1.078e-2 , cx14_16: 5.766e-3 , cx14_13: 1.038e-2 "
15,5.0428225618357025,176.29105193855267,73.04696409374851,1.3900000000000023e-2,0.00025497662881997,"cx15_12: 6.298e-3 , cx15_18: 5.610e-3 "
16,5.209181846839771,110.23123650802711,92.48166759496654,7.340000000000002e-2,0.0002249594176599197,"cx16_14: 5.766e-3 , cx16_19: 1.419e-2 "
17,5.2427181140478325,97.36458037926086,114.88703875142593,3.8000000000000256e-3,0.0003141188729211999,"cx17_18: 5.701e-3 "
18,5.092395566161975,155.84853368029798,190.22801232886184,5.900000000000016e-3,0.00020766943310111555,"cx18_21: 3.144e-2 , cx18_17: 5.701e-3 , cx18_15: 5.610e-3 "
19,5.007939004763048,172.63111483621438,173.44446189398724,1.319999999999999e-2,0.00026013683834260015,"cx19_16: 1.419e-2 , cx19_20: 1.318e-2 , cx19_22: 6.416e-3 "
20,5.186516461566309,137.18234237426486,188.35782457642986,8.499999999999952e-3,0.00014127332992523202,"cx20_19: 1.318e-2 "
21,5.263931298520809,22.367039484883136,25.914091550240908,2.8000000000000025e-2,0.001460266230668774,"cx21_18: 3.144e-2 , cx21_23: 1.144e-2 "
22,5.113734624362234,130.2899159766276,21.125432712322286,9.800000000000031e-3,0.0002969616961792625,"cx22_25: 6.305e-3 , cx22_19: 6.416e-3 "
23,5.130671605772542,117.21799641231807,49.808032938624706,7.600000000000051e-3,0.0001638308738542204,"cx23_24: 4.128e-3 , cx23_21: 1.144e-2 "
24,4.99784093641881,142.12407021660817,31.201211923127207,4.899999999999904e-3,0.00014149361978684847,"cx24_23: 4.128e-3 , cx24_25: 6.892e-3 "
25,4.909965760783151,165.05222265684887,205.38607525801135,8.900000000000019e-3,0.00022879820243659686,"cx25_26: 6.978e-3 , cx25_22: 6.305e-3 , cx25_24: 6.892e-3 "
26,5.11998671692703,94.00574504566443,190.77916144020418,1.8000000000000016e-2,0.0002588751670736853,"cx26_25: 6.978e-3 "
