Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
,4.91071961711991,112.0127991857412,78.82142707602719,9.800000000000031e-3,0.00017697982009203967,"cx0_1: 9.075e-3 "
1,4.834684610668427,140.1752470635257,21.202407834569073,4.5499999999999985e-2,0.00025744477385966093,"cx1_4: 7.724e-3 , cx1_2: 8.126e-3 , cx1_0: 9.075e-3 "
2,4.982355949058488,119.86777815249108,144.47315027830746,1.9100000000000006e-2,0.0002504242999303708,"cx2_3: 7.960e-3 , cx2_1: 8.126e-3 "
3,5.104884346459089,82.49977484305687,55.153094735071086,8.69999999999993e-3,0.0002651399254435644,"cx3_5: 7.289e-3 , cx3_2: 7.960e-3 "
4,5.003736445577178,108.4225798992307,172.39653139527383,7.800000000000029e-3,0.00017710397346336738,"cx4_7: 7.162e-3 , cx4_1: 7.724e-3 "
5,5.033093411513592,61.13858201034667,90.84768237336414,1.1800000000000033e-2,0.0002271383463946483,"cx5_8: 6.820e-3 , cx5_3: 7.289e-3 "
6,4.950647147313542,155.21377579777862,24.93894872279025,4.620000000000002e-2,0.0007102264806005406,"cx6_7: 2.443e-2 "
7,4.905689345460055,126.99004348770124,69.03250745236318,3.939999999999999e-2,0.0004155404791304802,"cx7_10: 1.601e-2 , cx7_6: 2.443e-2 , cx7_4: 7.162e-3 "
8,4.908187812406281,117.16145141292948,113.31838999307757,1.0699999999999932e-2,0.00019687090547529842,"cx8_5: 6.820e-3 , cx8_11: 7.426e-3 , cx8_9: 6.880e-3 "
9,5.044616945447338,64.14442072653051,77.196241874756,2.290000000000003e-2,0.0004251761855140629,"cx9_8: 6.880e-3 "
10,5.081929905369862,117.32782907445424,88.28339742340846,7.900000000000018e-3,0.00044751303723400215,"cx10_7: 1.601e-2 , cx10_12: 9.468e-3 "
11,5.0341430107393,128.02308497365343,52.791719795687825,9.000000000000008e-3,0.00025850896020505665,"cx11_14: 6.793e-3 , cx11_8: 7.426e-3 "
12,4.97227727387259,134.72175154742925,113.00137722044268,5.879999999999996e-2,0.0007949890662752536,"cx12_13: 1.004e-2 , cx12_10: 9.468e-3 , cx12_15: 1.247e-2 "
13,4.868260032155958,160.6322972620507,82.00313265208176,6.60000000000005e-3,0.00015718765434898834,"cx13_12: 1.004e-2 , cx13_14: 7.692e-3 "
14,4.960969056442618,109.53548927492997,111.18349919043163,9.700000000000042e-3,0.00020767392528971978,"cx14_16: 1.094e-2 , cx14_11: 6.793e-3 , cx14_13: 7.692e-3 "
15,5.033899917990391,121.88559311111649,132.92757687201095,3.3299999999999996e-2,0.00036226413955375305,"cx15_18: 1.237e-2 , cx15_12: 1.247e-2 "
16,5.085532044380522,85.52901043178395,59.13285365133192,9.800000000000031e-3,0.0006219392728703777,"cx16_19: 1.297e-2 , cx16_14: 1.094e-2 "
17,5.0722279158871135,74.75090945962675,85.50579303738105,1.2199999999999989e-2,0.00029680268306142815,"cx17_18: 7.551e-3 "
18,4.981330904171257,79.55369451634489,13.059300823653222,3.479999999999994e-2,0.00035298641680805005,"cx18_21: 1.816e-2 , cx18_15: 1.237e-2 , cx18_17: 7.551e-3 "
19,4.9831798557396745,75.19733770438845,122.7700941795629,1.3399999999999967e-2,0.00023223952402831827,"cx19_22: 6.591e-3 , cx19_16: 1.297e-2 , cx19_20: 6.641e-3 "
20,5.082200041564508,90.610948042091,123.36381300242665,1.649999999999996e-2,0.0003209453099872781,"cx20_19: 6.641e-3 "
21,5.073315854118193,69.65334203831199,41.8232331254287,2.3299999999999987e-2,0.0004718243864503533,"cx21_18: 1.816e-2 , cx21_23: 1.024e-2 "
22,5.056974492774402,111.6079884694247,168.36730131177083,4.3200000000000016e-2,0.00027363781461512185,"cx22_19: 6.591e-3 , cx22_25: 1.503e-2 "
23,4.972845548485158,52.89368530090537,34.61487020325801,3.1000000000000028e-2,0.00027496134898825973,"cx23_21: 1.024e-2 , cx23_24: 1.003e-2 "
24,5.051499169176461,80.65958277422462,59.5082625001492,3.590000000000004e-2,0.0003090148981897792,"cx24_23: 1.003e-2 , cx24_25: 8.402e-3 "
25,4.934188915017774,45.73172887991552,78.23289556257434,9.000000000000008e-3,0.00029351681892807353,"cx25_26: 6.694e-3 , cx25_22: 1.503e-2 , cx25_24: 8.402e-3 "
26,4.999947790943794,96.46759425879749,161.57059595422777,1.0399999999999965e-2,0.0003138193957375479,"cx26_25: 6.694e-3 "
