Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.114621711511489,71.32106756982616,102.41449927678529,4.183978644302012e-4,4.183978644302012e-4,2.6499999999999968e-2,"cx0_14: 2.492e-2 , cx0_1: 1.843e-2 "
1,5.23503871516284,50.19498723625214,47.728364075207956,1.0042524463122974e-3,1.0042524463122974e-3,3.5700000000000065e-2,"cx1_13: 4.305e-2 , cx1_2: 1.473e-2 , cx1_0: 1.843e-2 "
2,5.038356392729712,53.16105211069983,62.779117846203924,6.693469486494128e-4,6.693469486494128e-4,4.1100000000000025e-2,"cx2_12: 5.560e-2 , cx2_3: 2.907e-2 , cx2_1: 1.473e-2 "
3,4.894450631891079,58.021400636079925,17.48180445538179,1.0612091500236409e-3,1.0612091500236409e-3,6.059999999999999e-2,"cx3_11: 3.419e-2 , cx3_4: 3.149e-2 , cx3_2: 2.907e-2 "
4,5.022087248371323,68.25270765048857,73.03990190979944,8.648278230413689e-4,8.648278230413689e-4,4.3399999999999994e-2,"cx4_10: 4.481e-2 , cx4_5: 2.751e-2 , cx4_3: 3.149e-2 "
5,5.073224611163873,19.419330885019857,32.372911443214136,2.7881350400977855e-3,2.7881350400977855e-3,5.7800000000000074e-2,"cx5_9: 3.543e-2 , cx5_6: 5.156e-2 , cx5_4: 2.751e-2 "
6,4.9294653522205785,67.88136633618807,73.3076496426577,1.6592402096110034e-3,1.6592402096110034e-3,1.866000000000001e-1,"cx6_8: 3.061e-2 , cx6_5: 5.156e-2 "
7,4.983244873960245,42.189182464521444,27.512101284082842,1.6103212138957879e-3,1.6103212138957879e-3,6.559999999999999e-2,"cx7_8: 2.799e-2 "
8,4.751431321984846,105.48845158260177,78.14201824409058,7.577620344854018e-4,7.577620344854018e-4,3.0000000000000027e-2,"cx8_6: 3.061e-2 , cx8_9: 2.650e-2 , cx8_7: 2.799e-2 "
9,4.973518170784609,36.08378088891272,55.028770007179574,3.210266597002098e-3,3.210266597002098e-3,4.760000000000009e-2,"cx9_5: 3.543e-2 , cx9_10: 2.901e-2 , cx9_8: 2.650e-2 "
10,4.944698530540347,64.22423206501318,39.243938767033356,1.1260692077635155e-3,1.1260692077635155e-3,4.1000000000000036e-2,"cx10_4: 4.481e-2 , cx10_11: 2.106e-2 , cx10_9: 2.901e-2 "
11,4.997443578451156,50.11265705810803,85.15292984056299,6.135524302248029e-4,6.135524302248029e-4,4.0100000000000025e-2,"cx11_3: 3.419e-2 , cx11_12: 1.786e-2 , cx11_10: 2.106e-2 "
12,4.763630144177076,73.55506793299364,54.90241515537368,8.832737710164472e-4,8.832737710164472e-4,5.369999999999997e-2,"cx12_2: 5.560e-2 , cx12_13: 2.609e-2 , cx12_11: 1.786e-2 "
13,4.973575005661678,25.128388166502205,27.796780492098847,2.7890936362750737e-3,2.7890936362750737e-3,5.940000000000001e-2,"cx13_14: 4.387e-2 , cx13_1: 4.305e-2 , cx13_12: 2.609e-2 "
14,5.007402435608253,37.71533982028009,45.30433211703277,1.5790876435366457e-3,1.5790876435366457e-3,8.299999999999996e-2,"cx14_0: 2.492e-2 , cx14_13: 4.387e-2 "
