Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.0278781394709124,80.83730864106262,72.2745558767539,2.250545958853049e-4,2.250545958853049e-4,1.2299999999999978e-2,"cx0_1: 7.779e-3 "
1,4.972130877185466,71.18203223800211,111.69066919134319,2.4246909836148946e-4,2.4246909836148946e-4,1.29999999999999e-2,"cx1_4: 8.178e-3 , cx1_2: 7.972e-3 , cx1_0: 7.779e-3 "
2,4.7793804666879325,83.7613909558769,85.53266373978248,1.9883665067125543e-4,1.9883665067125543e-4,9.600000000000053e-3,"cx2_3: 7.766e-3 , cx2_1: 7.972e-3 "
3,4.849579812546131,100.75864523196032,140.5957638924592,1.8759767936499372e-4,1.8759767936499372e-4,2.400000000000002e-2,"cx3_5: 1.300e-2 , cx3_2: 7.766e-3 "
4,4.750778596472717,132.42266506367764,106.55656577884108,2.698240050313392e-4,2.698240050313392e-4,2.7800000000000047e-2,"cx4_7: 9.929e-3 , cx4_1: 8.178e-3 "
5,4.7048870821591935,112.67998675384365,180.0756626342391,1.816951015526739e-4,1.816951015526739e-4,1.4799999999999924e-2,"cx5_8: 7.126e-3 , cx5_3: 1.300e-2 "
6,4.857668161642314,161.67582711172847,137.65409062864128,2.2537891473299558e-4,2.2537891473299558e-4,3.210000000000002e-2,"cx6_7: 4.567e-2 "
7,4.704534754162954,116.8817519187722,65.83961353515612,4.01043205104549e-4,4.01043205104549e-4,8.760000000000001e-2,"cx7_10: 1.228e-2 , cx7_4: 9.929e-3 , cx7_6: 4.567e-2 "
8,4.769316026732749,107.79243027810718,161.7875321951781,2.5258165776288234e-4,2.5258165776288234e-4,2.6999999999999913e-2,"cx8_5: 7.126e-3 , cx8_11: 1.960e-2 , cx8_9: 7.666e-3 "
9,4.864382773226011,129.05762841500604,139.8349076261319,2.362534476964342e-4,2.362534476964342e-4,4.420000000000002e-2,"cx9_8: 7.666e-3 "
10,4.854529728823291,103.11903102367468,81.17118243475133,2.863943531438614e-4,2.863943531438614e-4,1.200000000000001e-2,"cx10_7: 1.228e-2 , cx10_12: 9.091e-3 "
11,4.854094613928049,136.27060612934358,167.81555772628715,6.597793627812253e-4,6.597793627812253e-4,2.9299999999999993e-2,"cx11_14: 1.044e-2 , cx11_8: 1.960e-2 "
12,4.74477744480378,144.2872659855232,22.167594227000084,3.9418827369465116e-4,3.9418827369465116e-4,5.740000000000001e-2,"cx12_13: 1.960e-2 , cx12_15: 9.503e-3 , cx12_10: 9.091e-3 "
13,4.846306247664911,101.07770165161885,110.41603214265493,6.138948936415771e-4,6.138948936415771e-4,1.5100000000000002e-2,"cx13_14: 1.078e-2 , cx13_12: 1.960e-2 "
14,4.782467502064499,89.31395248964635,69.61158338264336,2.0989721831242406e-4,2.0989721831242406e-4,3.0899999999999928e-2,"cx14_13: 1.078e-2 , cx14_11: 1.044e-2 , cx14_16: 1.227e-2 "
15,4.833420273554383,39.31528099888169,65.50112780361344,3.367505311616374e-4,3.367505311616374e-4,3.180000000000005e-2,"cx15_12: 9.503e-3 , cx15_18: 1.009e-2 "
16,4.999853757032023,108.26448233142031,153.1549415982102,3.3186083232136966e-4,3.3186083232136966e-4,1.0800000000000032e-2,"cx16_14: 1.227e-2 , cx16_19: 2.272e-2 "
17,4.752436515788633,124.94693852777652,190.3268727288094,1.9831336380139793e-4,1.9831336380139793e-4,2.5499999999999967e-2,"cx17_18: 7.067e-3 "
18,4.629166657759182,83.87272468331106,48.00435876278716,3.691620673305741e-4,3.691620673305741e-4,3.9000000000000035e-2,"cx18_21: 1.045e-2 , cx18_17: 7.067e-3 , cx18_15: 1.009e-2 "
19,4.756691953597767,23.49217938100091,195.94666500791976,3.882374451393729e-4,3.882374451393729e-4,1.553e-1,"cx19_20: 1.975e-2 , cx19_16: 2.272e-2 , cx19_22: 1.109e-2 "
20,4.886503217863415,105.17316597740589,202.113776840102,3.04493906215424e-4,3.04493906215424e-4,1.330000000000009e-2,"cx20_19: 1.975e-2 "
21,4.680576315764063,109.67706368213938,135.2705064884278,2.4528946445264994e-4,2.4528946445264994e-4,2.1200000000000108e-2,"cx21_23: 9.253e-3 , cx21_18: 1.045e-2 "
22,4.854409138183477,61.104802570154796,77.50110260153578,4.38261517248822e-4,4.38261517248822e-4,2.42e-2,"cx22_19: 1.109e-2 , cx22_25: 9.552e-3 "
23,4.732179682574939,163.07320411885414,76.7832593971039,2.3646210753408282e-4,2.3646210753408282e-4,2.180000000000004e-2,"cx23_24: 9.064e-3 , cx23_21: 9.253e-3 "
24,4.8284910639735115,95.87404128938786,156.6446513862329,2.1210653247483223e-4,2.1210653247483223e-4,1.5800000000000036e-2,"cx24_25: 1.298e-2 , cx24_23: 9.064e-3 "
25,4.7299589275883545,69.5435976460815,95.9391872411064,3.2575017504001105e-4,3.2575017504001105e-4,4.059999999999997e-2,"cx25_24: 1.298e-2 , cx25_22: 9.552e-3 , cx25_26: 7.173e-3 "
26,4.847542647170736,76.27705668917702,98.83515923140004,2.675098136605688e-4,2.675098136605688e-4,1.0700000000000043e-2,"cx26_25: 7.173e-3 "
