Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.113290478533926,62.89772127201239,101.0166959432331,3.371519555149771e-4,3.371519555149771e-4,1.6599999999999948e-2,"cx0_1: 9.914e-3 "
1,5.1611502821715165,44.196468885476385,66.42561402041831,4.826004477518323e-4,4.826004477518323e-4,1.5800000000000036e-2,"cx1_0: 9.914e-3 , cx1_4: 7.132e-3 , cx1_2: 1.480e-2 "
2,5.3109918876512925,50.84155002712559,77.95105262552849,1.433541016462614e-3,1.433541016462614e-3,1.3800000000000034e-2,"cx2_3: 1.559e-2 , cx2_1: 1.480e-2 "
3,5.4600521422904205,60.91089477823272,69.20716150198115,1.450913013624706e-3,1.450913013624706e-3,2.6599999999999957e-2,"cx3_2: 1.559e-2 , cx3_5: 2.508e-2 "
4,5.3535069151264345,52.313852261541186,57.12965570311452,3.2310446969212087e-4,3.2310446969212087e-4,1.1800000000000033e-2,"cx4_7: 1.146e-2 , cx4_1: 7.132e-3 "
5,5.3034924197211515,103.46808244444937,101.52111696333303,4.571084499240328e-4,4.571084499240328e-4,1.550000000000007e-2,"cx5_3: 2.508e-2 , cx5_8: 8.741e-3 "
6,5.136354034470705,94.94204375113596,14.54626401296732,3.1805095480920057e-4,3.1805095480920057e-4,1.6000000000000014e-2,"cx6_7: 8.310e-3 "
7,5.202521819304339,106.67929254797326,125.84538034150751,2.450519064601805e-4,2.450519064601805e-4,1.4399999999999968e-2,"cx7_4: 1.146e-2 , cx7_6: 8.310e-3 , cx7_10: 7.331e-3 "
8,5.174617613503512,50.84524265903211,77.38793164894129,3.403057882091351e-4,3.403057882091351e-4,1.8399999999999972e-2,"cx8_9: 9.215e-3 , cx8_11: 7.845e-3 , cx8_5: 8.741e-3 "
9,5.253696433187782,91.42999954113635,69.78190626203182,2.41506862486088e-4,2.41506862486088e-4,1.419999999999999e-2,"cx9_8: 9.215e-3 "
10,5.426606729947814,82.52385170761121,96.13575915386187,2.8014130935138617e-4,2.8014130935138617e-4,1.8299999999999983e-2,"cx10_12: 1.447e-2 , cx10_7: 7.331e-3 "
11,5.3901835335572,62.97871196971895,81.62840484169523,3.3306900205796943e-4,3.3306900205796943e-4,2.1500000000000075e-2,"cx11_8: 7.845e-3 , cx11_14: 8.140e-3 "
12,5.263117001425814,50.257580333553705,72.11309242892976,2.2132215973060462e-4,2.2132215973060462e-4,1.5800000000000036e-2,"cx12_15: 6.590e-3 , cx12_10: 1.447e-2 , cx12_13: 8.696e-3 "
13,5.038195130902501,92.61929834945217,46.66953078514053,6.009924737129518e-4,6.009924737129518e-4,3.8000000000000034e-2,"cx13_12: 8.696e-3 , cx13_14: 9.569e-3 "
14,5.205031382269105,64.06752570545676,93.72995694046396,2.5500007223802553e-4,2.5500007223802553e-4,1.5800000000000036e-2,"cx14_11: 8.140e-3 , cx14_13: 9.569e-3 "
15,5.1254111665638105,82.68348142059445,109.5530387446344,2.3379507182539193e-4,2.3379507182539193e-4,1.9400000000000084e-2,"cx15_12: 6.590e-3 "
