Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.073462814921423,159.87993124584418,161.23516590787284,2.0056469709026198e-4,2.0056469709026198e-4,2.089999999999992e-2,"cx0_1: 3.067e-2 "
1,4.943844681620448,172.71188343294773,36.53713654834547,4.387432040599484e-4,4.387432040599484e-4,2.0199999999999996e-2,"cx1_2: 3.420e-2 , cx1_4: 1.404e-2 , cx1_0: 3.067e-2 "
2,4.668157502363186,71.79635917914032,123.99765778639733,2.196765027963209e-4,2.196765027963209e-4,1.4100000000000001e-2,"cx2_3: 5.618e-3 , cx2_1: 3.420e-2 "
3,4.887315883214115,112.4203171256432,187.9954854434302,3.065541555566093e-4,3.065541555566093e-4,3.710000000000002e-2,"cx3_2: 5.618e-3 , cx3_5: 6.955e-3 "
4,5.01635507577537,95.68769051084652,69.955557231525,2.402026686478811e-4,2.402026686478811e-4,1.5100000000000002e-2,"cx4_7: 5.204e-3 , cx4_1: 1.404e-2 "
5,4.950539585866738,93.61326963775646,125.61361411231961,2.162777062721698e-4,2.162777062721698e-4,1.869999999999994e-2,"cx5_8: 2.191e-2 , cx5_3: 6.955e-3 "
6,4.970622491726983,97.35672898365995,125.22003396944046,2.1981280474256117e-4,2.1981280474256117e-4,1.3000000000000012e-2,"cx6_7: 1.102e-2 "
7,4.889863864167805,121.17839009784142,149.2370106539427,1.8585647396926756e-4,1.8585647396926756e-4,2.059999999999995e-2,"cx7_10: 5.625e-3 , cx7_6: 1.102e-2 , cx7_4: 5.204e-3 "
8,4.769852625405965,83.94707006435891,55.1942563987273,2.7053333211825124e-4,2.7053333211825124e-4,6.099999999999994e-2,"cx8_5: 2.191e-2 , cx8_9: 1.189e-2 , cx8_11: 9.524e-3 "
9,4.948868138885028,123.92229685657686,59.7129502818714,2.603116226593832e-4,2.603116226593832e-4,2.950000000000008e-2,"cx9_8: 1.189e-2 "
10,4.966294754357908,111.93014813922707,140.9108512411943,2.3827406030798066e-4,2.3827406030798066e-4,4.0000000000000036e-2,"cx10_12: 5.772e-3 , cx10_7: 5.625e-3 "
11,4.664636564282378,124.42640866736399,95.61432905002299,2.4856063217108685e-4,2.4856063217108685e-4,1.7299999999999982e-2,"cx11_14: 4.685e-3 , cx11_8: 9.524e-3 "
12,4.7414619079527185,124.69120424014883,71.79244628631301,2.065075637361354e-4,2.065075637361354e-4,4.410000000000003e-2,"cx12_13: 1.136e-2 , cx12_10: 5.772e-3 , cx12_15: 5.034e-3 "
13,4.879064835799635,100.10942474357871,92.60751861141544,2.4898181450337464e-4,2.4898181450337464e-4,1.7199999999999993e-2,"cx13_14: 5.231e-3 , cx13_12: 1.136e-2 "
14,4.774809501962879,107.93367069728063,204.62601085738194,1.7758796319636606e-4,1.7758796319636606e-4,1.0119999999999996e-1,"cx14_11: 4.685e-3 , cx14_13: 5.231e-3 , cx14_16: 5.112e-3 "
15,4.860834948367331,108.14279470918582,140.52616328020082,1.6530893922883836e-4,1.6530893922883836e-4,7.840000000000003e-2,"cx15_18: 5.137e-3 , cx15_12: 5.034e-3 "
16,4.978318747333389,98.89617874757627,121.60357011388956,3.213658218204255e-4,3.213658218204255e-4,1.4499999999999957e-2,"cx16_14: 5.112e-3 , cx16_19: 1.374e-2 "
17,5.000300619491221,84.35212562619917,44.3587633824445,2.4068450432012685e-4,2.4068450432012685e-4,2.1299999999999986e-2,"cx17_18: 7.268e-3 "
18,4.772460318985625,117.19166507869474,54.61866556148401,2.6676441863976344e-4,2.6676441863976344e-4,2.2399999999999975e-2,"cx18_21: 7.718e-3 , cx18_17: 7.268e-3 , cx18_15: 5.137e-3 "
19,4.8077070359981215,133.2188006620393,170.4632622810825,1.7090891698571018e-4,1.7090891698571018e-4,1.859999999999995e-2,"cx19_16: 1.374e-2 , cx19_22: 4.662e-3 , cx19_20: 5.757e-3 "
20,5.045028334669125,91.4192211953385,142.98332288799443,2.1057196071004095e-4,2.1057196071004095e-4,2.859999999999996e-2,"cx20_19: 5.757e-3 "
21,4.941029753792486,55.481037164946756,93.28101902519704,3.0445404779882887e-4,3.0445404779882887e-4,2.1600000000000064e-2,"cx21_18: 7.718e-3 , cx21_23: 7.543e-3 "
22,4.9068015872462665,171.09481586484563,192.09594920551098,1.9322295843406375e-4,1.9322295843406375e-4,3.0200000000000005e-2,"cx22_19: 4.662e-3 , cx22_25: 5.537e-3 "
23,4.891601685652732,109.75552427765992,156.16813868639906,3.0966037392287727e-4,3.0966037392287727e-4,1.970000000000005e-2,"cx23_24: 1.080e-2 , cx23_21: 7.543e-3 "
24,4.664347869784968,161.2962696960434,69.40808472789023,2.3570754161126e-4,2.3570754161126e-4,3.079999999999994e-2,"cx24_23: 1.080e-2 , cx24_25: 6.128e-3 "
25,4.742061753511209,154.1450697832339,83.82170181880107,1.8367783963229033e-4,1.8367783963229033e-4,4.400000000000004e-2,"cx25_22: 5.537e-3 , cx25_26: 4.845e-3 , cx25_24: 6.128e-3 "
26,4.961661099733828,118.28557676958944,169.63640893557826,1.9630609928571516e-4,1.9630609928571516e-4,2.6800000000000046e-2,"cx26_25: 4.845e-3 "
