Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.224961799786612,89.41753541357497,51.594391561214685,2.7602666794712585e-4,2.7602666794712585e-4,4.8699999999999966e-2,"cx0_1: 7.391e-3 "
1,5.003481922228819,125.05750989335644,201.97853192619036,2.7623140873406845e-4,2.7623140873406845e-4,3.93e-2,"cx1_4: 7.971e-3 , cx1_2: 1.742e-2 , cx1_0: 7.391e-3 "
2,5.143799600140939,92.77468876700995,97.6602318668954,3.323945546699503e-4,3.323945546699503e-4,7.900000000000018e-3,"cx2_3: 7.402e-3 , cx2_1: 1.742e-2 "
3,5.209639170100635,118.22022575898818,162.21128084495092,4.4792302534352846e-4,4.4792302534352846e-4,8.69999999999993e-3,"cx3_5: 1.069e-2 , cx3_2: 7.402e-3 "
4,5.087695756170911,94.96774221641357,106.08739716473383,2.1107790616290824e-4,2.1107790616290824e-4,4.7900000000000054e-2,"cx4_7: 8.419e-3 , cx4_1: 7.971e-3 "
5,5.167240429927595,87.41097319356962,142.03022901158636,4.905940285732628e-4,4.905940285732628e-4,1.0399999999999965e-2,"cx5_8: 7.187e-3 , cx5_3: 1.069e-2 "
6,5.151656658749382,66.48986930975063,55.771595755182794,3.9284782189686165e-4,3.9284782189686165e-4,3.639999999999999e-2,"cx6_7: 8.831e-3 "
7,4.915434683770478,108.26119786679118,172.54574862910178,1.8464219966757655e-4,1.8464219966757655e-4,3.249999999999997e-2,"cx7_10: 9.056e-3 , cx7_6: 8.831e-3 , cx7_4: 8.419e-3 "
8,5.033352340648627,104.91431126286986,127.87646000889649,2.8049602482464384e-4,2.8049602482464384e-4,1.3900000000000023e-2,"cx8_9: 7.955e-3 , cx8_5: 7.187e-3 , cx8_11: 6.554e-3 "
9,5.08217592108707,118.22957680554906,221.94163981157547,2.7358688279540327e-4,2.7358688279540327e-4,9.199999999999986e-3,"cx9_8: 7.955e-3 "
10,5.097834332325323,119.47430501983432,125.36872395973438,2.863845606186692e-4,2.863845606186692e-4,6.299999999999994e-2,"cx10_12: 5.693e-2 , cx10_7: 9.056e-3 "
11,5.116582077659615,85.01843453987281,150.01601401880805,3.1873930307418387e-4,3.1873930307418387e-4,1.1499999999999955e-2,"cx11_8: 6.554e-3 , cx11_14: 9.749e-3 "
12,4.9277753350567135,140.3635250801068,207.29035533612313,9.659369244383357e-4,9.659369244383357e-4,6.479999999999997e-2,"cx12_15: 1.540e-2 , cx12_13: 9.176e-3 , cx12_10: 5.693e-2 "
13,5.1276733231941884,101.50245983274186,48.38888205732669,5.693123448247919e-4,5.693123448247919e-4,2.278e-1,"cx13_12: 9.176e-3 , cx13_14: 1.084e-2 "
14,5.017283671377135,156.91880531460038,186.5106164841665,3.0679705536718434e-4,3.0679705536718434e-4,1.0699999999999932e-2,"cx14_16: 3.465e-2 , cx14_11: 9.749e-3 , cx14_13: 1.084e-2 "
15,5.091634080643354,100.36970581346088,19.451721595957782,1.1206840664690302e-3,1.1206840664690302e-3,2.8800000000000003e-1,"cx15_18: 1.758e-2 , cx15_12: 1.540e-2 "
16,4.943037557009204,4.128572356463212,7.190348933890145,4.746816816234873e-3,4.746816816234873e-3,3.1500000000000083e-2,"cx16_14: 3.465e-2 , cx16_19: 6.506e-2 "
17,5.157805991580116,103.5169461141751,99.94283902259856,3.3619983530450967e-4,3.3619983530450967e-4,2.1199999999999997e-2,"cx17_18: 1.514e-2 "
18,5.059730201681036,93.975433605311,108.8340502478305,9.573918622096746e-4,9.573918622096746e-4,1.7100000000000004e-2,"cx18_17: 1.514e-2 , cx18_15: 1.758e-2 , cx18_21: 1.075e-2 "
19,5.06944568684597,95.082731335606,108.83901830405563,3.7864122994879696e-4,3.7864122994879696e-4,1.1700000000000044e-2,"cx19_22: 3.419e-2 , cx19_16: 6.506e-2 , cx19_20: 1.205e-2 "
20,4.916058008421913,156.88065870063446,111.62728521162254,1.84680267191768e-4,1.84680267191768e-4,1.21e-2,"cx20_19: 1.205e-2 "
21,5.144734347297622,120.52182389216465,58.132276019108616,3.4253037934545264e-4,3.4253037934545264e-4,1.5600000000000058e-2,"cx21_18: 1.075e-2 , cx21_23: 1.586e-2 "
22,5.121449037272505,123.38287081014144,126.99856821963726,7.546982479629023e-4,7.546982479629023e-4,2.0100000000000007e-2,"cx22_19: 3.419e-2 , cx22_25: 4.608e-2 "
23,5.100144548111102,58.208795640467095,43.89712105959607,5.995900364615856e-4,5.995900364615856e-4,6.410000000000005e-2,"cx23_24: 2.440e-2 , cx23_21: 1.586e-2 "
24,4.96335284893287,110.96483617224315,14.652304545203846,1.279099491779063e-3,1.279099491779063e-3,3.200000000000003e-2,"cx24_25: 2.059e-2 , cx24_23: 2.440e-2 "
25,5.064628548655234,68.72141972708592,119.23746643125921,4.5450209585903915e-4,4.5450209585903915e-4,9.800000000000031e-3,"cx25_26: 1.834e-2 , cx25_24: 2.059e-2 , cx25_22: 4.608e-2 "
26,5.215727004158924,67.58736128073875,98.57392905812219,2.665669200706383e-4,2.665669200706383e-4,8.799999999999919e-3,"cx26_25: 1.834e-2 "
