Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.091541874317865,38.85043983382218,71.64738906608031,3.913872171680714e-4,3.913872171680714e-4,1.980000000000004e-2,"cx0_1: 5.856e-2 "
1,5.01385797604513,28.2458313907183,22.624924112213083,4.828730554732987e-3,4.828730554732987e-3,2.1099999999999997e-1,"cx1_4: 5.347e-2 , cx1_2: 3.223e-2 , cx1_0: 5.856e-2 "
2,4.863032519495812,94.48814847858618,63.126780733320814,2.4741195939102675e-4,2.4741195939102675e-4,1.629999999999998e-2,"cx2_3: 6.974e-3 , cx2_1: 3.223e-2 "
3,5.104401561400192,103.90975767925791,59.00625184149811,2.7848477777524873e-4,2.7848477777524873e-4,1.859999999999995e-2,"cx3_5: 7.582e-3 , cx3_2: 6.974e-3 "
4,5.064049824520196,133.42552861377,156.27197935027766,4.3225773103781635e-4,4.3225773103781635e-4,1.739999999999997e-2,"cx4_7: 1.425e-2 , cx4_1: 5.347e-2 "
5,4.893167817661412,78.62151774729077,64.47435506645691,2.95117291190803e-4,2.95117291190803e-4,1.6899999999999915e-2,"cx5_8: 2.372e-2 , cx5_3: 7.582e-3 "
6,4.993603917042909,131.54489504115546,157.92645654580957,5.245968515895297e-4,5.245968515895297e-4,4.059999999999997e-2,"cx6_7: 1.973e-2 "
7,4.94315392275594,74.56011523530417,104.88989775982806,4.0900289932859656e-4,4.0900289932859656e-4,5.159999999999998e-2,"cx7_10: 9.294e-3 , cx7_4: 1.425e-2 , cx7_6: 1.973e-2 "
8,4.761333749396775,208.72684473657304,134.24874460183392,4.756824155003107e-4,4.756824155003107e-4,3.380000000000005e-2,"cx8_5: 2.372e-2 , cx8_11: 1.225e-2 , cx8_9: 8.585e-3 "
9,4.849740902137876,150.92639062370745,126.17903759780889,1.7577439115300074e-4,1.7577439115300074e-4,1.7299999999999982e-2,"cx9_8: 8.585e-3 "
10,5.046753279833164,92.7124982891881,144.3781591691173,3.904658745651421e-4,3.904658745651421e-4,2.529999999999999e-2,"cx10_12: 3.794e-2 , cx10_7: 9.294e-3 "
11,4.846898730214074,104.38274337085463,105.04005390839441,2.806580591344026e-4,2.806580591344026e-4,1.3900000000000023e-2,"cx11_8: 1.225e-2 , cx11_14: 7.825e-3 "
12,4.999289901924553,94.67040394437703,37.7756736490628,2.381859768811727e-3,2.381859768811727e-3,9.609999999999996e-2,"cx12_15: 1.717e-2 , cx12_10: 3.794e-2 , cx12_13: 3.059e-2 "
13,4.8815985838147276,175.7071484256014,230.6128346506055,2.140436958967565e-4,2.140436958967565e-4,1.100000000000001e-2,"cx13_14: 6.222e-3 , cx13_12: 3.059e-2 "
14,5.0974524295289045,88.40273233836513,144.4753503601155,1.791998415612858e-4,1.791998415612858e-4,4.0200000000000014e-2,"cx14_13: 6.222e-3 , cx14_16: 6.433e-3 , cx14_11: 7.825e-3 "
15,4.761229398385283,129.26221693137623,99.34722198778039,2.2491751478453793e-4,2.2491751478453793e-4,1.21e-2,"cx15_12: 1.717e-2 , cx15_18: 9.983e-3 "
16,4.9677859720061965,89.899973242158,81.76184920313484,7.554890532241952e-4,7.554890532241952e-4,1.6100000000000003e-2,"cx16_19: 1.513e-2 , cx16_14: 6.433e-3 "
17,5.054499588034381,124.3498477246887,45.064916105366905,2.18199962787443e-4,2.18199962787443e-4,6.0699999999999976e-2,"cx17_18: 1.980e-2 "
18,4.8948461426187775,41.564412996383105,26.465054528187313,7.283142238755522e-4,7.283142238755522e-4,1.4470000000000005e-1,"cx18_17: 1.980e-2 , cx18_21: 1.033e-2 , cx18_15: 9.983e-3 "
19,4.893540340669116,94.88961696745214,125.91999125537598,8.09845345261846e-4,8.09845345261846e-4,4.0000000000000036e-2,"cx19_20: 2.293e-2 , cx19_16: 1.513e-2 , cx19_22: 1.576e-2 "
20,5.025948378880485,85.60346790425274,214.3849981016375,2.419140167942765e-4,2.419140167942765e-4,8.399999999999996e-2,"cx20_19: 2.293e-2 "
21,4.942507134336584,121.2639658663378,38.45830728459731,2.480575738107422e-4,2.480575738107422e-4,6.45e-2,"cx21_23: 7.413e-3 , cx21_18: 1.033e-2 "
22,4.9847231819176665,96.07760650301874,194.74408775597493,2.5151522286367544e-4,2.5151522286367544e-4,3.949999999999998e-2,"cx22_25: 1.028e-2 , cx22_19: 1.576e-2 "
23,5.071125387227782,68.52756776755066,118.57501570113764,3.077657598639862e-4,3.077657598639862e-4,2.2299999999999986e-2,"cx23_21: 7.413e-3 , cx23_24: 9.126e-3 "
24,4.969246835865063,130.69263098317896,122.62520930246598,2.710359028902076e-4,2.710359028902076e-4,3.8000000000000034e-2,"cx24_23: 9.126e-3 , cx24_25: 6.484e-3 "
25,4.890796287903142,112.95786257485098,149.0784666654483,2.4017968868695358e-4,2.4017968868695358e-4,3.639999999999999e-2,"cx25_26: 7.477e-3 , cx25_22: 1.028e-2 , cx25_24: 6.484e-3 "
26,5.020543925463359,70.66609116983071,126.90108874048305,4.744616590543157e-4,4.744616590543157e-4,7.099999999999995e-2,"cx26_25: 7.477e-3 "
