Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,4.838207159313872,62.72106191818513,75.06667917393501,3.899660274280732e-4,3.899660274280732e-4,8.590000000000009e-2,"cx0_10: 1.537e-2 , cx0_1: 1.253e-2 "
1,4.681071197466393,42.34290012306945,49.21926986181911,5.569302769321662e-4,5.569302769321662e-4,2.4699999999999944e-2,"cx1_0: 1.253e-2 , cx1_2: 1.000e+0 "
2,4.946575273563939,44.107153507632965,83.73197418542243,4.952094847527686e-4,4.952094847527686e-4,2.6499999999999968e-2,"cx2_1: 1.000e+0 , cx2_3: 1.000e+0 "
3,4.765698209722348,52.0162054417268,92.1471538221769,6.44379856786477e-4,6.44379856786477e-4,2.1199999999999997e-2,"cx3_4: 1.529e-2 , cx3_2: 1.000e+0 "
4,4.710171553298715,63.57202850260951,101.70410000265231,6.951205453428679e-4,6.951205453428679e-4,1.6599999999999948e-2,"cx4_5: 1.199e-2 , cx4_11: 1.064e-2 , cx4_3: 1.529e-2 "
5,4.574250701344981,53.01947547950641,41.74573135241218,3.0222501226073956e-4,3.0222501226073956e-4,3.6599999999999966e-2,"cx5_4: 1.199e-2 , cx5_6: 1.096e-2 "
6,4.7583420052372665,60.117170971249436,85.99792102462412,3.520408983438271e-4,3.520408983438271e-4,2.310000000000001e-2,"cx6_5: 1.096e-2 , cx6_7: 1.000e+0 "
7,4.6301415513842725,75.19055596529945,80.2640422098223,9.530829411777553e-4,9.530829411777553e-4,2.090000000000003e-2,"cx7_6: 1.000e+0 , cx7_8: 1.000e+0 "
8,4.778071485890471,49.716949293965136,82.13451594366981,4.270056816598789e-4,4.270056816598789e-4,2.1199999999999997e-2,"cx8_9: 1.543e-2 , cx8_12: 2.115e-2 , cx8_7: 1.000e+0 "
9,4.92922981201595,65.3770050666766,97.56915168873027,3.8842581382423394e-4,3.8842581382423394e-4,1.2699999999999934e-2,"cx9_8: 1.543e-2 "
10,4.688249315312066,65.52237485396931,81.72589695302325,2.892305469100871e-4,2.892305469100871e-4,4.620000000000002e-2,"cx10_0: 1.537e-2 , cx10_13: 1.000e+0 "
