Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.199081720392176,129.79688631682964,92.2481083241944,5.218038064860128e-4,5.218038064860128e-4,1.0199999999999987e-2,"cx0_1: 5.911e-3 "
1,4.97957906781631,169.99018825930804,149.14954630659844,1.8167149215332523e-4,1.8167149215332523e-4,8.000000000000007e-3,"cx1_4: 6.211e-3 , cx1_2: 7.253e-3 , cx1_0: 5.911e-3 "
2,5.105284475513684,70.75632869903798,110.29905817252113,2.4711268884917227e-4,2.4711268884917227e-4,6.099999999999994e-3,"cx2_3: 6.445e-3 , cx2_1: 7.253e-3 "
3,4.874345732218102,120.55496155205277,163.0811674362206,2.066944221063437e-4,2.066944221063437e-4,1.1499999999999955e-2,"cx3_5: 6.546e-3 , cx3_2: 6.445e-3 "
4,5.212595595197263,98.60264846056901,36.243100424627784,2.3872777192089216e-4,2.3872777192089216e-4,1.0099999999999998e-2,"cx4_7: 7.533e-3 , cx4_1: 6.211e-3 "
5,5.109284372347485,104.87714382042253,41.31957786581821,2.0683296101995033e-4,2.0683296101995033e-4,1.090000000000002e-2,"cx5_8: 6.190e-3 , cx5_3: 6.546e-3 "
6,5.1955116845213904,102.68257274274063,101.91551062560609,5.530571833847198e-4,5.530571833847198e-4,9.600000000000053e-3,"cx6_7: 1.339e-2 "
7,5.027040026028825,118.09590557851905,16.087659648965897,2.3636103767926128e-4,2.3636103767926128e-4,5.800000000000027e-3,"cx7_10: 8.108e-3 , cx7_6: 1.339e-2 , cx7_4: 7.533e-3 "
8,4.946221270104341,154.93165704503446,162.24307399547504,1.4240499343114475e-4,1.4240499343114475e-4,7.600000000000051e-3,"cx8_5: 6.190e-3 , cx8_11: 5.087e-3 , cx8_9: 4.139e-3 "
9,5.052015673835794,148.67952680979923,204.0893793472765,2.126939094475467e-4,2.126939094475467e-4,9.000000000000008e-3,"cx9_8: 4.139e-3 "
10,5.157863490189792,91.18709110461617,112.35421784772541,2.4371501186349817e-4,2.4371501186349817e-4,7.199999999999984e-3,"cx10_7: 8.108e-3 , cx10_12: 8.092e-3 "
11,4.868488970248576,118.17594955939188,146.8738171831653,2.163318160563687e-4,2.163318160563687e-4,2.400000000000002e-2,"cx11_14: 8.907e-3 , cx11_8: 5.087e-3 "
12,4.948143802059118,165.91810454069395,20.243334088065428,2.8998010840174007e-4,2.8998010840174007e-4,1.100000000000001e-2,"cx12_15: 5.946e-3 , cx12_10: 8.092e-3 , cx12_13: 4.808e-3 "
13,5.01868777805416,141.5891512760722,209.05184723400492,2.2201147700567258e-4,2.2201147700567258e-4,8.399999999999963e-3,"cx13_12: 4.808e-3 , cx13_14: 2.094e-2 "
14,5.123954847891355,118.80763098810195,116.5845124556731,2.1790003424023753e-4,2.1790003424023753e-4,1.0599999999999943e-2,"cx14_11: 8.907e-3 , cx14_16: 5.487e-3 , cx14_13: 2.094e-2 "
15,5.042819073313675,173.3791469380696,61.782383086672525,2.582962696461155e-4,2.582962696461155e-4,1.7299999999999982e-2,"cx15_12: 5.946e-3 , cx15_18: 5.565e-3 "
16,5.209185281693371,123.36630078291108,138.71315864460266,2.057844035517126e-4,2.057844035517126e-4,5.9599999999999986e-2,"cx16_14: 5.487e-3 , cx16_19: 9.902e-3 "
17,5.242716929758532,115.80790575163653,173.15290131459005,4.183244171363968e-4,4.183244171363968e-4,3.6000000000000476e-3,"cx17_18: 8.323e-3 "
18,5.092389058005996,95.74639866413219,213.90049405716957,2.522928336129317e-4,2.522928336129317e-4,8.69999999999993e-3,"cx18_21: 9.723e-3 , cx18_17: 8.323e-3 , cx18_15: 5.565e-3 "
19,5.008009605863127,123.47862897992157,173.42407881783268,1.590637699971567e-4,1.590637699971567e-4,1.100000000000001e-2,"cx19_16: 9.902e-3 , cx19_20: 9.247e-3 , cx19_22: 6.753e-3 "
20,5.186514169567309,134.4813903403673,168.08869538454843,1.7361780877176336e-4,1.7361780877176336e-4,9.000000000000008e-3,"cx20_19: 9.247e-3 "
21,5.263909410681976,84.21076950593131,33.38529601123837,2.5803622312511393e-4,2.5803622312511393e-4,1.2399999999999967e-2,"cx21_18: 9.723e-3 , cx21_23: 7.627e-3 "
22,5.1137341163483185,144.84575948159352,28.058432943704418,2.1217890645317008e-4,2.1217890645317008e-4,7.600000000000051e-3,"cx22_25: 4.731e-3 , cx22_19: 6.753e-3 "
23,5.130662155778167,130.42809937689492,47.675432035933966,5.341951752272296e-4,5.341951752272296e-4,1.0699999999999932e-2,"cx23_24: 9.755e-3 , cx23_21: 7.627e-3 "
24,4.9978441104022755,169.55848725326317,31.201211923127207,1.7134738556369978e-4,1.7134738556369978e-4,7.600000000000051e-3,"cx24_23: 9.755e-3 , cx24_25: 7.924e-3 "
25,4.909960660193363,92.90274135838804,164.46404591224962,2.456085462178079e-4,2.456085462178079e-4,8.099999999999996e-3,"cx25_26: 4.940e-3 , cx25_22: 4.731e-3 , cx25_24: 7.924e-3 "
26,5.119986287543018,108.05588616686897,161.4589312640001,1.7024464240108112e-4,1.7024464240108112e-4,1.4699999999999935e-2,"cx26_25: 4.940e-3 "
