Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,4.910716505589546,101.77968277217161,74.49729997806241,1.8866442328018386e-4,1.8866442328018386e-4,1.1600000000000055e-2,"cx0_1: 5.708e-3 "
1,4.834684122978123,135.39641589509844,21.202407834569073,2.3442392853187247e-4,2.3442392853187247e-4,4.1200000000000014e-2,"cx1_4: 7.842e-3 , cx1_2: 1.259e-2 , cx1_0: 5.708e-3 "
2,4.982349257800423,109.72386620987898,115.60717153056808,2.550053391967127e-4,2.550053391967127e-4,1.2799999999999923e-2,"cx2_3: 1.419e-2 , cx2_1: 1.259e-2 "
3,5.104891253157144,89.95013245171293,62.16637404442863,2.8920234865440674e-4,2.8920234865440674e-4,1.3299999999999979e-2,"cx3_5: 8.125e-3 , cx3_2: 1.419e-2 "
4,5.003738294768579,163.78095816468885,206.54549917244623,2.3904182620276108e-4,2.3904182620276108e-4,9.500000000000064e-3,"cx4_7: 9.734e-3 , cx4_1: 7.842e-3 "
5,5.0330927971701005,97.57496455546394,107.02665149743585,3.2899916792031195e-4,3.2899916792031195e-4,1.849999999999996e-2,"cx5_8: 8.465e-3 , cx5_3: 8.125e-3 "
6,4.951251132241311,182.361583971552,28.29968858923826,3.2377770997029563e-4,3.2377770997029563e-4,4.410000000000003e-2,"cx6_7: 2.535e-2 "
7,4.9057375017248335,116.81346974374603,85.20081159408197,3.5825350651491253e-4,3.5825350651491253e-4,4.390000000000005e-2,"cx7_10: 1.776e-2 , cx7_6: 2.535e-2 , cx7_4: 9.734e-3 "
8,4.908186612792577,82.71327307888198,87.87321283966016,2.531806317160644e-4,2.531806317160644e-4,1.419999999999999e-2,"cx8_5: 8.465e-3 , cx8_11: 6.665e-3 , cx8_9: 8.773e-3 "
9,5.044616575047049,119.63553419424818,92.720070720028,4.7122467882810865e-4,4.7122467882810865e-4,2.729999999999999e-2,"cx9_8: 8.773e-3 "
10,5.0819307554802275,116.73716315949262,107.10325731735544,3.571011479968496e-4,3.571011479968496e-4,1.6000000000000014e-2,"cx10_7: 1.776e-2 , cx10_12: 7.257e-3 "
11,5.034142416965152,124.04037594827437,48.56836531003628,2.217760037231533e-4,2.217760037231533e-4,9.099999999999997e-3,"cx11_14: 5.353e-3 , cx11_8: 6.665e-3 "
12,4.97227547139504,74.62312708135387,165.8744420435289,2.2736543398725552e-4,2.2736543398725552e-4,3.949999999999998e-2,"cx12_13: 7.344e-3 , cx12_10: 7.257e-3 , cx12_15: 9.819e-3 "
13,4.868254613886819,92.4604790955556,74.74192562060408,2.0769508821358586e-4,2.0769508821358586e-4,9.800000000000031e-3,"cx13_12: 7.344e-3 , cx13_14: 8.421e-3 "
14,4.960886801353888,129.77593006325802,95.63452668105643,2.1392555220357517e-4,2.1392555220357517e-4,1.0399999999999965e-2,"cx14_16: 9.434e-3 , cx14_11: 5.353e-3 , cx14_13: 8.421e-3 "
15,5.033899077575771,115.1183235276547,138.22842917851335,2.6317406536910745e-4,2.6317406536910745e-4,2.0399999999999974e-2,"cx15_18: 1.100e-2 , cx15_12: 9.819e-3 "
16,5.085541480090295,70.60103294424822,63.256627844459494,5.667048810965948e-4,5.667048810965948e-4,1.0399999999999965e-2,"cx16_19: 1.448e-2 , cx16_14: 9.434e-3 "
17,5.072124104679935,132.18467809389756,138.0090160634141,3.3580997836177263e-4,3.3580997836177263e-4,1.0199999999999987e-2,"cx17_18: 7.954e-3 "
18,4.980917865473958,68.3834545304714,25.935020989356467,3.478364011936124e-4,3.478364011936124e-4,3.249999999999997e-2,"cx18_21: 1.263e-2 , cx18_15: 1.100e-2 , cx18_17: 7.954e-3 "
19,4.983191319733197,91.67214439249736,95.02682290945839,2.125148041734074e-4,2.125148041734074e-4,1.089999999999991e-2,"cx19_22: 7.410e-3 , cx19_16: 1.448e-2 , cx19_20: 6.061e-3 "
20,5.082197605302819,113.81599617120392,111.23132323914395,2.8445032144649367e-4,2.8445032144649367e-4,1.529999999999998e-2,"cx20_19: 6.061e-3 "
21,5.072956014087671,122.0150030163194,54.89653316234318,4.367248373534547e-4,4.367248373534547e-4,2.760000000000007e-2,"cx21_18: 1.263e-2 , cx21_23: 1.015e-2 "
22,5.056972270955685,79.5053861199739,138.64561842442566,2.2086977223314446e-4,2.2086977223314446e-4,3.620000000000001e-2,"cx22_19: 7.410e-3 , cx22_25: 8.698e-3 "
23,4.972847027507712,101.02666938114925,40.16843044692722,2.5216073391612896e-4,2.5216073391612896e-4,3.390000000000004e-2,"cx23_21: 1.015e-2 , cx23_24: 9.576e-2 "
24,5.051510084844779,62.83985708968843,42.14934847056695,1.317473293998282e-3,1.317473293998282e-3,1.0770000000000002e-1,"cx24_23: 9.576e-2 , cx24_25: 1.684e-2 "
25,4.934191599777305,104.24824329765957,84.70552874221255,2.626003829663598e-4,2.626003829663598e-4,9.199999999999986e-3,"cx25_26: 7.822e-3 , cx25_22: 8.698e-3 , cx25_24: 1.684e-2 "
26,4.999946737873465,114.0065667232265,147.66612617038086,3.9390527708714463e-4,3.9390527708714463e-4,1.9199999999999995e-2,"cx26_25: 7.822e-3 "
