Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Sqrt-x (sx) error,CNOT error
,5.114855032952166,61.56265831486596,73.27177833335107,3.1100000000000017e-2,0.0006244104055966604,"cx0_14: 2.443e-2 , cx0_1: 1.904e-2 "
1,5.235716489650369,42.53337558310338,55.57240491861975,3.7800000000000056e-2,0.000976027731809807,"cx1_13: 4.689e-2 , cx1_2: 1.083e-2 , cx1_0: 1.904e-2 "
2,5.03846671217151,70.78703464878869,119.31287682257792,2.849999999999997e-2,0.0005795516458665396,"cx2_12: 5.361e-2 , cx2_3: 2.148e-2 , cx2_1: 1.083e-2 "
3,4.894585446935241,71.97686453421622,18.899830282686,1.5880000000000005e-1,0.000352091705380862,"cx3_11: 2.464e-2 , cx3_4: 1.823e-2 , cx3_2: 2.148e-2 "
4,5.021576128189407,64.27730381534681,69.9565786652585,8.309999999999995e-2,0.0007203002651660346,"cx4_10: 4.261e-2 , cx4_5: 2.924e-2 , cx4_3: 1.823e-2 "
5,5.073082864031674,21.78217636168409,42.28825562063277,5.24e-2,0.002549201146054242,"cx5_9: 3.266e-2 , cx5_6: 4.922e-2 , cx5_4: 2.924e-2 "
6,4.929432667119627,67.20488717156587,87.56416614587013,4.299999999999993e-2,0.0011226222486211994,"cx6_8: 1.963e-2 , cx6_5: 4.922e-2 "
7,4.982618346912108,32.7343615909511,13.871418032907856,5.24e-2,0.0024426749550379755,"cx7_8: 3.000e-2 "
8,4.751549793193679,92.84981015256125,126.7023379645006,9.760000000000002e-2,0.0009118390611913273,"cx8_6: 1.963e-2 , cx8_9: 2.883e-2 , cx8_7: 3.000e-2 "
9,4.973446629447461,43.00970291364622,69.93167599261191,7.689999999999997e-2,0.0015448443230171736,"cx9_5: 3.266e-2 , cx9_10: 3.832e-2 , cx9_8: 2.883e-2 "
10,4.944786356489202,54.880645694831735,49.71775307685939,3.1200000000000006e-2,0.0032045510367255713,"cx10_4: 4.261e-2 , cx10_11: 2.901e-2 , cx10_9: 3.832e-2 "
11,4.997415747174158,63.570754171000324,104.39642358499043,1.6259999999999997e-1,0.0004409938096336112,"cx11_3: 2.464e-2 , cx11_12: 2.234e-2 , cx11_10: 2.901e-2 "
12,4.763386740884843,76.55722773612985,67.03078858202541,1.0339999999999994e-1,0.000804060238997544,"cx12_2: 5.361e-2 , cx12_13: 2.290e-2 , cx12_11: 2.234e-2 "
13,4.974290578670719,31.856150405109595,34.65960039765813,7.810000000000006e-2,0.0018564870252288257,"cx13_14: 2.784e-2 , cx13_1: 4.689e-2 , cx13_12: 2.290e-2 "
14,5.006782497417388,48.70080269061668,63.97477675016549,4.810000000000003e-2,0.0006558740817397225,"cx14_0: 2.443e-2 , cx14_13: 2.784e-2 "
