Qubit,T1 (µs),T2 (µs),Frecuency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,46.36133366024761,21.67613564846473,5.100140853719138,8.129999999999993e-2,5.85307587041306e-3,
Q1,55.177582911643924,93.02382379617201,5.238519119395673,7.540000000000002e-2,1.0590023345343758e-2,"CX1_0: 4.814e-2, CX1_2: 3.598e-2"
Q2,56.58492718114044,112.5587778066923,5.032579507752235,3.0899999999999928e-2,6.589299232043655e-3,"CX2_3: 5.521e-2"
Q3,76.54975022244824,72.71181400282457,4.896229003527295,4.069999999999996e-2,1.8268182997639437e-3,
Q4,44.53175357415037,36.78795463662971,5.030645905616581,5.9900000000000064e-2,7.693159991853049e-3,"CX4_3: 7.308e-2, CX4_10: 8.913e-2"
Q5,23.154585267798126,48.4540845918383,5.067162553972813,5.5400000000000005e-2,5.167953815842785e-3,"CX5_4: 7.287e-2, CX5_6: 5.045e-2, CX5_9: 5.788e-2"
Q6,59.42289322789939,78.41612078051845,4.923827571418005,4.239999999999999e-2,1.991639810375312e-3,"CX6_8: 3.411e-2"
Q7,38.48211251188056,82.39134403189253,4.974541350574925,1.3460000000000005e-1,2.5265959888786105e-3,"CX7_8: 3.951e-2"
Q8,61.72025258707664,100.05541648373169,4.739557853907693,3.869999999999996e-2,3.8229944714155417e-3,
Q9,46.43068407673813,75.00064949085447,4.963375770003884,2.7599999999999958e-2,6.102307424863174e-3,"CX9_8: 4.410e-2, CX9_10: 4.421e-2"
Q10,50.84338797570965,57.07383504250874,4.945066487458872,6.1799999999999966e-2,4.743521134888962e-3,
Q11,66.28063942578505,121.45644323924867,5.004998899773569,3.820000000000001e-2,3.3443554972302225e-3,"CX11_3: 4.853e-2, CX11_10: 3.613e-2, CX11_12: 4.324e-2"
Q12,49.85471152434843,79.01847064816178,4.759959512384234,6.889999999999996e-2,7.498892943122559e-3,"CX12_2: 2.129e-1"
Q13,23.118696399703815,36.64349518261781,4.968532521383958,4.489999999999994e-2,1.2560922319223122e-2,"CX13_1: 1.453e-1, CX13_12: 5.188e-2"
