Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,71.550905105557,24.8016008378355,5.100143566734246,3.310000000000002e-2,3.1330569803621477e-3,
Q1,56.11932409311527,49.78189525066006,5.238522621130923,1.1630000000000007e-1,1.8424630201608783e-2,"CX1_0: 4.402e-2, CX1_2: 5.230e-2"
Q2,58.3736156054252,94.90190318702537,5.032581095775352,3.0899999999999928e-2,9.885650377772559e-3,"CX2_3: 3.917e-2"
Q3,88.88715244588239,77.39443409149528,4.896245240350346,4.610000000000003e-2,2.2154578057181906e-3,
Q4,42.7670744956637,18.952060241869237,5.030612663158774,6.969999999999998e-2,7.01216336521826e-3,"CX4_3: 5.490e-2, CX4_10: 1.109e-1"
Q5,25.108262963325895,44.79665594326148,5.0671594408792515,5.910000000000004e-2,4.592638324012244e-3,"CX5_4: 7.345e-2, CX5_6: 7.453e-2, CX5_9: 1.096e-1"
Q6,34.15000718516943,67.47142250840712,4.92380158279486,3.990000000000005e-2,5.502686956616376e-3,"CX6_8: 8.444e-2"
Q7,25.667182809680572,59.52445208391536,4.974565460371353,2.1220000000000006e-1,2.791402269521792e-3,"CX7_8: 2.912e-2"
Q8,46.933499887555996,78.66543688550995,4.7395493354051315,3.820000000000001e-2,6.031092236295166e-3,
Q9,38.223351016471206,57.02452045127166,4.963373634874729,4.689999999999994e-2,1.2239488589589675e-2,"CX9_8: 9.738e-2, CX9_10: 9.080e-2"
Q10,49.749941216780144,59.41463562737442,4.9450654445416955,6.620000000000004e-2,3.805241643795809e-3,
Q11,58.48273582707338,98.7682507878689,5.005005741157131,2.839999999999998e-2,3.906130054305623e-3,"CX11_3: 2.644e-2, CX11_10: 3.823e-2, CX11_12: 3.667e-2"
Q12,83.05691019382864,131.09606240069553,4.760087130704261,2.8000000000000025e-2,6.965100292929072e-3,"CX12_2: 1.193e-1"
Q13,15.004076304152566,21.128379731620548,4.968516669324786,1.079e-1,1.726392453943215e-2,"CX13_1: 1.374e-1, CX13_12: 5.030e-2"
