Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Sqrt-x (sx) error,CNOT error
,5.114856822234827,58.108670210693155,67.32571071160703,3.200000000000003e-2,0.000440655598352969,"cx0_14: 2.646e-2 , cx0_1: 1.718e-2 "
1,5.235720118344201,59.24789640464991,55.25510419648952,3.859999999999997e-2,0.0007355946240291231,"cx1_13: 4.285e-2 , cx1_2: 1.148e-2 , cx1_0: 1.718e-2 "
2,5.038462104663888,75.06759071512548,64.95856704411847,3.7900000000000045e-2,0.0006654986516579073,"cx2_12: 5.131e-2 , cx2_3: 2.974e-2 , cx2_1: 1.148e-2 "
3,4.894588754610643,63.188660009989874,16.251910733113956,9.240000000000004e-2,0.0005368586578448754,"cx3_11: 4.902e-2 , cx3_4: 2.720e-2 , cx3_2: 2.974e-2 "
4,5.021575517504324,51.10923913092481,38.82579489719447,4.259999999999997e-2,0.0013323511065152366,"cx4_10: 4.406e-2 , cx4_5: 3.790e-2 , cx4_3: 2.720e-2 "
5,5.073098691005286,19.632368438913968,32.596909231244716,4.800000000000004e-2,0.0028070829643218093,"cx5_9: 3.257e-2 , cx5_6: 5.031e-2 , cx5_4: 3.790e-2 "
6,4.9294501948392915,65.96593390238483,60.43935451796558,4.760000000000009e-2,0.0016826102877698945,"cx6_8: 2.459e-2 , cx6_5: 5.031e-2 "
7,4.98261732765234,41.072706915279134,15.462064376820415,5.059999999999998e-2,0.0020068065232839863,"cx7_8: 2.312e-2 "
8,4.75154441269558,109.81693123026659,134.53988636556403,7.369999999999999e-2,0.0005404463837581486,"cx8_6: 2.459e-2 , cx8_9: 1.835e-2 , cx8_7: 2.312e-2 "
9,4.973447478549219,44.65759915440097,56.101883792621436,7.840000000000003e-2,0.0019183406338368358,"cx9_5: 3.257e-2 , cx9_10: 3.209e-2 , cx9_8: 1.835e-2 "
10,4.944791259110919,53.20537978513288,54.08566682230461,3.160000000000007e-2,0.0015842453792541452,"cx10_4: 4.406e-2 , cx10_11: 3.059e-2 , cx10_9: 3.209e-2 "
11,4.997426173664186,42.3666008923985,50.94295750478387,1.7979999999999996e-1,0.0006790125412544003,"cx11_3: 4.902e-2 , cx11_12: 2.373e-2 , cx11_10: 3.059e-2 "
12,4.7633817664333415,49.20419746613942,19.23162493172809,1.2229999999999996e-1,0.0006674697008754526,"cx12_2: 5.131e-2 , cx12_13: 2.342e-2 , cx12_11: 2.373e-2 "
13,4.974292503664479,29.177175500764974,26.85660369099622,1.1409999999999998e-1,0.002367431171751438,"cx13_14: 3.254e-2 , cx13_1: 4.285e-2 , cx13_12: 2.342e-2 "
14,5.006790380197492,43.31449290958467,51.89353075352184,8.430000000000004e-2,0.0007758157985966387,"cx14_0: 2.646e-2 , cx14_13: 3.254e-2 "
