Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
,5.114619246052004,56.49444615641734,67.336035607875,2.4699999999999944e-2,0.0006792451701278247,"cx0_14: 2.796e-2 , cx0_1: 2.736e-2 "
1,5.234951125546597,55.13110358330566,46.52819423659877,4.0200000000000014e-2,0.000665667010644767,"cx1_13: 4.856e-2 , cx1_2: 2.618e-2 , cx1_0: 2.736e-2 "
2,5.038581446960542,58.587271502298506,74.24488396633217,5.030000000000001e-2,0.001835385203843627,"cx2_12: 4.949e-2 , cx2_3: 5.569e-2 , cx2_1: 2.618e-2 "
3,4.894447671731192,63.53204925970922,18.402926805196522,5.190000000000006e-2,0.0005512121851417731,"cx3_11: 4.301e-2 , cx3_4: 2.105e-2 , cx3_2: 5.569e-2 "
4,5.022100830442332,59.456061656377564,21.895480358167433,5.04e-2,0.0009578200256051697,"cx4_10: 5.430e-2 , cx4_5: 4.735e-2 , cx4_3: 2.105e-2 "
5,5.073232332700174,19.80522312141525,35.992381161101974,8.210000000000006e-2,0.0029461588468739563,"cx5_9: 3.584e-2 , cx5_6: 6.241e-2 , cx5_4: 4.735e-2 "
6,4.929458564172695,64.01196165121233,68.1722621951599,5.010000000000003e-2,0.0023888357773128735,"cx6_8: 5.712e-2 , cx6_5: 6.241e-2 "
7,4.9832490042611095,36.658568306251865,18.338408657014487,5.109999999999992e-2,0.002802649570031565,"cx7_8: 5.001e-2 "
8,4.751436604627602,100.9226704177114,97.04739925052382,2.970000000000006e-2,0.0004106770842608475,"cx8_6: 5.712e-2 , cx8_9: 2.492e-2 , cx8_7: 5.001e-2 "
9,4.9735181826236134,40.477074602780604,56.22747496323609,3.73e-2,0.0017172638809468837,"cx9_5: 3.584e-2 , cx9_10: 3.376e-2 , cx9_8: 2.492e-2 "
10,4.944706305093917,57.906107725106104,55.81258327740615,4.459999999999997e-2,0.0016548808129899786,"cx10_4: 5.430e-2 , cx10_11: 2.262e-2 , cx10_9: 3.376e-2 "
11,4.99748621240469,62.75592013946776,79.28570737359584,3.590000000000004e-2,0.0005655427035522322,"cx11_3: 4.301e-2 , cx11_12: 1.745e-2 , cx11_10: 2.262e-2 "
12,4.763632574065442,53.24143822979952,49.3896429737767,4.5299999999999896e-2,0.0009443176509213965,"cx12_2: 4.949e-2 , cx12_13: 2.630e-2 , cx12_11: 1.745e-2 "
13,4.973581334116869,28.301315489671385,32.793290055129525,5.3300000000000014e-2,0.002605860309836179,"cx13_14: 4.508e-2 , cx13_1: 4.856e-2 , cx13_12: 2.630e-2 "
14,5.007492115120369,35.88515653898682,43.412406587755925,5.8599999999999985e-2,0.0008292340126875213,"cx14_0: 2.796e-2 , cx14_13: 4.508e-2 "
