Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
,5.224961850004467,72.85269769480996,49.35933390994396,5.3300000000000014e-2,0.00020257358501958044,"cx0_1: 5.987e-3 "
1,5.003474427240667,94.30624627964207,100.84153778729322,4.970000000000008e-2,0.00021323803551899205,"cx1_4: 8.419e-3 , cx1_2: 9.394e-3 , cx1_0: 5.987e-3 "
2,5.1437874666891465,114.64738342293892,92.31294838765044,8.69999999999993e-3,0.0002335841631465608,"cx2_3: 8.074e-3 , cx2_1: 9.394e-3 "
3,5.2096228957915445,104.6246658634543,174.7240957322819,9.299999999999975e-3,0.00046923380261914324,"cx3_5: 8.641e-3 , cx3_2: 8.074e-3 "
4,5.087694126564837,58.05981971127429,80.87461391317066,6.220000000000003e-2,0.0003378140773615338,"cx4_7: 1.047e-2 , cx4_1: 8.419e-3 "
5,5.167259546256775,95.99668714770048,137.58256778825051,8.199999999999985e-3,0.00042405757842463223,"cx5_8: 7.183e-3 , cx5_3: 8.641e-3 "
6,5.151666319724474,84.9780758472734,68.87856584631113,1.1240000000000006e-1,0.0002613234439695099,"cx6_7: 5.817e-3 "
7,4.915438476983743,97.63725520401687,150.3885147161494,4.13e-2,0.00018776328507349289,"cx7_10: 1.158e-2 , cx7_6: 5.817e-3 , cx7_4: 1.047e-2 "
8,5.03335603046635,92.98687459969155,135.72854970228684,1.3399999999999967e-2,0.00021058114020535218,"cx8_9: 1.047e-2 , cx8_5: 7.183e-3 , cx8_11: 7.064e-3 "
9,5.082176750501009,51.94210623515216,22.231698527231647,1.859999999999995e-2,0.0006340170208302964,"cx9_8: 1.047e-2 "
10,5.097824625088658,102.40248796104412,122.85437630806811,6.370000000000009e-2,0.0005160796217180393,"cx10_12: 1.072e-2 , cx10_7: 1.158e-2 "
11,5.1165768670162475,108.37073074539447,133.1633199473885,1.0299999999999976e-2,0.00033856223088274347,"cx11_8: 7.064e-3 , cx11_14: 8.972e-3 "
12,4.927769324001182,131.79048526382834,179.21853087934662,9.07e-2,0.00022456054889448513,"cx12_15: 1.076e-2 , cx12_13: 5.182e-3 , cx12_10: 1.072e-2 "
13,5.1276700739628955,69.0856885228822,192.55062822472487,2.2760000000000002e-1,0.0002498438253434176,"cx13_12: 5.182e-3 , cx13_14: 9.153e-3 "
14,5.017285995560067,66.94120102235561,120.75517901111668,7.299999999999973e-3,0.00019132353286958399,"cx14_16: 7.510e-3 , cx14_11: 8.972e-3 , cx14_13: 9.153e-3 "
15,5.091633596339543,81.69743915474488,50.96328382554289,3.406e-1,0.0025362648618617914,"cx15_18: 2.114e-2 , cx15_12: 1.076e-2 "
16,4.943164004690399,105.12147638025588,154.7158524378087,1.31e-2,0.0002264165862361919,"cx16_14: 7.510e-3 , cx16_19: 1.622e-2 "
17,5.157816849970444,101.65185252637947,101.59532583499457,1.8199999999999994e-2,0.0005546201128156477,"cx17_18: 1.654e-2 "
18,5.059738956088446,103.56942289886315,166.22784100557232,1.4599999999999946e-2,0.0007884799603546094,"cx18_17: 1.654e-2 , cx18_15: 2.114e-2 , cx18_21: 1.248e-2 "
19,5.069447884469353,68.66930675175439,89.62734391399447,1.2700000000000045e-2,0.00043082807125098034,"cx19_22: 1.076e-2 , cx19_16: 1.622e-2 , cx19_20: 1.188e-2 "
20,4.916059963907895,106.09747713351823,98.32737162468516,8.899999999999908e-3,0.00017268229323273894,"cx20_19: 1.188e-2 "
21,5.144736154714456,90.08424111350368,45.26301124072895,1.6699999999999937e-2,0.0003819898428092283,"cx21_18: 1.248e-2 , cx21_23: 1.319e-2 "
22,5.121465575276806,76.72138054076102,133.32979564322255,1.6699999999999937e-2,0.00026856725840063584,"cx22_19: 1.076e-2 , cx22_25: 9.310e-3 "
23,5.100313640671608,126.72153129502588,45.49427019383853,5.509999999999993e-2,0.0003968844467613111,"cx23_24: 7.869e-3 , cx23_21: 1.319e-2 "
24,4.963365273861011,138.7411657763368,109.91132206303288,9.000000000000008e-3,0.00018227860561942174,"cx24_25: 6.676e-3 , cx24_23: 7.869e-3 "
25,5.064626541648503,130.45221553355645,176.2741159647529,1.0399999999999965e-2,0.00024053505878338753,"cx25_26: 1.691e-2 , cx25_24: 6.676e-3 , cx25_22: 9.310e-3 "
26,5.21573372662727,85.75966749139066,98.85959529604165,9.90000000000002e-3,0.00021693825589494812,"cx26_25: 1.691e-2 "
