Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
,5.199091124260579,118.55861030391465,113.36789396403093,7.500000000000062e-3,0.00017767719125990163,"cx0_1: 1.029e-2 "
1,4.979620562128188,175.10872211758988,208.11868484829625,8.099999999999996e-3,0.0002195762934944399,"cx1_4: 5.224e-3 , cx1_2: 6.504e-3 , cx1_0: 1.029e-2 "
2,5.105710006649537,109.8269756931046,150.75313810635112,2.2399999999999975e-2,0.00020795378165938558,"cx2_3: 6.001e-3 , cx2_1: 6.504e-3 "
3,4.874376930675335,144.15556548466932,198.39478728338077,1.2800000000000034e-2,0.00018871872082141096,"cx3_5: 5.311e-3 , cx3_2: 6.001e-3 "
4,5.212600531549479,77.9970463171381,34.79999265611446,1.0000000000000009e-2,0.00023020235114798812,"cx4_7: 9.265e-3 , cx4_1: 5.224e-3 "
5,5.109283262049176,135.11368943330905,48.700410578392564,2.1199999999999997e-2,0.0001648091186748117,"cx5_8: 8.724e-3 , cx5_3: 5.311e-3 "
6,5.195514859389369,113.63655588540557,108.86360380534467,6.399999999999961e-3,0.0003655905679789535,"cx6_7: 8.899e-3 "
7,5.027032028011593,135.27260402734632,16.087659648965897,6.700000000000039e-3,0.0005312009537971664,"cx7_10: 8.279e-3 , cx7_6: 8.899e-3 , cx7_4: 9.265e-3 "
8,4.946236880474336,120.54234536362071,99.87220693898347,2.9200000000000004e-2,0.0002794577012769522,"cx8_5: 8.724e-3 , cx8_11: 6.398e-3 , cx8_9: 4.659e-3 "
9,5.05201485520196,124.93340554642111,156.50764626032867,6.199999999999983e-3,0.00016961859472865105,"cx9_8: 4.659e-3 "
10,5.15785786372556,94.23165443494675,119.9991940273501,6.599999999999939e-3,0.00018848557590764374,"cx10_7: 8.279e-3 , cx10_12: 7.572e-3 "
11,4.868483579162678,153.18849249337754,194.8322631590244,1.9500000000000073e-2,0.00020704844854961,"cx11_14: 8.378e-3 , cx11_8: 6.398e-3 "
12,4.948192833585208,144.5186927880245,21.159523771513875,1.1900000000000022e-2,0.0002522088593827966,"cx12_15: 6.044e-3 , cx12_10: 7.572e-3 , cx12_13: 5.245e-3 "
13,5.018698403817365,147.54130471481534,252.5293155273137,9.90000000000002e-3,0.0002634040421199266,"cx13_12: 5.245e-3 , cx13_14: 5.100e-3 "
14,5.124151311881571,100.42301822279259,124.09437528897412,7.900000000000018e-3,0.0001772821638598706,"cx14_11: 8.378e-3 , cx14_16: 5.922e-3 , cx14_13: 5.100e-3 "
15,5.042820401521311,77.9758212887947,74.98082607417874,1.629999999999998e-2,0.0002128224124236964,"cx15_12: 6.044e-3 , cx15_18: 6.609e-3 "
16,5.209179980349626,112.9895986467108,127.1019463388768,7.830000000000004e-2,0.0002671673125992897,"cx16_14: 5.922e-3 , cx16_19: 6.201e-2 "
17,5.242717325144119,145.07863355712007,190.69980534750084,6.199999999999983e-3,0.00026145527443606346,"cx17_18: 6.061e-3 "
18,5.092394060349089,142.11406605200364,203.86533431601362,7.099999999999995e-3,0.00022919157629450524,"cx18_21: 8.101e-3 , cx18_17: 6.061e-3 , cx18_15: 6.609e-3 "
19,5.0076614289995645,83.22792157981229,132.85088696070937,1.8999999999999906e-2,0.007209309948752129,"cx19_16: 6.201e-2 , cx19_20: 1.561e-2 , cx19_22: 4.295e-2 "
20,5.186516951244099,174.65728662202565,292.8491246748709,7.300000000000084e-3,0.00013820847562199417,"cx20_19: 1.561e-2 "
21,5.263864335556789,107.88619360205278,36.86272236890377,3.9000000000000035e-2,0.008993140788360091,"cx21_18: 8.101e-3 , cx21_23: 2.925e-2 "
22,5.11373219675031,96.27755797779155,30.94563758810288,1.0299999999999976e-2,0.00022997968343999953,"cx22_25: 2.889e-2 , cx22_19: 4.295e-2 "
23,5.130669685631738,107.59427115014641,50.08920803648295,6.399999999999961e-3,0.0001756087213091478,"cx23_24: 5.680e-3 , cx23_21: 2.925e-2 "
24,4.9978373453068325,115.16713150415265,31.201211923127207,7.600000000000051e-3,0.0003271862492203415,"cx24_23: 5.680e-3 , cx24_25: 7.403e-3 "
25,4.909958280420691,152.36170603072773,191.17070461765243,8.099999999999996e-3,0.000163460291622671,"cx25_26: 4.556e-3 , cx25_22: 2.889e-2 , cx25_24: 7.403e-3 "
26,5.1199877020174585,94.85249324950847,163.87896804972544,1.2699999999999934e-2,0.00026961660074151586,"cx26_25: 4.556e-3 "
