Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
,4.838200102739907,44.57638846154359,70.9514335816088,8.779999999999999e-2,0.0004041243380836942,"cx0_10: 4.196e-2 , cx0_1: 1.224e-2 "
1,4.6810732886592685,66.32764898710934,103.457247471185,2.6100000000000012e-2,0.0004131138859332297,"cx1_0: 1.224e-2 , cx1_2: 1.576e-2 "
2,4.94657477317854,61.79892821818487,102.48310355174085,3.1299999999999994e-2,0.0005904422383873518,"cx2_1: 1.576e-2 , cx2_3: 1.810e-2 "
3,4.765708121281474,48.479525813446635,89.7130375556718,2.1500000000000075e-2,0.0006941195407540946,"cx3_4: 1.439e-2 , cx3_2: 1.810e-2 "
4,4.710172009011994,75.43816253739642,113.26540007392691,1.9100000000000006e-2,0.0006199255239290067,"cx4_3: 1.439e-2 , cx4_5: 1.133e-2 , cx4_11: 1.152e-2 "
5,4.574259883327483,80.7195047584279,47.34483711168871,3.770000000000007e-2,0.00048562924018281895,"cx5_4: 1.133e-2 , cx5_6: 1.205e-2 "
6,4.7583374164168255,67.42008285130972,85.76507144176362,2.3600000000000065e-2,0.0004951396326371117,"cx6_5: 1.205e-2 , cx6_7: 1.093e-2 "
7,4.630147372963981,70.55380872960741,94.94479276098359,1.990000000000003e-2,0.00032691119534536964,"cx7_6: 1.093e-2 , cx7_8: 1.361e-2 "
8,4.778065182503192,42.91052399954049,69.92487559543677,2.2199999999999998e-2,0.00048692327026516805,"cx8_9: 1.482e-2 , cx8_12: 2.503e-2 , cx8_7: 1.361e-2 "
9,4.929224904480622,55.92245199999627,105.44015538598428,9.90000000000002e-3,0.0003946848187955901,"cx9_8: 1.482e-2 "
10,4.688222469490433,79.68180741661482,114.77461229973565,3.8899999999999935e-2,0.0016492654614555114,"cx10_0: 4.196e-2 , cx10_13: 3.550e-2 "
11,4.763927914949401,67.75686784232094,69.72570980696172,7.830000000000004e-2,0.0006551781107792158,"cx11_4: 1.152e-2 , cx11_17: 1.225e-2 "
12,4.9391400481949645,65.59212495010166,120.22999267693747,1.5900000000000025e-2,0.0006714642239972681,"cx12_21: 2.465e-2 , cx12_8: 2.503e-2 "
13,4.840226902804231,73.23582267356723,75.59394595924307,1.5199999999999991e-2,0.00029029907315056627,"cx13_10: 3.550e-2 , cx13_14: 3.001e-2 "
14,4.632003839016613,66.7127467915355,7.533748815604977,1.0330000000000006e-1,0.002027055122322657,"cx14_15: 4.030e-2 , cx14_13: 3.001e-2 "
15,4.802975190731032,78.62124108710096,109.00588160711777,3.1200000000000006e-2,0.0010958463868638675,"cx15_14: 4.030e-2 , cx15_16: 1.261e-2 , cx15_24: 9.878e-3 "
16,4.648987628388872,89.22898777680606,115.2543514833911,4.200000000000004e-2,0.00040606235271659443,"cx16_15: 1.261e-2 , cx16_17: 1.059e-2 "
17,4.877040370276527,69.4017369533193,71.33229997542628,1.550000000000007e-2,0.00035873651781912305,"cx17_11: 1.225e-2 , cx17_18: 1.086e-2 , cx17_16: 1.059e-2 "
18,4.817095013537855,43.97740129504598,66.51230626302075,1.5900000000000025e-2,0.00045088363703938295,"cx18_19: 3.069e-2 , cx18_17: 1.086e-2 "
19,4.999206433242473,41.7006375580893,72.97537745453238,1.8299999999999983e-2,0.004286078167214168,"cx19_20: 3.089e-2 , cx19_18: 3.069e-2 , cx19_25: 4.545e-2 "
20,4.842862317056036,64.53584510018702,36.32376257920191,1.5800000000000036e-2,0.0009096624897802386,"cx20_21: 6.650e-2 , cx20_19: 3.089e-2 "
21,4.779515168838205,61.86944856739894,52.32597037070084,1.5800000000000036e-2,0.0004065970096665128,"cx21_12: 2.465e-2 , cx21_22: 1.781e-2 , cx21_20: 6.650e-2 "
22,4.934845169350425,35.41849715411437,68.31419229950497,1.8299999999999983e-2,0.0004717751855405792,"cx22_21: 1.781e-2 , cx22_23: 1.331e-2 "
23,4.797173276884631,29.448313800967057,54.05445218689635,5.010000000000003e-2,0.0006283529718069089,"cx23_26: 1.986e-2 , cx23_22: 1.331e-2 "
24,5.012296052022273,73.73050486932911,101.30896610502114,1.3000000000000012e-2,0.00030197158245453545,"cx24_29: 2.158e-2 , cx24_15: 9.878e-3 "
25,4.856188039081574,29.93945774795869,58.88807866365685,4.72e-1,0.0006044994276329181,"cx25_33: 1.627e-2 , cx25_19: 4.545e-2 "
26,4.720577763318751,61.48370138474268,70.93392876048345,3.760000000000008e-2,0.0003420730042101232,"cx26_23: 1.986e-2 , cx26_37: 9.181e-3 "
27,4.799697139140882,56.24595658158299,96.40024704264611,5.840000000000001e-2,0.00036846666984982694,"cx27_38: 1.378e-2 , cx27_28: 2.335e-2 "
28,4.8958339824252155,19.885578328183076,34.86430940040178,1.8399999999999972e-2,0.0008467918029508842,"cx28_29: 1.929e-2 , cx28_27: 2.335e-2 "
29,4.785712817391419,70.44950201034432,85.74414028348703,1.6599999999999948e-2,0.00045477169979056396,"cx29_24: 2.158e-2 , cx29_28: 1.929e-2 , cx29_30: 1.271e-2 "
30,4.8902461664324886,57.033399479128406,55.04370146944132,9.300000000000086e-3,0.0003018402621779812,"cx30_31: 1.132e-2 , cx30_29: 1.271e-2 "
31,5.029865358833405,51.55875580442406,67.35369499485438,1.2699999999999934e-2,0.0003974852542630129,"cx31_30: 1.132e-2 , cx31_32: 1.549e-2 , cx31_39: 3.239e-2 "
32,4.898033566398806,71.48317971378535,89.89623098190141,4.039999999999999e-2,0.0010296176197765827,"cx32_31: 1.549e-2 , cx32_33: 1.387e-2 "
33,4.6467888330649005,71.85550477099801,93.66449825037395,3.2299999999999995e-2,0.0004426553119358115,"cx33_32: 1.387e-2 , cx33_25: 1.627e-2 , cx33_34: 1.147e-2 "
34,4.78070031271175,61.29332121637598,79.46413848940958,1.1700000000000044e-2,0.0003035504441038545,"cx34_35: 8.530e-3 , cx34_33: 1.147e-2 "
35,4.697395804420042,68.12050584771207,120.86095702804732,2.1199999999999997e-2,0.0002603817401562196,"cx35_34: 8.530e-3 , cx35_40: 1.304e-2 , cx35_36: 1.285e-2 "
36,4.970770222539934,66.19533117084919,95.73266372646394,1.1099999999999999e-2,0.000510517236703178,"cx36_35: 1.285e-2 , cx36_37: 1.391e-2 "
37,4.811005600411214,48.6914842361541,71.19622065938947,1.31e-2,0.00037169197783819806,"cx37_26: 9.181e-3 , cx37_36: 1.391e-2 "
38,4.970014162013585,64.33428113773479,72.97736395344819,4.7800000000000065e-2,0.0004777575615815722,"cx38_27: 1.378e-2 , cx38_41: 1.545e-2 "
39,4.799603902121676,60.84799321675713,29.052819068263823,1.1500000000000066e-2,0.00040825611691097305,"cx39_31: 3.239e-2 , cx39_45: 1.814e-2 "
40,4.544899084419042,83.05485319918277,104.77931817514683,2.190000000000003e-2,0.0002855915745718274,"cx40_49: 1.435e-2 , cx40_35: 1.304e-2 "
41,4.801373114512739,50.60568536047764,98.89742231625814,4.8699999999999966e-2,0.0004464866440632898,"cx41_42: 1.132e-2 , cx41_38: 1.545e-2 "
42,4.662977351638977,64.67784180003194,88.75147994978418,3.190000000000004e-2,0.0003018984449466348,"cx42_43: 1.270e-2 , cx42_41: 1.132e-2 "
43,4.763521089179178,43.137524206453236,17.46624044625224,6.430000000000002e-2,0.0005555967694863364,"cx43_42: 1.270e-2 , cx43_44: 1.257e-2 , cx43_52: 1.338e-2 "
44,4.6831092429178565,66.19674232584474,73.10328170511293,4.64e-2,0.0005298628304701144,"cx44_43: 1.257e-2 , cx44_45: 1.075e-2 "
45,4.93069109818249,60.7295467484094,77.70851471048043,2.1700000000000053e-2,0.0003165633639351942,"cx45_44: 1.075e-2 , cx45_46: 1.203e-2 , cx45_39: 1.814e-2 "
46,4.79900464624024,67.74088200072502,95.1467366548034,4.1099999999999914e-2,0.0003705437136400086,"cx46_47: 1.168e-2 , cx46_45: 1.203e-2 "
47,4.885346621642898,46.46142878595794,64.87100705500494,1.6900000000000026e-2,0.0003087076372639831,"cx47_48: 7.050e-3 , cx47_53: 8.424e-3 , cx47_46: 1.168e-2 "
48,4.757706526347289,82.31359534245183,116.48665347308142,1.2199999999999989e-2,0.0003947652046424364,"cx48_47: 7.050e-3 , cx48_49: 1.014e-2 "
49,4.661070747310517,44.62477639344183,83.86279852114542,1.5100000000000002e-2,0.000452112823138166,"cx49_40: 1.435e-2 , cx49_48: 1.014e-2 , cx49_50: 1.303e-2 "
50,4.782102917441332,79.58051783954713,106.0647591854183,2.6699999999999946e-2,0.0003218371824783484,"cx50_51: 9.378e-3 , cx50_49: 1.303e-2 "
51,4.88704902552048,54.85017166815343,30.23401511009309,2.1500000000000075e-2,0.00030756479312029646,"cx51_50: 9.378e-3 , cx51_54: 8.394e-3 "
52,4.89888700068866,65.66938741043104,60.026757442382404,2.7200000000000002e-2,0.0004293450387238552,"cx52_43: 1.338e-2 , cx52_56: 1.581e-2 "
53,4.677356842899194,50.03586017225341,87.40033767993984,8.399999999999963e-3,0.00044983134079315757,"cx53_47: 8.424e-3 , cx53_60: 1.013e-2 "
54,4.702661472313596,48.94082966120797,85.87656678481765,1.28e-1,0.00033724204625709475,"cx54_64: 1.012e-2 , cx54_51: 8.394e-3 "
55,4.881458839507894,54.09531402906423,87.46157346497553,4.090000000000005e-2,0.0007608843782914065,"cx55_56: 1.961e-2 "
56,4.795425200137551,60.65461348674182,78.3254325522404,5.3100000000000036e-2,0.001298611046811572,"cx56_57: 4.168e-2 , cx56_52: 1.581e-2 , cx56_55: 1.961e-2 "
57,4.618141778552358,79.52113582488995,102.7264369450016,4.899999999999993e-2,0.0004006012107499077,"cx57_56: 4.168e-2 , cx57_58: 2.114e-2 "
58,4.784334707604739,64.81507712696401,103.60652153606641,8.540000000000003e-2,0.0002994549763278352,"cx58_57: 2.114e-2 , cx58_59: 1.476e-2 "
59,4.9245378684658085,58.02063537067772,53.12222081032887,5.230000000000001e-2,0.0004605546192273926,"cx59_60: 1.139e-2 , cx59_58: 1.476e-2 "
60,4.777011494574059,60.59120408313679,112.33444355276696,2.629999999999999e-2,0.00033853041813715286,"cx60_53: 1.013e-2 , cx60_59: 1.139e-2 , cx60_61: 5.759e-2 "
61,4.641031309075291,38.2080710452009,57.28649780568386,1.6759999999999997e-1,0.038060482452726585,"cx61_60: 5.759e-2 , cx61_62: 8.286e-2 "
62,4.825548174375983,58.06929433273898,20.91009220039146,3.94000000000001e-2,0.0006176245971701461,"cx62_63: 1.794e-2 , cx62_61: 8.286e-2 "
63,4.697946977245063,11.151156839655895,22.43840776778826,5.2100000000000035e-2,0.0012378076040318836,"cx63_62: 1.794e-2 , cx63_64: 2.467e-2 "
64,4.83212050874477,68.46708506902758,53.377075070226205,3.1200000000000006e-2,0.00041886680518575823,"cx64_54: 1.012e-2 , cx64_63: 2.467e-2 "
