Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
,5.091545585314978,39.792360849182266,64.96348487773366,5.800000000000005e-2,0.0007212740520750735,"cx0_1: 1.166e-2 "
1,5.013681666319511,81.87889342483862,35.974659040668755,5.5499999999999994e-2,0.0002961135176308384,"cx1_4: 8.313e-3 , cx1_2: 9.425e-3 , cx1_0: 1.166e-2 "
2,4.863037882002298,109.30066651803944,66.35240522228116,1.5600000000000058e-2,0.00024790949178456575,"cx2_3: 8.360e-3 , cx2_1: 9.425e-3 "
3,5.104397805858965,66.78062665629217,61.001580587850555,1.8100000000000005e-2,0.0003564700836889632,"cx3_5: 7.766e-3 , cx3_2: 8.360e-3 "
4,5.064053402372363,142.45489428758776,158.31223658253742,1.4499999999999957e-2,0.0002596623632632888,"cx4_7: 1.125e-2 , cx4_1: 8.313e-3 "
5,4.893160834954454,159.3395564961576,69.18093901891261,1.5600000000000058e-2,0.000258745775579253,"cx5_8: 1.314e-2 , cx5_3: 7.766e-3 "
6,4.993595196019279,135.91197332403416,51.939630038343246,5.170000000000008e-2,0.00030734835738479373,"cx6_7: 1.011e-2 "
7,4.943158751421412,70.10539301755767,119.84230512591155,4.289999999999994e-2,0.0003633596446540468,"cx7_10: 9.877e-3 , cx7_4: 1.125e-2 , cx7_6: 1.011e-2 "
8,4.761324773246583,70.85001995661335,124.03882280275351,2.2499999999999964e-2,0.00034618129517638603,"cx8_5: 1.314e-2 , cx8_11: 1.231e-2 , cx8_9: 7.023e-3 "
9,4.849741871301421,146.15244049432224,135.9501396830759,1.880000000000004e-2,0.0002076448592947519,"cx9_8: 7.023e-3 "
10,5.046749592474935,66.80996530744572,107.30101547217603,1.9100000000000006e-2,0.0003228571701755334,"cx10_12: 2.456e-2 , cx10_7: 9.877e-3 "
11,4.846902153337528,97.98519759616522,86.9679271347876,1.7900000000000027e-2,0.00029316218691645423,"cx11_8: 1.231e-2 , cx11_14: 1.600e-2 "
12,4.999184435384739,68.96836968129433,24.03251500188491,4.970000000000008e-2,0.0021332831819120984,"cx12_15: 2.138e-2 , cx12_10: 2.456e-2 , cx12_13: 2.427e-2 "
13,4.881596715974455,176.44996166982153,223.08941647463104,1.419999999999999e-2,0.00022589177937937992,"cx13_14: 6.186e-3 , cx13_12: 2.427e-2 "
14,5.09744160374534,85.28662744678192,112.76259373317575,4.289999999999994e-2,0.000255965326178973,"cx14_13: 6.186e-3 , cx14_16: 8.119e-3 , cx14_11: 1.600e-2 "
15,4.7612363070588515,102.51802002867285,98.09836593761581,1.2799999999999923e-2,0.0001991219651841753,"cx15_12: 2.138e-2 , cx15_18: 2.247e-2 "
16,4.96778565993768,76.44592149201104,102.06023218732764,1.8199999999999994e-2,0.0011122234485371049,"cx16_19: 1.456e-2 , cx16_14: 8.119e-3 "
17,5.054502937244096,104.0469760976797,41.86319754593369,6.379999999999997e-2,0.00021108356541010089,"cx17_18: 2.469e-2 "
18,4.894039483136103,128.94863093351307,28.656211000271533,1.9510000000000005e-1,0.0006415237794641185,"cx18_17: 2.469e-2 , cx18_21: 1.988e-2 , cx18_15: 2.247e-2 "
19,4.893531564450304,98.86311678283198,86.27511624888612,3.550000000000009e-2,0.00024300663012590275,"cx19_20: 8.832e-3 , cx19_16: 1.456e-2 , cx19_22: 9.084e-3 "
20,5.025949442550243,90.68906062368943,135.6819349396803,7.840000000000003e-2,0.00028112548882936725,"cx20_19: 8.832e-3 "
21,4.94250671085968,117.15163752375298,36.88555832898329,7.26e-2,0.00034440797833014603,"cx21_23: 7.533e-3 , cx21_18: 1.988e-2 "
22,4.984720183731952,94.87726236452882,189.5454609938719,5.349999999999999e-2,0.00023270033750056053,"cx22_25: 1.018e-2 , cx22_19: 9.084e-3 "
23,5.071123574507479,76.39209764549568,115.6308861360068,2.3700000000000054e-2,0.0003951030738844453,"cx23_21: 7.533e-3 , cx23_24: 8.599e-3 "
24,4.969261032824028,125.80852644647109,144.87595735862246,4.03e-2,0.00025875932068937697,"cx24_23: 8.599e-3 , cx24_25: 6.626e-3 "
25,4.8907977627312444,115.23942041997584,227.59900477512923,3.1299999999999994e-2,0.00020746466057230343,"cx25_26: 8.211e-3 , cx25_22: 1.018e-2 , cx25_24: 6.626e-3 "
26,5.020547773069649,70.2863016539932,111.41033689944626,1.089e-1,0.00029698382276093985,"cx26_25: 8.211e-3 "
