Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.1990935945129255,141.34683575566214,127.97714363624378,1.5591714251466987e-4,1.5591714251466987e-4,1.0299999999999976e-2,"cx0_1: 3.838e-3 "
1,4.979624241064826,187.51804433313222,151.37918104951322,1.566985129331528e-4,1.566985129331528e-4,7.300000000000084e-3,"cx1_4: 4.808e-3 , cx1_2: 6.488e-3 , cx1_0: 3.838e-3 "
2,5.105715038792158,128.67847347057003,146.94656353968696,1.8827659858128884e-4,1.8827659858128884e-4,8.000000000000007e-3,"cx2_3: 5.970e-3 , cx2_1: 6.488e-3 "
3,4.874369197707645,126.82190297903706,202.664188582319,1.8230434779100048e-4,1.8230434779100048e-4,1.1299999999999977e-2,"cx3_5: 5.938e-3 , cx3_2: 5.970e-3 "
4,5.21260356493199,72.25022757263515,35.34632354022739,2.001980780303022e-4,2.001980780303022e-4,8.000000000000007e-3,"cx4_7: 8.089e-3 , cx4_1: 4.808e-3 "
5,5.109283532092869,95.82492692676794,41.64998119029636,2.836013671245186e-4,2.836013671245186e-4,1.3599999999999945e-2,"cx5_8: 8.792e-3 , cx5_3: 5.938e-3 "
6,5.195516342563605,101.31830913294395,108.59709102037058,4.111246542595557e-4,4.111246542595557e-4,5.50000000000006e-3,"cx6_7: 7.045e-3 "
7,5.027037030320154,99.01542200985331,16.087659648965897,2.5488912683022813e-4,2.5488912683022813e-4,5.50000000000006e-3,"cx7_10: 7.134e-3 , cx7_6: 7.045e-3 , cx7_4: 8.089e-3 "
8,4.946225845194444,179.39170092462768,160.1722931408687,1.7670415660080326e-4,1.7670415660080326e-4,6.299999999999972e-3,"cx8_5: 8.792e-3 , cx8_11: 6.109e-3 , cx8_9: 3.791e-3 "
9,5.0520167555967115,152.64917943890973,162.9599849622349,1.666194768899745e-4,1.666194768899745e-4,6.800000000000028e-3,"cx9_8: 3.791e-3 "
10,5.157858838629521,93.94423964570684,122.82615160649804,2.1717119342157766e-4,2.1717119342157766e-4,7.70000000000004e-3,"cx10_7: 7.134e-3 , cx10_12: 1.340e-2 "
11,4.868495838980606,135.38853559523957,134.53106859746353,2.041683966276375e-4,2.041683966276375e-4,1.9400000000000084e-2,"cx11_14: 1.250e-2 , cx11_8: 6.109e-3 "
12,4.948192402939302,124.32369493835886,22.459431609330974,2.536665722018317e-4,2.536665722018317e-4,1.3600000000000056e-2,"cx12_15: 5.345e-3 , cx12_10: 1.340e-2 , cx12_13: 6.919e-3 "
13,5.018704476021677,212.66163344007253,262.32141946053855,6.49200344827988e-4,6.49200344827988e-4,1.21e-2,"cx13_12: 6.919e-3 , cx13_14: 1.269e-2 "
14,5.1241933792959715,79.22425245169153,100.90271984452012,2.0965260913855522e-4,2.0965260913855522e-4,9.199999999999986e-3,"cx14_11: 1.250e-2 , cx14_16: 6.012e-3 , cx14_13: 1.269e-2 "
15,5.042819891225437,144.671474515852,73.23592326800566,2.4340903689199308e-4,2.4340903689199308e-4,1.639999999999997e-2,"cx15_12: 5.345e-3 , cx15_18: 5.332e-3 "
16,5.2091829281166016,101.10675402467871,155.89187795314228,2.3083199488712505e-4,2.3083199488712505e-4,7.279999999999998e-2,"cx16_14: 6.012e-3 , cx16_19: 1.132e-2 "
17,5.242716178885598,79.44168643788569,150.87534050385955,4.4890203211174164e-4,4.4890203211174164e-4,4.1999999999999815e-3,"cx17_18: 8.454e-3 "
18,5.092394394179518,141.10300926710906,179.5281627634096,2.0120576260171716e-4,2.0120576260171716e-4,7.299999999999973e-3,"cx18_21: 7.627e-3 , cx18_17: 8.454e-3 , cx18_15: 5.332e-3 "
19,5.0079571101299125,129.80905784350492,134.84509765189574,1.871220176887115e-4,1.871220176887115e-4,1.1099999999999999e-2,"cx19_16: 1.132e-2 , cx19_20: 7.945e-3 , cx19_22: 6.458e-3 "
20,5.186515819406794,140.27312506514318,197.33686130249254,1.450532158539265e-4,1.450532158539265e-4,9.400000000000075e-3,"cx20_19: 7.945e-3 "
21,5.263906787137164,103.27316419645969,37.021753720705334,2.7759620333048387e-4,2.7759620333048387e-4,1.090000000000002e-2,"cx21_18: 7.627e-3 , cx21_23: 5.120e-3 "
22,5.113733422218118,124.76628857948752,21.125432712322286,2.1878269373672585e-4,2.1878269373672585e-4,1.1199999999999988e-2,"cx22_25: 4.344e-3 , cx22_19: 6.458e-3 "
23,5.130672536049118,125.90743898048717,47.053480242144055,1.7682652545891668e-4,1.7682652545891668e-4,8.69999999999993e-3,"cx23_24: 4.518e-3 , cx23_21: 5.120e-3 "
24,4.997831999552645,159.74954396233503,31.201211923127207,1.7577774083467557e-4,1.7577774083467557e-4,6.49999999999995e-3,"cx24_23: 4.518e-3 , cx24_25: 6.381e-3 "
25,4.909963576620805,131.2862395756256,158.38991638172837,1.8079961984263142e-4,1.8079961984263142e-4,1.0399999999999965e-2,"cx25_26: 5.053e-3 , cx25_22: 4.344e-3 , cx25_24: 6.381e-3 "
26,5.119990946761944,94.00574504566443,125.54420027164497,2.264915127074316e-4,2.264915127074316e-4,1.330000000000009e-2,"cx26_25: 5.053e-3 "
