Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.071714477160238,87.0769871193902,126.91210155067107,5.30538621779621e-4,5.30538621779621e-4,2.9100000000000015e-2,"cx0_1: 1.687e-2 "
1,5.020818520578859,42.32600482012793,88.80885462059109,2.9038039275735325e-4,2.9038039275735325e-4,1.3000000000000012e-2,"cx1_4: 9.713e-3 , cx1_2: 1.280e-2 , cx1_0: 1.687e-2 "
2,4.818416988333987,50.55095710169555,118.64297221030274,4.395689209539176e-4,4.395689209539176e-4,1.6100000000000003e-2,"cx2_3: 1.611e-2 , cx2_1: 1.280e-2 "
3,4.894791682444432,64.11322335517016,63.04466750604314,3.094561548908626e-4,3.094561548908626e-4,6.099999999999994e-3,"cx3_5: 1.433e-2 , cx3_2: 1.611e-2 "
4,5.0850083984905865,56.32476706795731,56.42933946489083,4.8001249738860826e-4,4.8001249738860826e-4,1.859999999999995e-2,"cx4_7: 1.184e-2 , cx4_1: 9.713e-3 "
5,4.804140679396008,78.11173571804831,25.797761598184465,3.6493205803982907e-4,3.6493205803982907e-4,1.0339999999999994e-1,"cx5_8: 1.449e-2 , cx5_3: 1.433e-2 "
6,5.201552728831984,54.99033980113295,67.89807627100394,4.476460518969039e-4,4.476460518969039e-4,1.3700000000000045e-2,"cx6_7: 9.888e-3 "
7,5.142373259134314,81.01846417466024,37.71588749102982,4.1682473438535124e-4,4.1682473438535124e-4,2.33000000000001e-2,"cx7_10: 9.695e-3 , cx7_6: 9.888e-3 , cx7_4: 1.184e-2 "
8,5.068768119442899,65.60227802097438,71.29612510334738,3.5402573571891824e-4,3.5402573571891824e-4,1.9199999999999995e-2,"cx8_11: 1.093e-2 , cx8_9: 9.564e-3 , cx8_5: 1.449e-2 "
9,5.17024145899125,88.47376419745076,118.76430840782953,4.87791145233336e-4,4.87791145233336e-4,1.3600000000000056e-2,"cx9_8: 9.564e-3 "
10,4.919313251136401,98.47151185348687,122.19603697959168,3.680920351327741e-4,3.680920351327741e-4,1.1099999999999999e-2,"cx10_12: 1.683e-2 , cx10_7: 9.695e-3 "
11,4.959299610379618,88.2477936864607,114.3815103561713,4.379125132301377e-4,4.379125132301377e-4,1.8299999999999983e-2,"cx11_8: 1.093e-2 , cx11_14: 1.705e-2 "
12,5.042163399938953,30.7707986800062,50.6022594807358,8.001251051414474e-4,8.001251051414474e-4,3.3299999999999996e-2,"cx12_15: 1.287e-2 , cx12_10: 1.683e-2 , cx12_13: 1.867e-2 "
13,5.1137208191540395,48.93561212432761,82.54470856269928,3.911499375300557e-4,3.911499375300557e-4,6.900000000000017e-3,"cx13_12: 1.867e-2 , cx13_14: 1.457e-2 "
14,4.898874269635634,46.178188341288745,67.90019208898967,5.792849142123291e-4,5.792849142123291e-4,1.990000000000003e-2,"cx14_16: 2.265e-2 , cx14_13: 1.457e-2 , cx14_11: 1.705e-2 "
15,4.849697907348561,79.39662865075543,69.41050298491766,2.935464587495915e-4,2.935464587495915e-4,1.639999999999997e-2,"cx15_12: 1.287e-2 , cx15_18: 1.430e-2 "
16,5.020800713543044,113.08667783044775,70.98778223682058,8.502434607368174e-4,8.502434607368174e-4,4.149999999999998e-2,"cx16_14: 2.265e-2 , cx16_19: 1.669e-2 "
17,5.050712979996699,45.57956905544554,87.92980718502315,1.5858713578404348e-3,1.5858713578404348e-3,3.739999999999999e-2,"cx17_18: 1.861e-2 "
18,4.93669735397312,42.18033650342176,75.03362564598055,3.1392789364487845e-4,3.1392789364487845e-4,1.1800000000000033e-2,"cx18_17: 1.861e-2 , cx18_15: 1.430e-2 , cx18_21: 1.270e-2 "
19,4.762814011147965,107.18947172625936,136.07812911934263,3.761522989366857e-4,3.761522989366857e-4,1.1399999999999966e-2,"cx19_22: 1.492e-2 , cx19_20: 1.283e-2 , cx19_16: 1.669e-2 "
20,5.038628501751338,81.56501322913,159.75367692305898,6.637879384419618e-4,6.637879384419618e-4,4.520000000000002e-2,"cx20_19: 1.283e-2 "
21,4.834586733749544,80.91013075561895,33.805131202459016,3.328197947203768e-4,3.328197947203768e-4,4.0200000000000014e-2,"cx21_23: 1.406e-2 , cx21_18: 1.270e-2 "
22,4.989616090449927,65.97732285096625,32.53662614692732,4.4686997981027113e-4,4.4686997981027113e-4,2.310000000000001e-2,"cx22_19: 1.492e-2 , cx22_25: 1.088e-2 "
23,5.126329292859323,72.70686436808433,95.67708068463843,2.893803359663478e-4,2.893803359663478e-4,1.429999999999998e-2,"cx23_24: 1.174e-2 , cx23_21: 1.406e-2 "
24,4.978695729060691,94.29151810491393,89.8049864719201,3.2535275614873466e-4,3.2535275614873466e-4,1.0599999999999943e-2,"cx24_25: 1.318e-2 , cx24_23: 1.174e-2 "
25,4.852029648572878,83.85350704244733,63.01432792331635,2.5876163237014457e-4,2.5876163237014457e-4,3.249999999999997e-2,"cx25_22: 1.088e-2 , cx25_26: 8.582e-3 , cx25_24: 1.318e-2 "
26,4.958282478838153,72.41208012264204,136.15600244603039,2.816242168335696e-4,2.816242168335696e-4,1.3700000000000045e-2,"cx26_25: 8.582e-3 "
