Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,4.910718647427617,99.56155427527572,71.24100411997105,1.8588435270059517e-4,1.8588435270059517e-4,1.1300000000000088e-2,"cx0_1: 7.686e-3 "
1,4.83468748858209,143.3873328781946,21.202407834569073,3.192897879133304e-4,3.192897879133304e-4,7.509999999999994e-2,"cx1_4: 7.858e-3 , cx1_2: 9.373e-3 , cx1_0: 7.686e-3 "
2,4.98235112076432,102.2226934268184,135.81793228252027,2.1390547150714913e-4,2.1390547150714913e-4,2.0000000000000018e-2,"cx2_3: 5.608e-3 , cx2_1: 9.373e-3 "
3,5.104888506590909,71.36259159913104,54.499528151166295,2.4118038192806618e-4,2.4118038192806618e-4,1.21e-2,"cx3_5: 1.043e-2 , cx3_2: 5.608e-3 "
4,5.003740339791614,115.7556981894266,201.9674601554358,2.1588101219427097e-4,2.1588101219427097e-4,1.1099999999999999e-2,"cx4_7: 8.640e-3 , cx4_1: 7.858e-3 "
5,5.033092427490737,76.08764023937627,75.32704739619383,2.908981839598227e-4,2.908981839598227e-4,1.3000000000000012e-2,"cx5_8: 7.387e-3 , cx5_3: 1.043e-2 "
6,4.950552171638473,132.74914123609045,18.357642217463773,1.0250010563644055e-3,1.0250010563644055e-3,4.499999999999993e-2,"cx6_7: 3.182e-2 "
7,4.905682430420563,104.02434478153383,73.94581824624316,3.6990871012112874e-4,3.6990871012112874e-4,6.559999999999999e-2,"cx7_10: 2.020e-2 , cx7_6: 3.182e-2 , cx7_4: 8.640e-3 "
8,4.908186098429866,62.67727218409218,91.61052418007266,2.170844189266791e-4,2.170844189266791e-4,1.100000000000001e-2,"cx8_5: 7.387e-3 , cx8_11: 1.486e-2 , cx8_9: 7.007e-3 "
9,5.044617300737408,70.46420585167009,111.20161384094637,3.7125722802805575e-4,3.7125722802805575e-4,2.6000000000000023e-2,"cx9_8: 7.007e-3 "
10,5.081932389794814,116.66378106934846,89.45112566630388,4.4021217798571107e-4,4.4021217798571107e-4,1.1099999999999999e-2,"cx10_7: 2.020e-2 , cx10_12: 1.148e-2 "
11,5.034143167838853,110.89113877143473,48.56579316753528,3.538772926602259e-4,3.538772926602259e-4,2.0000000000000018e-2,"cx11_14: 7.195e-3 , cx11_8: 1.486e-2 "
12,4.972274461401652,58.02260151598875,105.51286652067957,2.3268315628586307e-4,2.3268315628586307e-4,3.6599999999999966e-2,"cx12_13: 7.741e-3 , cx12_10: 1.148e-2 , cx12_15: 1.129e-2 "
13,4.868256185205814,99.53500747547871,76.6038231349938,1.932939263745535e-4,1.932939263745535e-4,1.0199999999999987e-2,"cx13_12: 7.741e-3 , cx13_14: 9.169e-3 "
14,4.960906720720543,115.35885014687825,114.90250509015563,2.0632699704815585e-4,2.0632699704815585e-4,1.0699999999999932e-2,"cx14_16: 8.612e-3 , cx14_11: 7.195e-3 , cx14_13: 9.169e-3 "
15,5.033902394726561,130.00323232352488,131.7925829216834,2.551377763745096e-4,2.551377763745096e-4,2.0199999999999996e-2,"cx15_18: 1.097e-2 , cx15_12: 1.129e-2 "
16,5.085532893080813,76.30139615620442,63.01827686966864,5.361538478112442e-4,5.361538478112442e-4,9.199999999999986e-3,"cx16_19: 1.269e-2 , cx16_14: 8.612e-3 "
17,5.072123515888189,56.80334832768998,110.17064323961381,3.825509870484758e-4,3.825509870484758e-4,9.500000000000064e-3,"cx17_18: 9.859e-3 "
18,4.981404086410669,97.41350156685539,28.329188711814666,3.187084708359271e-4,3.187084708359271e-4,3.0899999999999928e-2,"cx18_21: 1.556e-2 , cx18_15: 1.097e-2 , cx18_17: 9.859e-3 "
19,4.983181482252313,89.9935548874302,106.80180206578473,3.2439098673107296e-4,3.2439098673107296e-4,1.6799999999999926e-2,"cx19_22: 8.505e-3 , cx19_16: 1.269e-2 , cx19_20: 7.520e-3 "
20,5.082196951938303,119.43601331779409,102.30170267237739,3.0532475551523956e-4,3.0532475551523956e-4,1.7400000000000082e-2,"cx20_19: 7.520e-3 "
21,5.0733882045512715,119.75956911328848,54.45695094729826,4.983540865306754e-4,4.983540865306754e-4,3.059999999999996e-2,"cx21_18: 1.556e-2 , cx21_23: 8.480e-3 "
22,5.056966966843575,84.72633696493773,120.85596914490147,1.9268535776116239e-4,1.9268535776116239e-4,3.839999999999999e-2,"cx22_19: 8.505e-3 , cx22_25: 8.881e-3 "
23,4.972848666897379,128.36853946329683,38.67000825499057,2.985042910504178e-4,2.985042910504178e-4,6.389999999999996e-2,"cx23_21: 8.480e-3 , cx23_24: 9.970e-3 "
24,5.051504342329418,121.38989438844406,74.3560142944671,2.3174305158614916e-4,2.3174305158614916e-4,3.849999999999998e-2,"cx24_23: 9.970e-3 , cx24_25: 8.788e-3 "
25,4.9341869460072445,96.65211217521711,81.36758000782356,2.87670400787152e-4,2.87670400787152e-4,7.800000000000029e-3,"cx25_26: 9.802e-3 , cx25_22: 8.881e-3 , cx25_24: 8.788e-3 "
26,4.999945376282112,95.6777494236929,216.91105870093656,4.6998797876186414e-4,4.6998797876186414e-4,1.6000000000000014e-2,"cx26_25: 9.802e-3 "
