Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.114623288888709,55.61330984020255,74.66157079302417,4.699131885523052e-4,4.699131885523052e-4,2.9299999999999993e-2,"cx0_14: 2.402e-2 , cx0_1: 1.589e-2 "
1,5.2350385559194486,50.19498723625214,47.728364075207956,1.0772725590198998e-3,1.0772725590198998e-3,4.459999999999997e-2,"cx1_13: 4.675e-2 , cx1_2: 1.256e-2 , cx1_0: 1.589e-2 "
2,5.038356714395388,59.3158083076308,63.57335204562607,7.382448781195388e-4,7.382448781195388e-4,4.5299999999999896e-2,"cx2_12: 4.169e-2 , cx2_3: 5.126e-2 , cx2_1: 1.256e-2 "
3,4.8944529472766085,57.79109457188807,17.364108029915222,1.0454183581697835e-3,1.0454183581697835e-3,7.269999999999999e-2,"cx3_11: 2.989e-2 , cx3_4: 3.146e-2 , cx3_2: 5.126e-2 "
4,5.022092946064663,62.313358540176175,73.7666691120182,7.217494995133374e-4,7.217494995133374e-4,5.109999999999992e-2,"cx4_10: 2.358e-2 , cx4_5: 2.470e-2 , cx4_3: 3.146e-2 "
5,5.07322740839695,19.419330885019857,29.884359966594207,2.959528930317379e-3,2.959528930317379e-3,5.400000000000005e-2,"cx5_9: 3.732e-2 , cx5_6: 5.123e-2 , cx5_4: 2.470e-2 "
6,4.929467375841464,67.88136633618807,69.40919987923951,1.4447223774915017e-3,1.4447223774915017e-3,2.9400000000000093e-2,"cx6_8: 2.515e-2 , cx6_5: 5.123e-2 "
7,4.983244965194062,36.118457531844875,21.78448784700319,1.669999140990294e-3,1.669999140990294e-3,2.9300000000000104e-2,"cx7_8: 2.578e-2 "
8,4.751433281926134,106.39993891059714,75.38591071313144,6.548040604287242e-4,6.548040604287242e-4,4.459999999999997e-2,"cx8_6: 2.515e-2 , cx8_9: 2.699e-2 , cx8_7: 2.578e-2 "
9,4.973517536784929,40.216739173680644,68.21721111758518,1.864659223584328e-3,1.864659223584328e-3,3.980000000000006e-2,"cx9_5: 3.732e-2 , cx9_10: 2.776e-2 , cx9_8: 2.699e-2 "
10,4.944698412238373,63.2794922013078,66.20312945758357,1.2155921151969257e-3,1.2155921151969257e-3,3.699999999999992e-2,"cx10_4: 2.358e-2 , cx10_11: 2.436e-2 , cx10_9: 2.776e-2 "
11,4.99744881666087,50.11265705810803,70.4345260734209,4.787146593719141e-4,4.787146593719141e-4,4.630000000000001e-2,"cx11_3: 2.989e-2 , cx11_12: 2.030e-2 , cx11_10: 2.436e-2 "
12,4.763628135515013,73.55506793299364,45.6907913250137,8.544648824353472e-4,8.544648824353472e-4,4.4300000000000006e-2,"cx12_2: 4.169e-2 , cx12_13: 3.053e-2 , cx12_11: 2.030e-2 "
13,4.973571261087293,30.383179430396225,29.899626144422456,2.880457464328868e-3,2.880457464328868e-3,5.820000000000003e-2,"cx13_14: 4.617e-2 , cx13_1: 4.675e-2 , cx13_12: 3.053e-2 "
14,5.007392573262684,41.29662316327794,45.009419628564885,6.777497409572948e-4,6.777497409572948e-4,6.340000000000001e-2,"cx14_0: 2.402e-2 , cx14_13: 4.617e-2 "
