Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.224959907414175,76.08619491938909,45.2342489156921,2.6582482581370877e-4,2.6582482581370877e-4,5.3200000000000025e-2,"cx0_1: 8.178e-3 "
1,5.003487426595152,107.1396798613933,152.17667716296725,4.2132196883438663e-4,4.2132196883438663e-4,3.4499999999999975e-2,"cx1_4: 8.055e-3 , cx1_2: 1.116e-2 , cx1_0: 8.178e-3 "
2,5.143799463880647,99.28509870765397,97.05471922879154,2.7398300667806175e-4,2.7398300667806175e-4,9.700000000000042e-3,"cx2_3: 9.971e-3 , cx2_1: 1.116e-2 "
3,5.209644464431505,102.8389406697945,126.25097503851677,6.715032560446488e-4,6.715032560446488e-4,8.700000000000041e-3,"cx3_5: 2.353e-2 , cx3_2: 9.971e-3 "
4,5.087697686440422,111.4074648466724,149.19480309556002,2.704892461572845e-4,2.704892461572845e-4,5.379999999999996e-2,"cx4_7: 9.064e-3 , cx4_1: 8.055e-3 "
5,5.167248184527216,119.61249718743375,75.79550328049343,2.1974941939792397e-3,2.1974941939792397e-3,3.0000000000000027e-2,"cx5_8: 9.048e-3 , cx5_3: 2.353e-2 "
6,5.151667418430912,63.620385078978536,52.854025048262606,2.771667300198351e-4,2.771667300198351e-4,1.060000000000001e-1,"cx6_7: 5.583e-3 "
7,4.915436798012678,132.1882288110223,207.43356208091055,1.9598826486264684e-4,1.9598826486264684e-4,3.079999999999994e-2,"cx7_10: 9.869e-3 , cx7_6: 5.583e-3 , cx7_4: 9.064e-3 "
8,5.033354648211927,91.49723256831102,94.304933960775,2.1385155014065263e-4,2.1385155014065263e-4,1.429999999999998e-2,"cx8_9: 7.812e-3 , cx8_5: 9.048e-3 , cx8_11: 6.448e-3 "
9,5.082174460792296,121.35177610274988,177.42107282902174,3.070709121589315e-4,3.070709121589315e-4,9.800000000000031e-3,"cx9_8: 7.812e-3 "
10,5.097832151372068,83.22797955767258,156.47126640593123,3.804044140063986e-4,3.804044140063986e-4,5.879999999999996e-2,"cx10_12: 4.265e-2 , cx10_7: 9.869e-3 "
11,5.116586579732463,97.42566137669384,183.33601409198883,2.963577185913433e-4,2.963577185913433e-4,1.6900000000000026e-2,"cx11_8: 6.448e-3 , cx11_14: 9.139e-3 "
12,4.927782491440484,85.96049497549575,169.47052867827753,1.0222387386244168e-3,1.0222387386244168e-3,1.0270000000000001e-1,"cx12_15: 2.043e-2 , cx12_13: 1.789e-2 , cx12_10: 4.265e-2 "
13,5.127665309842244,106.92180909308868,172.7076978222109,2.2627260413183027e-4,2.2627260413183027e-4,2.1009999999999995e-1,"cx13_12: 1.789e-2 , cx13_14: 1.234e-2 "
14,5.017282587292061,145.29526730572042,192.95565003441158,2.0097913463835125e-4,2.0097913463835125e-4,1.0099999999999998e-2,"cx14_16: 1.869e-2 , cx14_11: 9.139e-3 , cx14_13: 1.234e-2 "
15,5.09164088384538,85.26547392497984,61.53805162788733,2.988769636845532e-3,2.988769636845532e-3,2.6380000000000003e-1,"cx15_18: 1.880e-2 , cx15_12: 2.043e-2 "
16,4.943102796972799,66.85641177265835,52.07925546887598,2.623858295662733e-3,2.623858295662733e-3,3.620000000000001e-2,"cx16_14: 1.869e-2 , cx16_19: 2.195e-2 "
17,5.157803402958727,66.44342559667548,76.80287077850416,6.921877963221204e-4,6.921877963221204e-4,1.749999999999996e-2,"cx17_18: 3.337e-2 "
18,5.059726631904709,84.12309876435148,127.3189757773514,1.2156066987890407e-3,1.2156066987890407e-3,1.3700000000000045e-2,"cx18_17: 3.337e-2 , cx18_15: 1.880e-2 , cx18_21: 1.230e-2 "
19,5.069447296874872,80.09855471598392,90.92754974138283,3.8612759056102326e-4,3.8612759056102326e-4,1.7100000000000004e-2,"cx19_22: 1.106e-2 , cx19_16: 2.195e-2 , cx19_20: 1.205e-2 "
20,4.916061358255037,119.01890108102637,93.5859606200179,2.2384890831444798e-4,2.2384890831444798e-4,9.199999999999986e-3,"cx20_19: 1.205e-2 "
21,5.144728592670303,90.75089937715346,56.303723781794126,4.255508252793644e-4,4.255508252793644e-4,1.8100000000000005e-2,"cx21_18: 1.230e-2 , cx21_23: 1.597e-2 "
22,5.12145943720236,121.86729864438703,124.20578925409286,6.408019013887805e-4,6.408019013887805e-4,1.6100000000000003e-2,"cx22_19: 1.106e-2 , cx22_25: 1.212e-2 "
23,5.099572480556006,120.57142195085828,46.76412037008307,6.832729622113414e-4,6.832729622113414e-4,5.830000000000002e-2,"cx23_24: 1.108e-2 , cx23_21: 1.597e-2 "
24,4.963359930102155,86.97167472064432,107.48017729773149,4.788770914892522e-4,4.788770914892522e-4,1.5800000000000036e-2,"cx24_25: 1.210e-2 , cx24_23: 1.108e-2 "
25,5.064627934122802,118.06119282460297,190.65807571543445,2.799564295151683e-4,2.799564295151683e-4,9.700000000000042e-3,"cx25_26: 1.387e-2 , cx25_24: 1.210e-2 , cx25_22: 1.212e-2 "
26,5.215724659413419,80.58451769936524,143.57774443427417,2.871746521050655e-4,2.871746521050655e-4,7.800000000000029e-3,"cx26_25: 1.387e-2 "
