Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.1132834219413015,81.81446368106135,137.20975798398428,4.070931390581206e-4,4.070931390581206e-4,1.6000000000000014e-2,"cx0_1: 1.409e-2 "
1,5.161151898068165,61.43911161988744,32.69147873994956,6.137557714987707e-4,6.137557714987707e-4,1.3299999999999979e-2,"cx1_0: 1.409e-2 , cx1_4: 8.784e-3 , cx1_2: 1.562e-2 "
2,5.31098040429312,50.687606249872665,79.47055653951537,5.823855727670621e-4,5.823855727670621e-4,1.31e-1,"cx2_3: 2.315e-2 , cx2_1: 1.562e-2 "
3,5.460015925647135,72.40934732329445,82.9423407642815,1.4699879711384902e-3,1.4699879711384902e-3,2.6799999999999935e-2,"cx3_2: 2.315e-2 , cx3_5: 1.498e-2 "
4,5.353475797482689,102.64930410647837,151.6247465993349,2.898766325425577e-4,2.898766325425577e-4,2.1700000000000053e-2,"cx4_7: 9.769e-3 , cx4_1: 8.784e-3 "
5,5.30349436270801,70.93373249513026,83.1604999953341,3.723501718510393e-4,3.723501718510393e-4,1.7900000000000027e-2,"cx5_3: 1.498e-2 , cx5_8: 1.275e-2 "
6,5.136349996741264,76.88809705726668,14.54626401296732,3.1364899931617747e-4,3.1364899931617747e-4,1.4399999999999968e-2,"cx6_7: 8.508e-3 "
7,5.202520719871648,110.42454309526526,117.39599616127215,2.3686901416706613e-4,2.3686901416706613e-4,1.200000000000001e-2,"cx7_4: 9.769e-3 , cx7_6: 8.508e-3 , cx7_10: 6.897e-3 "
8,5.174622599516149,51.17740350643972,59.719472401523795,1.1898475192636264e-3,1.1898475192636264e-3,1.9399999999999973e-2,"cx8_9: 1.348e-2 , cx8_11: 1.493e-2 , cx8_5: 1.275e-2 "
9,5.253695173383947,107.88277565404572,63.61657015302855,2.6395326560753373e-4,2.6395326560753373e-4,1.7000000000000015e-2,"cx9_8: 1.348e-2 "
10,5.426610533688785,52.80374493452914,101.15648207227474,2.449577804653103e-4,2.449577804653103e-4,1.4899999999999913e-2,"cx10_12: 2.613e-2 , cx10_7: 6.897e-3 "
11,5.390186788008701,84.33624208396256,102.33374848756958,2.2214715855223098e-4,2.2214715855223098e-4,1.5300000000000091e-2,"cx11_8: 1.493e-2 , cx11_14: 6.832e-3 "
12,5.26312416179845,65.09593189113913,80.92216287633012,3.0325879889129376e-4,3.0325879889129376e-4,2.2399999999999975e-2,"cx12_15: 7.492e-3 , cx12_10: 2.613e-2 , cx12_13: 6.771e-3 "
13,5.03819046577974,140.58555459579165,113.34419802343542,2.2872589122010598e-4,2.2872589122010598e-4,1.1900000000000022e-2,"cx13_12: 6.771e-3 , cx13_14: 1.181e-2 "
14,5.205028039804122,82.2921559880066,125.1244687654913,2.711853426605365e-4,2.711853426605365e-4,2.080000000000004e-2,"cx14_11: 6.832e-3 , cx14_13: 1.181e-2 "
15,5.125403780220279,77.22893706384116,101.9112608674357,2.208876921464347e-4,2.208876921464347e-4,1.5300000000000091e-2,"cx15_12: 7.492e-3 "
