Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,4.838205258994794,57.450385181040104,109.68303134523329,5.36930038814363e-4,5.36930038814363e-4,1.1650000000000005e-1,"cx0_10: 1.643e-2 , cx0_1: 1.304e-2 "
1,4.681076302882776,55.46460023231834,97.2488863702299,4.274673145190263e-4,4.274673145190263e-4,2.9099999999999904e-2,"cx1_2: 1.346e-2 , cx1_0: 1.304e-2 "
2,4.9465775621636086,65.23095293652428,62.00127747490969,5.350403943558307e-4,5.350403943558307e-4,2.939999999999998e-2,"cx2_1: 1.346e-2 , cx2_3: 1.546e-2 "
3,4.7657004608767455,66.31209539149272,91.45061486675475,8.724197579871057e-4,8.724197579871057e-4,3.200000000000003e-2,"cx3_2: 1.546e-2 , cx3_4: 1.515e-2 "
4,4.710173142819343,42.8499259160105,71.7249535282273,9.162151672367542e-4,9.162151672367542e-4,1.6000000000000014e-2,"cx4_11: 1.239e-2 , cx4_5: 1.335e-2 , cx4_3: 1.515e-2 "
5,4.574269878999102,63.3758040276109,45.5127489651993,3.721363618644663e-4,3.721363618644663e-4,3.709999999999991e-2,"cx5_6: 1.052e-2 , cx5_4: 1.335e-2 "
6,4.758338494259561,73.11343037426079,108.69533665129278,3.398427294135771e-4,3.398427294135771e-4,2.5800000000000045e-2,"cx6_5: 1.052e-2 , cx6_7: 1.106e-2 "
7,4.630152825295643,72.33285301997054,108.10919921352802,2.907798278882763e-4,2.907798278882763e-4,1.550000000000007e-2,"cx7_6: 1.106e-2 , cx7_8: 1.075e-2 "
8,4.7780770944374655,67.86478878338102,88.53133654156078,4.4752160102735916e-4,4.4752160102735916e-4,2.069999999999994e-2,"cx8_9: 1.479e-2 , cx8_7: 1.075e-2 , cx8_12: 2.267e-2 "
9,4.929219939618715,67.64840711583308,112.15245517483233,3.8219212787478054e-4,3.8219212787478054e-4,1.3400000000000079e-2,"cx9_8: 1.479e-2 "
10,4.688239258128204,70.25624386278723,87.14926356144963,3.1959465978254335e-4,3.1959465978254335e-4,6.0899999999999954e-2,"cx10_0: 1.643e-2 , cx10_13: 1.162e-2 "
11,4.763917043158709,68.86853737355617,106.15424637453151,6.912444574297457e-4,6.912444574297457e-4,9.060000000000001e-2,"cx11_17: 1.107e-2 , cx11_4: 1.239e-2 "
12,4.939150388138929,58.93170793265086,92.12240148785749,4.794816274738023e-4,4.794816274738023e-4,1.3800000000000034e-2,"cx12_21: 1.850e-2 , cx12_8: 2.267e-2 "
13,4.84021710436659,51.25347082957264,49.62074360331676,3.82514214985009e-4,3.82514214985009e-4,5.3300000000000014e-2,"cx13_10: 1.162e-2 , cx13_14: 3.525e-2 "
14,4.632120334167356,59.739055743213704,7.548193859470972,1.111248668167775e-3,1.111248668167775e-3,1.6179999999999994e-1,"cx14_15: 3.653e-2 , cx14_13: 3.525e-2 "
15,4.802972535859024,64.83425634798385,96.09961203688052,8.111028058214567e-4,8.111028058214567e-4,8.889999999999998e-2,"cx15_14: 3.653e-2 , cx15_24: 1.011e-2 , cx15_16: 2.254e-2 "
16,4.649010481753991,68.7468724719809,82.63339089086347,3.627271531342983e-4,3.627271531342983e-4,1.0969999999999991e-1,"cx16_17: 1.037e-2 , cx16_15: 2.254e-2 "
17,4.877033522909959,52.13118341325225,76.53747782029127,4.916757098113619e-4,4.916757098113619e-4,3.53e-2,"cx17_11: 1.107e-2 , cx17_16: 1.037e-2 , cx17_18: 1.119e-2 "
18,4.817085292129037,67.14835303429878,100.62319569071539,3.671772366009271e-4,3.671772366009271e-4,1.4999999999999902e-2,"cx18_19: 1.351e-2 , cx18_17: 1.119e-2 "
19,4.999323432976609,44.811944616360975,55.03992297013307,1.902022926131145e-3,1.902022926131145e-3,5.289999999999995e-2,"cx19_20: 1.634e-2 , cx19_18: 1.351e-2 , cx19_25: 2.415e-2 "
20,4.842876183410779,67.10018089018803,47.43338800704725,3.606213745023126e-4,3.606213745023126e-4,1.1900000000000022e-2,"cx20_19: 1.634e-2 , cx20_21: 8.836e-3 "
21,4.779520773167874,50.318289169750045,77.43029479416224,3.3665273136279915e-4,3.3665273136279915e-4,1.4499999999999957e-2,"cx21_12: 1.850e-2 , cx21_22: 1.834e-2 , cx21_20: 8.836e-3 "
22,4.93483820634653,42.82178187761444,97.63153928015788,4.6394527423122703e-4,4.6394527423122703e-4,2.0499999999999963e-2,"cx22_21: 1.834e-2 , cx22_23: 1.000e+0 "
23,4.797168421307648,29.355426773202026,50.601778908551836,7.879218399124795e-4,7.879218399124795e-4,5.1000000000000045e-2,"cx23_26: 2.157e-2 , cx23_22: 1.000e+0 "
24,5.012299467961735,63.39672463227758,68.87113254637144,4.1021462255106056e-4,4.1021462255106056e-4,1.629999999999998e-2,"cx24_15: 1.011e-2 , cx24_29: 1.902e-2 "
25,4.8594454974482675,31.73887128310523,49.3667249902058,5.826979286101423e-4,5.826979286101423e-4,3.74000000000001e-2,"cx25_33: 1.399e-2 , cx25_19: 2.415e-2 "
26,4.720576613208192,66.25687646107482,108.78731845713168,6.461088346634565e-4,6.461088346634565e-4,2.069999999999994e-2,"cx26_23: 2.157e-2 , cx26_37: 1.662e-2 "
27,4.799696781240552,61.918266505071834,113.48910187057517,4.8121464182542846e-4,4.8121464182542846e-4,4.049999999999998e-2,"cx27_38: 2.438e-2 , cx27_28: 2.209e-2 "
28,4.895834298843857,24.134069764124742,44.26071184029444,7.1286779163466e-4,7.1286779163466e-4,1.5700000000000047e-2,"cx28_29: 3.014e-2 , cx28_27: 2.209e-2 "
29,4.785710356764841,39.381000268102824,55.01863975009117,6.475341650094218e-4,6.475341650094218e-4,1.8399999999999972e-2,"cx29_28: 3.014e-2 , cx29_30: 1.591e-2 , cx29_24: 1.902e-2 "
