Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.073463962831343,86.9828617423435,105.61318899980165,2.4121955577491994e-4,2.4121955577491994e-4,2.6899999999999924e-2,"cx0_1: 1.545e-2 "
1,4.943861191836084,151.31103544885187,37.397274859514326,3.6092192359974686e-4,3.6092192359974686e-4,2.089999999999992e-2,"cx1_2: 2.779e-2 , cx1_4: 1.242e-2 , cx1_0: 1.545e-2 "
2,4.668161494316462,169.2435165813978,156.69021643281948,1.31726673878107e-4,1.31726673878107e-4,1.2799999999999923e-2,"cx2_3: 6.637e-3 , cx2_1: 2.779e-2 "
3,4.887315459685529,126.44939512988311,130.26643276527108,2.0216204104472242e-4,2.0216204104472242e-4,3.0000000000000027e-2,"cx3_2: 6.637e-3 , cx3_5: 7.425e-3 "
4,5.016356194178597,126.74650112594102,169.57088916911002,2.1202799481818553e-4,2.1202799481818553e-4,1.9199999999999995e-2,"cx4_7: 5.953e-3 , cx4_1: 1.242e-2 "
5,4.95053862238837,112.13415157649794,72.52134452654569,4.744357993061845e-4,4.744357993061845e-4,2.6699999999999946e-2,"cx5_8: 3.232e-2 , cx5_3: 7.425e-3 "
6,4.970620163917531,113.48108376266102,146.90154734176687,2.4638986936051827e-4,2.4638986936051827e-4,1.429999999999998e-2,"cx6_7: 1.482e-2 "
7,4.889861099111778,128.08618339018972,169.18534014132763,2.1556165837837536e-4,2.1556165837837536e-4,2.180000000000004e-2,"cx7_10: 8.603e-3 , cx7_6: 1.482e-2 , cx7_4: 5.953e-3 "
8,4.769857579861668,82.76515065326133,38.42104598215817,3.174737362785066e-4,3.174737362785066e-4,1.0620000000000007e-1,"cx8_5: 3.232e-2 , cx8_9: 1.305e-2 , cx8_11: 9.088e-3 "
9,4.948868323190365,88.16494140309982,63.44297185541401,2.9512898972557545e-4,2.9512898972557545e-4,3.259999999999996e-2,"cx9_8: 1.305e-2 "
10,4.966301609894923,115.18403780985695,167.28662273282632,3.125789138223965e-4,3.125789138223965e-4,4.420000000000002e-2,"cx10_12: 6.059e-3 , cx10_7: 8.603e-3 "
11,4.664626254467033,100.68565508228743,150.5154266548311,2.158998261682325e-4,2.158998261682325e-4,2.0100000000000007e-2,"cx11_14: 1.153e-2 , cx11_8: 9.088e-3 "
12,4.74146519434899,60.93682702109172,61.47627051051081,2.0576252037723738e-4,2.0576252037723738e-4,4.5700000000000074e-2,"cx12_13: 7.213e-3 , cx12_10: 6.059e-3 , cx12_15: 5.484e-3 "
13,4.879061820790621,124.75326813426896,115.75791833014252,1.6153801228436298e-4,1.6153801228436298e-4,1.7400000000000082e-2,"cx13_14: 5.677e-3 , cx13_12: 7.213e-3 "
14,4.774815519677496,156.1160970410432,141.89513092763806,2.624839932637528e-4,2.624839932637528e-4,1.0309999999999997e-1,"cx14_11: 1.153e-2 , cx14_13: 5.677e-3 , cx14_16: 5.742e-3 "
15,4.860834713410433,176.75719541373596,218.6370781978341,1.5598708590781115e-4,1.5598708590781115e-4,8.220000000000005e-2,"cx15_18: 7.600e-3 , cx15_12: 5.484e-3 "
16,4.978317338229191,122.53499403599396,154.95134700189644,2.0403857703246996e-4,2.0403857703246996e-4,1.6000000000000014e-2,"cx16_14: 5.742e-3 , cx16_19: 7.874e-3 "
17,5.000292726369008,120.4079936867348,40.3435781489952,1.8694100563573752e-4,1.8694100563573752e-4,2.100000000000002e-2,"cx17_18: 8.528e-3 "
18,4.772450747885924,89.32759842135248,46.74720857366641,4.1938836378037424e-4,4.1938836378037424e-4,3.0100000000000016e-2,"cx18_21: 8.566e-3 , cx18_17: 8.528e-3 , cx18_15: 7.600e-3 "
19,4.80776920958045,123.9156955484023,112.78336547374553,1.8928084382064964e-4,1.8928084382064964e-4,2.0399999999999974e-2,"cx19_16: 7.874e-3 , cx19_22: 4.771e-3 , cx19_20: 5.997e-3 "
20,5.045041463848795,103.21811957094877,83.3692471525898,2.446928442733996e-4,2.446928442733996e-4,3.1200000000000006e-2,"cx20_19: 5.997e-3 "
21,4.941016578791103,122.85950067870776,179.4714838006305,2.963318281114053e-4,2.963318281114053e-4,2.3600000000000065e-2,"cx21_18: 8.566e-3 , cx21_23: 8.121e-3 "
22,4.906801286862828,122.30544762927624,190.6823978209779,1.7792501042356135e-4,1.7792501042356135e-4,2.5900000000000034e-2,"cx22_19: 4.771e-3 , cx22_25: 8.430e-3 "
23,4.891603357281358,134.72075725231124,114.21326928600924,3.591814638311656e-4,3.591814638311656e-4,2.4900000000000033e-2,"cx23_24: 1.055e-2 , cx23_21: 8.121e-3 "
24,4.6642160838056785,103.09773737557583,65.53678703866532,1.9771658614255443e-4,1.9771658614255443e-4,3.190000000000004e-2,"cx24_23: 1.055e-2 , cx24_25: 5.775e-3 "
25,4.7420600241614785,156.22521887582326,68.76517361544185,1.5777002962089314e-4,1.5777002962089314e-4,4.410000000000003e-2,"cx25_22: 8.430e-3 , cx25_26: 4.934e-3 , cx25_24: 5.775e-3 "
26,4.961667499480546,106.28420610436397,170.85782669423526,1.5225214602639534e-4,1.5225214602639534e-4,2.5500000000000078e-2,"cx26_25: 4.934e-3 "
