Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.02787352647348,42.77576411093075,58.64063113564423,3.991133621834024e-4,3.991133621834024e-4,1.6599999999999948e-2,"cx0_1: 1.109e-2 "
1,4.972146818090481,91.57844634108545,161.2694743622744,2.2888222069408998e-4,2.2888222069408998e-4,1.4499999999999957e-2,"cx1_4: 8.073e-3 , cx1_2: 9.077e-3 , cx1_0: 1.109e-2 "
2,4.779375092765044,88.50104026178649,87.00704550537031,2.784313557170791e-4,2.784313557170791e-4,1.4799999999999924e-2,"cx2_3: 8.804e-3 , cx2_1: 9.077e-3 "
3,4.8495634485036945,143.6214883353195,194.14112780323217,1.856582809099636e-4,1.856582809099636e-4,1.5300000000000091e-2,"cx3_5: 8.005e-3 , cx3_2: 8.804e-3 "
4,4.750781559077781,88.5545092058343,133.57674434876841,2.936798150786897e-4,2.936798150786897e-4,3.200000000000003e-2,"cx4_7: 1.158e-2 , cx4_1: 8.073e-3 "
5,4.70489756974811,125.14195289287723,87.0920350883624,4.869971391187138e-4,4.869971391187138e-4,5.190000000000006e-2,"cx5_8: 1.249e-2 , cx5_3: 8.005e-3 "
6,4.857672420329997,131.49079841456748,98.04098816369417,2.2668632159750988e-4,2.2668632159750988e-4,3.539999999999999e-2,"cx6_7: 3.940e-2 "
7,4.705326147056262,128.7992174983034,62.761803449992414,4.323185960690196e-4,4.323185960690196e-4,1.644e-1,"cx7_10: 1.612e-2 , cx7_4: 1.158e-2 , cx7_6: 3.940e-2 "
8,4.7693107345008405,101.52127868302895,153.14417827918595,2.0215199210501416e-4,2.0215199210501416e-4,2.42e-2,"cx8_5: 1.249e-2 , cx8_11: 7.998e-3 , cx8_9: 6.982e-3 "
9,4.864384967202549,77.55380387392746,100.45250465115629,2.256999679766262e-4,2.256999679766262e-4,4.689999999999994e-2,"cx9_8: 6.982e-3 "
10,4.854526638112714,56.851898583411206,81.41608155337768,3.2550848061964913e-4,3.2550848061964913e-4,1.6799999999999926e-2,"cx10_7: 1.612e-2 , cx10_12: 1.594e-2 "
11,4.854113579754857,122.10968627277516,148.69108117488184,3.0064848494975465e-4,3.0064848494975465e-4,3.3399999999999985e-2,"cx11_14: 7.430e-3 , cx11_8: 7.998e-3 "
12,4.745210387903274,86.66368834398877,22.11105413125344,6.470368141192217e-4,6.470368141192217e-4,1.493e-1,"cx12_15: 1.657e-2 , cx12_10: 1.594e-2 , cx12_13: 1.000e+0 "
13,4.84632482422934,69.17935870862328,88.41468914480885,5.57018327054042e-4,5.57018327054042e-4,1.1099999999999999e-2,"cx13_14: 8.880e-3 , cx13_12: 1.000e+0 "
14,4.782468925283776,113.687479117573,71.55102438207227,2.4040652748577926e-4,2.4040652748577926e-4,3.2200000000000006e-2,"cx14_13: 8.880e-3 , cx14_11: 7.430e-3 , cx14_16: 6.082e-3 "
15,4.833430559679914,108.74566482746768,93.25850761920739,3.9055955717610773e-4,3.9055955717610773e-4,4.64e-2,"cx15_12: 1.657e-2 , cx15_18: 1.341e-2 "
16,4.999851349380648,80.74193419888657,164.12150964217443,1.9750998579386308e-4,1.9750998579386308e-4,1.0299999999999976e-2,"cx16_14: 6.082e-3 , cx16_19: 7.123e-3 "
17,4.75243930242307,117.52044842618174,172.84181281194395,4.287866603047195e-4,4.287866603047195e-4,2.7200000000000002e-2,"cx17_18: 1.044e-2 "
18,4.628939627033577,86.26562056367631,43.495662480158806,5.204799400524998e-4,5.204799400524998e-4,5.04e-2,"cx18_21: 1.455e-2 , cx18_17: 1.044e-2 , cx18_15: 1.341e-2 "
19,4.75642483140677,128.18673532936853,179.08475740608034,2.1075048587396473e-4,2.1075048587396473e-4,3.649999999999998e-2,"cx19_20: 1.708e-2 , cx19_16: 7.123e-3 , cx19_22: 7.927e-3 "
20,4.886524490586041,77.62716501180091,108.41096452889445,2.0976157396188086e-3,2.0976157396188086e-3,8.139999999999992e-2,"cx20_19: 1.708e-2 "
21,4.680573867845222,125.17405211498418,197.1901238664601,2.5733612041199373e-4,2.5733612041199373e-4,2.729999999999999e-2,"cx21_23: 1.121e-2 , cx21_18: 1.455e-2 "
22,4.854410249048978,91.38095221567337,97.75938182459477,2.0969744159077912e-4,2.0969744159077912e-4,2.059999999999995e-2,"cx22_19: 7.927e-3 , cx22_25: 9.417e-3 "
23,4.732183984389607,142.31775369695595,82.97760070544736,2.908618242869951e-4,2.908618242869951e-4,2.8000000000000025e-2,"cx23_24: 1.021e-2 , cx23_21: 1.121e-2 "
24,4.828499601189765,91.28551029068946,156.16427610593925,1.947059641150894e-4,1.947059641150894e-4,1.5499999999999958e-2,"cx24_25: 1.051e-2 , cx24_23: 1.021e-2 "
25,4.729957310978674,90.84728963303554,72.37503209377215,2.305067199161596e-4,2.305067199161596e-4,2.7000000000000024e-2,"cx25_24: 1.051e-2 , cx25_22: 9.417e-3 , cx25_26: 8.637e-3 "
26,4.847542817211324,94.25661396153572,217.48968364552854,2.981961930613188e-4,2.981961930613188e-4,9.199999999999986e-3,"cx26_25: 8.637e-3 "
