Qubit,T1 (µs),T2 (µs),Frecuency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,72.37961434936388,25.91771385967052,5.100113660043315,5.7700000000000085e-2,7.054367669532269e-3,
Q1,72.45435630830825,117.97188931912856,5.238511576997024,8.479999999999999e-2,1.867427590177473e-2,"CX1_0: 7.923e-2, CX1_2: 3.730e-2"
Q2,53.71503316834785,97.26363150836981,5.0325781309801085,3.400000000000003e-2,8.20967227182856e-3,"CX2_3: 4.585e-2"
Q3,69.8022035681634,61.01830339107292,4.896230174241741,5.249999999999999e-2,2.160184221702721e-3,
Q4,35.40346847487683,27.636654111736338,5.030669254606672,6.990000000000007e-2,7.99199039793641e-3,"CX4_3: 4.803e-2, CX4_10: 8.399e-2"
Q5,23.73992268000392,50.60366546708947,5.067164280132275,5.6599999999999984e-2,4.641422115950089e-3,"CX5_4: 6.437e-2, CX5_6: 6.079e-2, CX5_9: 5.827e-2"
Q6,58.622391933686025,79.89690078143622,4.923820632950447,4.510000000000003e-2,2.2863182055935516e-3,"CX6_8: 3.228e-2"
Q7,33.7832142656552,80.18932526505026,4.974541916899185,1.3640000000000008e-1,3.458781749310247e-3,"CX7_8: 2.688e-2"
Q8,57.66223688658964,100.65451381480204,4.739562282325288,4.489999999999994e-2,4.329944348318793e-3,
Q9,45.33109233950118,87.857612939351,4.963376145744588,3.159999999999996e-2,8.334404983744048e-3,"CX9_8: 5.091e-2, CX9_10: 7.525e-2"
Q10,35.22237799821856,58.40858275012478,4.945061515037806,7.180000000000009e-2,4.051386482352259e-3,
Q11,63.99037366231243,84.56372458691885,5.0050014127636695,6.099999999999994e-2,4.932349221363097e-3,"CX11_3: 3.597e-2, CX11_10: 6.231e-2, CX11_12: 6.537e-2"
Q12,47.9248633675003,79.41180409796982,4.759963007667406,4.420000000000002e-2,1.0757636120822922e-2,"CX12_2: 6.926e-2"
Q13,20.495846872862895,34.86306228093228,4.96853427708751,5.109999999999992e-2,1.7346696682072227e-2,"CX13_1: 2.021e-1, CX13_12: 6.945e-2"
