Qubit,T1 (µs),T2 (µs),Frecuency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,45.66881800512132,20.417016451199853,5.10012980319318,2.42e-2,5.953752281497415e-3,
Q1,63.32276024172713,112.22170406483235,5.2385170665632,5.04e-2,1.141215670614204e-2,"CX1_0: 5.532e-2, CX1_2: 4.061e-2"
Q2,56.58492718114044,7.656140092943121,5.032506072110189,6.75e-2,3.4832925481383836e-2,"CX2_3: 7.376e-2"
Q3,78.63804272353833,69.84934568749038,4.89622400835679,3.739999999999999e-2,2.108207412352736e-3,
Q4,44.5200844025209,20.31519250805979,5.02996690117503,7.410000000000005e-2,2.102433861879649e-1,"CX4_3: 7.308e-2, CX4_10: 8.913e-2"
Q5,25.543465711996156,49.14067850791479,5.067162200800734,6.240000000000001e-2,3.6910285393727538e-3,"CX5_4: 7.287e-2, CX5_6: 5.493e-2, CX5_9: 1.254e-1"
Q6,59.385471279781605,77.58846374614568,4.923828290205722,3.510000000000002e-2,2.677611063734653e-3,"CX6_8: 3.695e-2"
Q7,42.83995683784114,65.74731289310459,4.9745438690126464,1.1250000000000004e-1,3.91377483904809e-3,"CX7_8: 4.518e-2"
Q8,44.59902723438765,66.47979312575764,4.739557683948207,6.410000000000005e-2,5.813373587680526e-3,
Q9,42.514872667401534,48.38108653361343,4.963390713795816,4.2300000000000004e-2,1.0378321259198131e-2,"CX9_8: 7.574e-2, CX9_10: 6.767e-2"
Q10,47.94864725217875,52.914056214674254,4.945065140290002,6.35e-2,3.5424174339971914e-3,
Q11,69.13687760295163,118.4194066912214,5.0049988893355835,6.35e-2,3.732618523256681e-3,"CX11_3: 3.049e-2, CX11_10: 3.956e-2, CX11_12: 4.319e-2"
Q12,59.66927734950119,97.2337006566986,4.759959189252727,5.279999999999996e-2,6.825085670843056e-3,"CX12_2: 8.574e-2"
Q13,23.309667107882014,38.1558556854241,4.968529513149066,4.74e-2,1.391082867970439e-2,"CX13_1: 1.104e-1, CX13_12: 5.621e-2"
