Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U3 error rate,CNOT error rate
Q0,58.84881184807705,22.466559368991945,5.100114445020058,2.279999999999993e-2,6.078004663867542e-3,
Q1,56.24286330459483,97.2665326432847,5.238526508737418,2.8200000000000003e-2,1.0152721449804392e-2,"CX1_0: 5.454e-2, CX1_2: 7.992e-2"
Q2,46.35706651004948,79.01932139212157,5.032575576185511,3.210000000000002e-2,7.1081195738581515e-3,"CX2_3: 3.745e-2"
Q3,84.6799885854361,78.44121251762152,4.896242458758388,4.830000000000001e-2,1.8658958042080398e-3,
Q4,33.60837978426321,21.363126893957652,5.0305619764187615,4.859999999999998e-2,6.949892483811837e-3,"CX4_3: 5.715e-2, CX4_10: 8.092e-2"
Q5,25.924537487480716,41.95129543722049,5.067165145855493,6.989999999999996e-2,5.586548524665669e-3,"CX5_4: 1.307e-1, CX5_6: 8.762e-2, CX5_9: 6.923e-2"
Q6,9.093348087470487,20.025993038927243,4.923798805610097,4.849999999999999e-2,6.156569365607156e-3,"CX6_8: 5.709e-2"
Q7,43.145990002382916,53.91196745736244,4.974565854641279,1.8479999999999996e-1,3.4875079318706925e-3,"CX7_8: 3.106e-2"
Q8,60.20934433719113,94.8738913248697,4.739552723538702,2.7800000000000047e-2,3.529900875467673e-3,
Q9,44.0351214596663,83.20824296974314,4.96337520741333,2.9299999999999993e-2,6.002428521724612e-3,"CX9_8: 5.046e-2, CX9_10: 4.615e-2"
Q10,56.53040334925845,58.22027465030489,4.945061187532108,4.7700000000000076e-2,4.166670097255243e-3,
Q11,54.593322579275366,54.627392554396074,5.005007768693675,5.800000000000005e-2,5.131169859267426e-3,"CX11_3: 1.033e-1, CX11_10: 4.720e-2, CX11_12: 5.215e-2"
Q12,67.35443611693212,109.83884777816405,4.760079637691028,7.299999999999995e-2,7.905772690945612e-3,"CX12_2: 9.968e-2"
Q13,14.677745780807305,29.464395820005638,4.9685127044893616,1.0109999999999997e-1,1.344383101752411e-2,"CX13_1: 1.917e-1, CX13_12: 7.229e-2"
