Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Sqrt-x (sx) error,CNOT error
,4.838196023648531,43.30481380847101,74.43945029129658,7.940000000000003e-2,0.00043611489271552746,"cx0_10: 2.411e-2 , cx0_1: 1.182e-2 "
1,4.68108010523922,55.35973879304979,102.15097769105071,2.200000000000002e-2,0.00041983904059612323,"cx1_0: 1.182e-2 , cx1_2: 1.190e-2 "
2,4.94657805115116,54.16384924695861,68.47932304217018,4.3399999999999994e-2,0.00047800256702158056,"cx2_1: 1.190e-2 , cx2_3: 1.433e-2 "
3,4.765699848254074,51.14376812774382,62.970352578144855,2.3800000000000043e-2,0.0005923452671394041,"cx3_4: 2.006e-2 , cx3_2: 1.433e-2 "
4,4.710177551081594,33.86940970481622,62.292005765838645,1.8000000000000016e-2,0.0007904178155365522,"cx4_5: 1.207e-2 , cx4_11: 1.245e-2 , cx4_3: 2.006e-2 "
5,4.5742585650150795,55.53344506042744,22.440399017900035,3.74000000000001e-2,0.0005146170345249867,"cx5_4: 1.207e-2 , cx5_6: 1.097e-2 "
6,4.758332580888028,65.31064515586108,99.13629393168856,1.8299999999999983e-2,0.00036573849404699255,"cx6_5: 1.097e-2 , cx6_7: 1.093e-2 "
7,4.6301474822235305,79.27678241495576,118.86958648631592,1.8199999999999994e-2,0.0003439161501104419,"cx7_6: 1.093e-2 , cx7_8: 1.570e-2 "
8,4.778080347487794,57.36625814924179,74.95292004146887,2.100000000000002e-2,0.0005157583290632926,"cx8_9: 1.355e-2 , cx8_12: 2.368e-2 , cx8_7: 1.570e-2 "
9,4.929263024926122,66.61572248138182,76.61481298578285,1.3400000000000079e-2,0.00042202774338707705,"cx9_8: 1.355e-2 "
10,4.688251999779576,67.32788515308248,69.42039017443896,6.05e-2,0.0006721978757221271,"cx10_0: 2.411e-2 , cx10_13: 1.980e-2 "
11,4.763918082933693,52.97179773987849,98.96180208155292,8.399999999999996e-2,0.0005997405067497776,"cx11_4: 1.245e-2 , cx11_17: 1.251e-2 "
12,4.939137730294598,62.384080476852226,87.25133638678604,1.4100000000000001e-2,0.0005795712492305478,"cx12_21: 1.868e-2 , cx12_8: 2.368e-2 "
13,4.840226226273943,66.2963205843011,66.5827433972867,4.7599999999999976e-2,0.00035556527311782514,"cx13_10: 1.980e-2 , cx13_14: 2.914e-2 "
14,4.631600076812708,71.55832060394367,7.3118514632477,1.372e-1,0.0020216656912644547,"cx14_15: 3.792e-2 , cx14_13: 2.914e-2 "
15,4.80297558155868,55.671050003294425,85.01886795989375,9.420000000000006e-2,0.0012841621111302094,"cx15_14: 3.792e-2 , cx15_16: 1.550e-2 , cx15_24: 1.042e-2 "
16,4.648956984280315,48.805732006875125,97.76647219423776,7.120000000000004e-2,0.000696863751190673,"cx16_15: 1.550e-2 , cx16_17: 1.943e-2 "
17,4.877029349992326,68.92020359500155,79.35508889936894,4.9899999999999944e-2,0.0003346341301346978,"cx17_11: 1.251e-2 , cx17_16: 1.943e-2 , cx17_18: 1.267e-2 "
