Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout error,Sqrt-x (sx) error,CNOT error
,5.073370405361832,121.67929219388299,168.28122647954999,3.539999999999999e-2,0.0005101299685121506,"cx0_1: 1.000e+0 "
1,4.943807960571946,114.00016385416598,42.64748272755204,1.6699999999999937e-2,0.0003039799973410886,"cx1_2: 2.029e-2 , cx1_4: 1.944e-2 , cx1_0: 1.000e+0 "
2,4.668136580028855,154.77164965042255,152.8389736574637,2.50999999999999e-2,0.00016898800199569825,"cx2_1: 2.029e-2 , cx2_3: 1.124e-2 "
3,4.887284067449797,104.99520884984507,148.26302956785358,1.6899999999999915e-2,0.0001918533012775613,"cx3_2: 1.124e-2 , cx3_5: 5.331e-2 "
4,5.016277036886496,124.0451367990334,198.65606440566108,1.9400000000000084e-2,0.00018562524833032264,"cx4_7: 9.820e-2 , cx4_1: 1.944e-2 "
5,4.950682026107458,98.1657496663009,97.19798468979273,2.279999999999993e-2,0.0002343608773861617,"cx5_8: 2.768e-2 , cx5_3: 5.331e-2 "
6,4.970563205222923,75.04207737157877,86.5167911692587,1.2199999999999989e-2,0.00030533346109601263,"cx6_7: 6.177e-2 "
7,4.889796213568634,162.14628177984508,172.4831043472284,2.959999999999996e-2,0.00024265563727162717,"cx7_10: 1.212e-1 , cx7_6: 6.177e-2 , cx7_4: 9.820e-2 "
8,4.769848594840224,173.93847350993462,63.973877405987544,7.079999999999997e-2,0.00023609813648326882,"cx8_5: 2.768e-2 , cx8_9: 1.161e-2 , cx8_11: 1.236e-2 "
9,4.948808440087067,112.57840336959872,59.06558357938146,6.85e-2,0.00031974885403284847,"cx9_8: 1.161e-2 "
10,4.966234220846251,93.65604877551291,99.0530945031473,1.9200000000000106e-2,0.00026238230563049647,"cx10_12: 1.139e-2 , cx10_7: 1.212e-1 "
11,4.664612394444532,150.2600505933293,119.29958561877356,1.9000000000000017e-2,0.0001658479512109923,"cx11_14: 7.952e-3 , cx11_8: 1.236e-2 "
12,4.741455799045003,96.48204498780005,62.69292255228835,4.369999999999996e-2,0.00018592864497808502,"cx12_13: 2.070e-2 , cx12_15: 9.962e-3 , cx12_10: 1.139e-2 "
13,4.8790201733965235,138.1758128316833,226.00539734980148,2.1399999999999975e-2,0.00025584003534296935,"cx13_14: 1.688e-2 , cx13_12: 2.070e-2 "
14,4.774785063124221,208.14628459965454,38.49721877966006,1.1139999999999994e-1,0.00038916534413244614,"cx14_11: 7.952e-3 , cx14_13: 1.688e-2 , cx14_16: 1.422e-2 "
15,4.860809876505407,121.65208794017853,138.49772568412357,5.5499999999999994e-2,0.00016191799067790888,"cx15_12: 9.962e-3 , cx15_18: 1.207e-2 "
16,4.978283787351371,126.28305998717407,143.7680611141168,1.629999999999998e-2,0.00026006586588970187,"cx16_14: 1.422e-2 , cx16_19: 2.841e-2 "
17,5.000239409089512,139.6007057003542,42.23806832546277,1.629999999999998e-2,0.00023139995180479974,"cx17_18: 1.229e-2 "
18,4.772427086029968,98.90811977810814,46.73187309520219,2.079999999999993e-2,0.00021091977355086706,"cx18_17: 1.229e-2 , cx18_15: 1.207e-2 , cx18_21: 2.109e-2 "
19,4.80768661593558,151.7679200736395,181.9016084364369,2.180000000000004e-2,0.00015371272409713652,"cx19_16: 2.841e-2 , cx19_22: 8.612e-3 , cx19_20: 9.853e-3 "
20,5.044971414677271,110.82711011518518,105.7923904691158,2.7700000000000058e-2,0.0002806190895219958,"cx20_19: 9.853e-3 "
21,4.9409716940796695,80.39018829640446,94.66662655775254,3.1399999999999983e-2,0.00035578044698806406,"cx21_23: 2.402e-2 , cx21_18: 2.109e-2 "
22,4.906758311489698,151.6447986857693,192.6217078040914,4.64e-2,0.00016570114622446876,"cx22_25: 3.809e-2 , cx22_19: 8.612e-3 "
23,4.891563050503101,113.17022507378746,189.41029940967877,2.3599999999999954e-2,0.0002390362872123877,"cx23_24: 2.713e-2 , cx23_21: 2.402e-2 "
24,4.664402254357224,132.3636975645115,63.97921658777606,2.980000000000005e-2,0.00031497544123109544,"cx24_23: 2.713e-2 , cx24_25: 1.142e-2 "
25,4.742054951915781,175.52875443399967,75.84114118126203,3.770000000000007e-2,0.00023011950758973542,"cx25_22: 3.809e-2 , cx25_24: 1.142e-2 , cx25_26: 2.586e-2 "
26,4.961704899525994,54.457704409659286,18.506815085060463,1.0440000000000005e-1,0.0014158544799044953,"cx26_25: 2.586e-2 "
