Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
,5.114624530830923,61.584171917226314,94.5207861254945,3.1099999999999905e-2,0.00043746269818968966,"cx0_14: 3.385e-2 , cx0_1: 1.479e-2 "
1,5.234944196735876,54.48236653364131,44.48845455255692,4.910000000000003e-2,0.000733082100501625,"cx1_13: 4.892e-2 , cx1_2: 1.773e-2 , cx1_0: 1.479e-2 "
2,5.038402306883228,57.75793832528802,67.30309460324942,3.500000000000003e-2,0.0006586987897887912,"cx2_12: 5.376e-2 , cx2_3: 2.694e-2 , cx2_1: 1.773e-2 "
3,4.894445970744331,76.02535734182561,18.698302625796853,8.960000000000001e-2,0.0005238590481047145,"cx3_11: 3.099e-2 , cx3_4: 2.179e-2 , cx3_2: 2.694e-2 "
4,5.02208954030622,55.936843945962984,53.85565883617345,5.7700000000000085e-2,0.0008096672765524238,"cx4_10: 4.619e-2 , cx4_5: 3.148e-2 , cx4_3: 2.179e-2 "
5,5.073232879510865,21.45738271269388,34.903284472542836,5.930000000000002e-2,0.002563439605295149,"cx5_9: 3.497e-2 , cx5_6: 4.913e-2 , cx5_4: 3.148e-2 "
6,4.9294628910203375,80.15260496595167,90.18879064861629,1.9569999999999999e-1,0.0009846820193669008,"cx6_8: 4.135e-2 , cx6_5: 4.913e-2 "
7,4.9832407409957895,32.02211421245929,21.69087802526287,4.569999999999996e-2,0.002286175067840753,"cx7_8: 4.292e-2 "
8,4.751439136392352,100.9226704177114,97.04739925052382,4.699999999999993e-2,0.000590099977138869,"cx8_6: 4.135e-2 , cx8_9: 3.445e-2 , cx8_7: 4.292e-2 "
9,4.973518958093689,42.39670040760293,55.06072515375601,4.4499999999999984e-2,0.002225573072175154,"cx9_5: 3.497e-2 , cx9_10: 3.120e-2 , cx9_8: 3.445e-2 "
10,4.944699415492491,57.906107725106104,45.547276845280734,4.7800000000000065e-2,0.0012831286364441742,"cx10_4: 4.619e-2 , cx10_11: 2.075e-2 , cx10_9: 3.120e-2 "
11,4.997491167014906,62.75592013946776,80.35046009388294,4.630000000000001e-2,0.0005604161390092919,"cx11_3: 3.099e-2 , cx11_12: 1.462e-2 , cx11_10: 2.075e-2 "
12,4.763631819556077,75.03007218252681,67.90680415924172,3.8799999999999946e-2,0.0008366554424001592,"cx12_2: 5.376e-2 , cx12_13: 3.628e-2 , cx12_11: 1.462e-2 "
13,4.973578703967166,23.274521246811005,27.1850451649953,8.220000000000005e-2,0.003935295183810371,"cx13_14: 3.709e-2 , cx13_1: 4.892e-2 , cx13_12: 3.628e-2 "
14,5.007488750447422,39.65858090855528,39.523109484002276,7.269999999999999e-2,0.0007536799203297825,"cx14_0: 3.385e-2 , cx14_13: 3.709e-2 "
