Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
,5.027878760921835,69.73287235429953,61.9932167860484,1.31e-2,0.0003324658763159875,"cx0_1: 8.138e-3 "
1,4.9721260477255935,76.89243684654612,135.52498854425315,1.6000000000000014e-2,0.00023089602967700637,"cx1_4: 7.526e-3 , cx1_2: 7.444e-3 , cx1_0: 8.138e-3 "
2,4.779381846869766,108.55749054126065,95.98217341017184,1.4700000000000046e-2,0.00019458301635080216,"cx2_3: 6.839e-3 , cx2_1: 7.444e-3 "
3,4.849572953837535,91.15719737613476,118.62335541071863,1.8299999999999983e-2,0.0001631659187169194,"cx3_5: 5.947e-3 , cx3_2: 6.839e-3 "
4,4.750786897287996,134.82182684606664,140.49901865332154,2.6599999999999957e-2,0.0003418137147783438,"cx4_7: 1.013e-2 , cx4_1: 7.526e-3 "
5,4.70488414012908,108.46956134344906,183.73259520691664,2.1600000000000064e-2,0.0002158748525761972,"cx5_8: 6.597e-3 , cx5_3: 5.947e-3 "
6,4.857666399944771,144.6163579575533,124.3376129537503,3.469999999999995e-2,0.0002532347238271296,"cx6_7: 3.794e-2 "
7,4.704952944646956,100.78781212706843,60.97867482096909,8.749999999999991e-2,0.0004014722314559389,"cx7_10: 1.318e-2 , cx7_4: 1.013e-2 , cx7_6: 3.794e-2 "
8,4.769323735761605,125.47792175080194,208.945488597504,2.4499999999999966e-2,0.00018462593794291076,"cx8_5: 6.597e-3 , cx8_11: 9.239e-3 , cx8_9: 7.016e-3 "
9,4.864382981497858,120.03614442972071,221.56936784752526,6.289999999999996e-2,0.00022263019611380952,"cx9_8: 7.016e-3 "
10,4.854522485969496,112.02602907142483,115.63204272082464,1.3600000000000056e-2,0.00022847276763444328,"cx10_7: 1.318e-2 , cx10_12: 1.074e-2 "
11,4.8541122089134054,113.98731233685137,163.27450782168583,2.0499999999999963e-2,0.0006380054986601111,"cx11_14: 1.225e-2 , cx11_8: 9.239e-3 "
12,4.744421524140152,109.47060401200017,21.42316820261532,6.55e-2,0.0004329786177370711,"cx12_13: 2.281e-2 , cx12_15: 1.045e-2 , cx12_10: 1.074e-2 "
13,4.8462612006348005,83.0753878409376,122.01893219282279,1.4899999999999913e-2,0.0009543638070173761,"cx13_14: 1.400e-2 , cx13_12: 2.281e-2 "
14,4.782467370630373,89.4382116935457,72.24344896753735,3.810000000000002e-2,0.00021229241478130332,"cx14_13: 1.400e-2 , cx14_11: 1.225e-2 , cx14_16: 6.979e-3 "
15,4.833425965676306,122.52091390641826,130.35507774849944,3.149999999999997e-2,0.0003152735186567678,"cx15_12: 1.045e-2 , cx15_18: 8.040e-3 "
16,4.999860923563766,99.8465340405393,162.8304421148904,1.7300000000000093e-2,0.00018948969976328222,"cx16_14: 6.979e-3 , cx16_19: 7.735e-3 "
17,4.7524368650018936,136.5003110377126,178.349217786873,2.410000000000001e-2,0.00020763739822905183,"cx17_18: 7.574e-3 "
18,4.629240010270186,88.18855681436347,51.798215390254484,5.0799999999999956e-2,0.0003454434854032426,"cx18_21: 9.962e-3 , cx18_17: 7.574e-3 , cx18_15: 8.040e-3 "
19,4.756441787192692,98.73342507859779,168.48563738901782,9.500000000000064e-3,0.00023953343167961596,"cx19_20: 7.888e-3 , cx19_16: 7.735e-3 , cx19_22: 9.193e-3 "
20,4.886503422570283,69.32982275939416,130.1771865906184,1.770000000000005e-2,0.0003225713437915522,"cx20_19: 7.888e-3 "
21,4.680576211260619,148.39744440616727,133.9526245020988,2.089999999999992e-2,0.00022799051507600308,"cx21_23: 1.014e-2 , cx21_18: 9.962e-3 "
22,4.854410085911433,104.10439741755542,69.34994335449383,3.4399999999999986e-2,0.00035366307489907305,"cx22_19: 9.193e-3 , cx22_25: 1.202e-2 "
23,4.732183557625827,101.73794986443437,82.1049575193312,2.079999999999993e-2,0.00029566284662879553,"cx23_24: 1.093e-2 , cx23_21: 1.014e-2 "
24,4.828484331105998,91.68745111962457,151.73613447845716,1.6800000000000037e-2,0.00038597400786337486,"cx24_25: 1.461e-2 , cx24_23: 1.093e-2 "
25,4.729961390892782,81.83036452515,136.61215466173076,2.3600000000000065e-2,0.0005105819520078947,"cx25_24: 1.461e-2 , cx25_22: 1.202e-2 , cx25_26: 5.378e-2 "
26,4.84744590120631,80.99583751719015,123.61543241789877,1.7000000000000015e-2,0.0038075461135452866,"cx26_25: 5.378e-2 "
