Qubit,Frequency (GHz),T1 (µs),T2 (µs),Readout assignment error,√x (sx) error,CNOT error
,5.071718124235316,87.74015532796537,128.68084041118854,4.4300000000000006e-2,0.0005551392083279321,"cx0_1: 1.203e-2 "
1,5.020812155068945,96.92212099928099,76.62955386484563,1.21e-2,0.00027541153976212295,"cx1_4: 1.094e-2 , cx1_2: 1.114e-2 , cx1_0: 1.203e-2 "
2,4.818413015191296,84.4246414017436,101.831332396468,1.880000000000004e-2,0.0002965078956594466,"cx2_3: 1.193e-2 , cx2_1: 1.114e-2 "
3,4.894797370618098,58.3759573848894,62.240825135265204,3.5700000000000065e-2,0.0005524675757736683,"cx3_5: 1.513e-2 , cx3_2: 1.193e-2 "
4,5.085013024997234,69.95761432813786,55.323557599588426,2.279999999999993e-2,0.0005834471612343454,"cx4_7: 1.510e-2 , cx4_1: 1.094e-2 "
5,4.804114617445731,91.53186866176593,26.112532596429844,9.420000000000006e-2,0.0003314118100301614,"cx5_8: 1.532e-2 , cx5_3: 1.513e-2 "
6,5.201557762375564,66.91390617011025,77.36964203150279,1.4499999999999957e-2,0.0003683140229341099,"cx6_7: 1.044e-2 "
7,5.142377661720063,64.02818407235321,35.15896127457381,1.9199999999999995e-2,0.0005201416071659787,"cx7_10: 8.935e-3 , cx7_6: 1.044e-2 , cx7_4: 1.510e-2 "
8,5.068801524288935,91.02258274223828,76.53391612704623,2.1199999999999997e-2,0.000558964889210715,"cx8_11: 1.317e-2 , cx8_9: 1.171e-2 , cx8_5: 1.532e-2 "
9,5.170241363928657,73.8384063002908,86.94045557885725,1.629999999999998e-2,0.0003838211396338588,"cx9_8: 1.171e-2 "
10,4.919312398280646,88.38917657498172,136.64787510044357,1.0499999999999954e-2,0.000277646195421146,"cx10_12: 1.349e-2 , cx10_7: 8.935e-3 "
11,4.9592963783486805,56.30605098599489,45.23487605131539,2.4399999999999977e-2,0.0005211280100965495,"cx11_8: 1.317e-2 , cx11_14: 1.238e-2 "
12,5.04215690891814,29.86312347848079,45.722808466720124,2.3499999999999965e-2,0.0008214618107202296,"cx12_15: 1.526e-2 , cx12_10: 1.349e-2 , cx12_13: 1.621e-2 "
13,5.11371415559658,77.71480909468619,162.38548254922657,8.299999999999974e-3,0.000544273274205822,"cx13_12: 1.621e-2 , cx13_14: 3.374e-2 "
14,4.8988732536653945,37.22706338090397,71.75439293458886,1.0499999999999954e-2,0.00048541489797471513,"cx14_16: 1.009e-2 , cx14_13: 3.374e-2 , cx14_11: 1.238e-2 "
15,4.849702669226961,53.92514186576158,50.66256413803263,2.059999999999995e-2,0.0003331931228287111,"cx15_12: 1.526e-2 , cx15_18: 1.639e-2 "
16,5.020806556081526,96.91750290270713,87.477692237592,3.8899999999999935e-2,0.0002847383300809911,"cx16_14: 1.009e-2 , cx16_19: 8.867e-3 "
17,5.050684220079418,89.97963662718993,134.46161997252202,3.210000000000002e-2,0.0012302965769293286,"cx17_18: 1.836e-2 "
18,4.936700336152962,51.59447058124622,80.38816358947352,1.429999999999998e-2,0.0003958729875527826,"cx18_17: 1.836e-2 , cx18_15: 1.639e-2 , cx18_21: 1.412e-2 "
19,4.762806704150259,87.8378608551591,116.39528522632612,1.0299999999999976e-2,0.00032301591676023853,"cx19_22: 1.782e-2 , cx19_20: 9.052e-3 , cx19_16: 8.867e-3 "
20,5.038630709906476,88.59489266797364,109.88529625624203,2.059999999999995e-2,0.0003241744022489598,"cx20_19: 9.052e-3 "
21,4.834559655420249,101.9335598850755,40.12989952334732,4.469999999999996e-2,0.00044627819782649996,"cx21_23: 1.265e-2 , cx21_18: 1.412e-2 "
22,4.989591544414116,63.88331827530634,37.6143628443821,2.3599999999999954e-2,0.0016419959069637266,"cx22_19: 1.782e-2 , cx22_25: 1.475e-2 "
23,5.126333596386948,44.94875345444859,73.31151628266532,1.3700000000000045e-2,0.00032173497397485997,"cx23_24: 1.568e-2 , cx23_21: 1.265e-2 "
24,4.978699230220455,101.18941952615138,168.23056278105605,9.300000000000086e-3,0.00038689004734832993,"cx24_25: 1.243e-2 , cx24_23: 1.568e-2 "
25,4.852039956649169,100.66710760234842,59.111095942063564,3.510000000000002e-2,0.00028050204347431634,"cx25_22: 1.475e-2 , cx25_26: 8.854e-3 , cx25_24: 1.243e-2 "
26,4.958285031363262,85.1602418638839,80.30309460216071,1.21e-2,0.00044251968656554167,"cx26_25: 8.854e-3 "
