Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.224960344757129,68.49155426535461,43.86160986734575,2.569222955244127e-4,2.569222955244127e-4,4.930000000000001e-2,"cx0_1: 7.333e-3 "
1,5.003482450199497,122.61789344387702,217.27111748482676,3.036678009830721e-4,3.036678009830721e-4,4.3300000000000005e-2,"cx1_4: 6.768e-3 , cx1_2: 9.567e-3 , cx1_0: 7.333e-3 "
2,5.1437885170724185,121.64655888948681,189.80024886578093,5.378610578652052e-4,5.378610578652052e-4,9.800000000000031e-3,"cx2_3: 9.943e-3 , cx2_1: 9.567e-3 "
3,5.209635456776856,94.25486617262548,108.72099267871585,6.973146500432331e-4,6.973146500432331e-4,1.1199999999999988e-2,"cx3_5: 1.100e-2 , cx3_2: 9.943e-3 "
4,5.087699900732918,112.43687081032287,166.52628825550153,2.0970890091694108e-4,2.0970890091694108e-4,4.7900000000000054e-2,"cx4_7: 8.343e-3 , cx4_1: 6.768e-3 "
5,5.167242184260824,108.74079612725849,171.85361651897009,3.2435771119293944e-4,3.2435771119293944e-4,1.0399999999999965e-2,"cx5_8: 7.197e-3 , cx5_3: 1.100e-2 "
6,5.15166353316757,78.33564570427127,61.38250066034156,2.8077822665479153e-4,2.8077822665479153e-4,1.2450000000000006e-1,"cx6_7: 5.708e-3 "
7,4.915439994600624,102.89364123822298,165.32779309136455,2.157122726157295e-4,2.157122726157295e-4,3.749999999999998e-2,"cx7_10: 9.132e-3 , cx7_6: 5.708e-3 , cx7_4: 8.343e-3 "
8,5.033352588278881,78.53613305082949,105.36838946127484,2.8652991004929004e-4,2.8652991004929004e-4,1.629999999999998e-2,"cx8_9: 8.046e-3 , cx8_5: 7.197e-3 , cx8_11: 8.866e-3 "
9,5.082179183562371,111.75317670952666,92.71911814774606,3.33915214024024e-4,3.33915214024024e-4,1.6700000000000048e-2,"cx9_8: 8.046e-3 "
10,5.097834830047914,117.27921551824257,187.03044504133442,2.778811365358251e-4,2.778811365358251e-4,6.790000000000007e-2,"cx10_12: 2.384e-2 , cx10_7: 9.132e-3 "
11,5.116586883813565,105.07206425109844,121.90449081177509,3.392075317980481e-4,3.392075317980481e-4,2.52e-2,"cx11_8: 8.866e-3 , cx11_14: 8.270e-3 "
12,4.927772455712962,101.6146315354411,203.63059262177518,4.430281335685235e-4,4.430281335685235e-4,6.720000000000004e-2,"cx12_15: 1.688e-2 , cx12_13: 3.327e-2 , cx12_10: 2.384e-2 "
13,5.1276659101341355,33.647367572785384,44.277725875777094,2.483940448620573e-4,2.483940448620573e-4,2.3609999999999998e-1,"cx13_12: 3.327e-2 , cx13_14: 8.145e-3 "
14,5.017286278474925,103.38785789477497,179.0902159293357,1.9730203056873683e-4,1.9730203056873683e-4,9.700000000000042e-3,"cx14_16: 1.195e-2 , cx14_11: 8.270e-3 , cx14_13: 8.145e-3 "
15,5.091628020625072,90.58537194286565,43.3774121123393,1.1206840664690302e-3,1.1206840664690302e-3,2.793e-1,"cx15_18: 2.089e-2 , cx15_12: 1.688e-2 "
16,4.943147783184304,71.82675032146396,109.64103701062821,4.7987111438998207e-4,4.7987111438998207e-4,6.010000000000004e-2,"cx16_14: 1.195e-2 , cx16_19: 9.989e-3 "
17,5.1577987574119035,67.15095252808601,102.69643671223477,3.93851167792556e-4,3.93851167792556e-4,1.8100000000000005e-2,"cx17_18: 1.529e-2 "
18,5.059729705595927,132.60246588268896,184.87340591964875,1.4002934571198204e-3,1.4002934571198204e-3,2.210000000000001e-2,"cx18_17: 1.529e-2 , cx18_15: 2.089e-2 , cx18_21: 1.119e-2 "
19,5.069448990988811,92.80673132971287,106.03198451190141,4.4487855523875515e-4,4.4487855523875515e-4,9.700000000000042e-3,"cx19_22: 1.582e-2 , cx19_16: 9.989e-3 , cx19_20: 1.375e-2 "
20,4.916059412292294,139.2663227145155,103.97944736292342,2.3752662293884225e-4,2.3752662293884225e-4,7.900000000000018e-3,"cx20_19: 1.375e-2 "
21,5.144744463877434,125.27143045487304,61.83224775369585,7.098731094593769e-4,7.098731094593769e-4,5.14e-2,"cx21_18: 1.119e-2 , cx21_23: 1.964e-2 "
22,5.121465924126745,96.5387180163822,122.79980134633824,4.603808933079497e-4,4.603808933079497e-4,2.2199999999999998e-2,"cx22_19: 1.582e-2 , cx22_25: 1.347e-2 "
23,5.09937851788047,112.71633017402296,51.908237859237495,3.703540871102839e-4,3.703540871102839e-4,5.010000000000003e-2,"cx23_24: 8.407e-3 , cx23_21: 1.964e-2 "
24,4.963364317912377,63.627821277136256,136.7607525573574,1.6240432409533631e-4,1.6240432409533631e-4,1.2599999999999945e-2,"cx24_25: 6.624e-3 , cx24_23: 8.407e-3 "
25,5.064636495250378,130.27073491042887,190.66871965273427,2.582651197447579e-4,2.582651197447579e-4,8.69999999999993e-3,"cx25_26: 1.135e-2 , cx25_24: 6.624e-3 , cx25_22: 1.347e-2 "
26,5.215730828945707,69.3789092745082,63.37035323303658,2.912247170674196e-4,2.912247170674196e-4,9.600000000000053e-3,"cx26_25: 1.135e-2 "
