Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.114625762942345,69.20951513291664,99.92751512182278,4.4202957087827573e-4,4.4202957087827573e-4,2.6599999999999957e-2,"cx0_14: 2.731e-2 , cx0_1: 1.913e-2 "
1,5.234950204777445,46.494455159262934,47.07075323608319,1.0325547214487273e-3,1.0325547214487273e-3,4.150000000000009e-2,"cx1_13: 4.787e-2 , cx1_2: 1.834e-2 , cx1_0: 1.913e-2 "
2,5.038357823631097,64.86272826605112,55.61439760640826,9.773743676512296e-4,9.773743676512296e-4,6.590000000000007e-2,"cx2_12: 5.113e-2 , cx2_3: 3.756e-2 , cx2_1: 1.834e-2 "
3,4.8944398228894705,64.50318561527965,18.681288546267144,7.629647640064369e-4,7.629647640064369e-4,4.3199999999999905e-2,"cx3_11: 3.364e-2 , cx3_4: 2.049e-2 , cx3_2: 3.756e-2 "
4,5.022091946874686,63.06540149081234,79.33970581177307,1.032304610117436e-3,1.032304610117436e-3,4.3399999999999994e-2,"cx4_10: 4.383e-2 , cx4_5: 4.392e-2 , cx4_3: 2.049e-2 "
5,5.073223372369431,19.419330885019857,34.295922465108525,2.612415452659808e-3,2.612415452659808e-3,5.930000000000002e-2,"cx5_9: 3.658e-2 , cx5_6: 5.189e-2 , cx5_4: 4.392e-2 "
6,4.929462592654777,71.63822281556394,94.1674064194315,9.082598800674701e-4,9.082598800674701e-4,2.739999999999998e-2,"cx6_8: 2.183e-2 , cx6_5: 5.189e-2 "
7,4.9832452809422385,35.583089435319906,23.243678799381733,1.79306733264157e-3,1.79306733264157e-3,3.499999999999992e-2,"cx7_8: 2.419e-2 "
8,4.751432979736174,114.49599126304796,69.46159041171819,5.716536868461795e-4,5.716536868461795e-4,3.370000000000006e-2,"cx8_6: 2.183e-2 , cx8_9: 2.273e-2 , cx8_7: 2.419e-2 "
9,4.973517211333309,36.08378088891272,55.028770007179574,2.067529260873665e-3,2.067529260873665e-3,5.9800000000000075e-2,"cx9_5: 3.658e-2 , cx9_10: 2.721e-2 , cx9_8: 2.273e-2 "
10,4.944699517816625,64.22423206501318,64.12545566894475,1.5833830038606556e-3,1.5833830038606556e-3,4.1100000000000025e-2,"cx10_4: 4.383e-2 , cx10_11: 2.534e-2 , cx10_9: 2.721e-2 "
11,4.997447215590647,50.11265705810803,77.86835228714276,5.237242541910768e-4,5.237242541910768e-4,3.859999999999997e-2,"cx11_3: 3.364e-2 , cx11_12: 1.756e-2 , cx11_10: 2.534e-2 "
12,4.763632899371509,62.29098957483679,54.90241515537368,1.064225194202673e-3,1.064225194202673e-3,6.259999999999999e-2,"cx12_2: 5.113e-2 , cx12_13: 2.459e-2 , cx12_11: 1.756e-2 "
13,4.973580810194671,29.144693630364163,31.884210604125187,2.4591341615059544e-3,2.4591341615059544e-3,6.099999999999994e-2,"cx13_14: 3.882e-2 , cx13_1: 4.787e-2 , cx13_12: 2.459e-2 "
14,5.00738733924066,44.60737788958868,49.68514228231347,1.4724383456584532e-3,1.4724383456584532e-3,5.030000000000001e-2,"cx14_0: 2.731e-2 , cx14_13: 3.882e-2 "
