Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.071715381806632,85.25462583020955,109.84277504291063,4.2658530421696834e-4,4.2658530421696834e-4,4.049999999999998e-2,"cx0_1: 1.017e-2 "
1,5.020808731785737,103.98881199884767,102.59972723364994,3.0343730899866795e-4,3.0343730899866795e-4,1.31e-2,"cx1_4: 1.181e-2 , cx1_2: 1.360e-2 , cx1_0: 1.017e-2 "
2,4.81841309673707,67.94079706061103,58.1151450770332,2.989159295874125e-4,2.989159295874125e-4,1.539999999999997e-2,"cx2_3: 1.291e-2 , cx2_1: 1.360e-2 "
3,4.894786684129336,103.2337662732931,78.6706295088702,3.411328917221415e-4,3.411328917221415e-4,7.600000000000051e-3,"cx3_5: 1.313e-2 , cx3_2: 1.291e-2 "
4,5.085006869140059,80.54760988617386,68.95101163800379,6.445201505676267e-4,6.445201505676267e-4,2.62e-2,"cx4_7: 1.266e-2 , cx4_1: 1.181e-2 "
5,4.804119214725746,177.5291298125914,28.928781247510877,3.453856270274668e-4,3.453856270274668e-4,9.160000000000001e-2,"cx5_8: 1.335e-2 , cx5_3: 1.313e-2 "
6,5.201561109913596,32.33902820702907,47.532956866939685,4.698945322563789e-4,4.698945322563789e-4,1.3000000000000012e-2,"cx6_7: 9.597e-3 "
7,5.142376676858039,96.51449748490431,39.99318350528864,3.99672704973182e-4,3.99672704973182e-4,2.1700000000000053e-2,"cx7_10: 9.738e-3 , cx7_6: 9.597e-3 , cx7_4: 1.266e-2 "
8,5.068780044123379,60.322180733916866,51.2487709746237,2.6707616365787435e-4,2.6707616365787435e-4,1.3800000000000034e-2,"cx8_11: 7.364e-3 , cx8_9: 9.205e-3 , cx8_5: 1.335e-2 "
9,5.170235138042792,104.38293801222352,119.58303834662603,4.8821389608188646e-4,4.8821389608188646e-4,1.2499999999999956e-2,"cx9_8: 9.205e-3 "
10,4.919298699042719,85.30916934579226,134.61751755229903,3.79092780763518e-4,3.79092780763518e-4,1.089999999999991e-2,"cx10_12: 1.218e-2 , cx10_7: 9.738e-3 "
11,4.95929603565934,90.9300844163735,115.47195133004253,3.6784481302903937e-4,3.6784481302903937e-4,1.6899999999999915e-2,"cx11_8: 7.364e-3 , cx11_14: 9.551e-3 "
12,5.042163460414633,73.31943908371916,100.90106329316463,3.3081610709959335e-4,3.3081610709959335e-4,2.3700000000000054e-2,"cx12_15: 9.166e-3 , cx12_10: 1.218e-2 , cx12_13: 1.281e-2 "
13,5.113720452350512,12.59322944290536,75.60726880737644,4.547157174315069e-4,4.547157174315069e-4,1.0499999999999954e-2,"cx13_12: 1.281e-2 , cx13_14: 1.154e-2 "
14,4.898872253594658,50.22628715450576,67.95231415167143,4.317814060246266e-4,4.317814060246266e-4,1.0399999999999965e-2,"cx14_16: 1.518e-2 , cx14_13: 1.154e-2 , cx14_11: 9.551e-3 "
15,4.849709810762042,79.92682016590315,72.77380993995737,3.459483717819751e-4,3.459483717819751e-4,2.089999999999992e-2,"cx15_12: 9.166e-3 , cx15_18: 1.954e-2 "
16,5.020791976327792,103.23663659176285,84.04369263131957,8.188647267313193e-4,8.188647267313193e-4,3.7800000000000056e-2,"cx16_14: 1.518e-2 , cx16_19: 1.231e-2 "
17,5.0507188928742,58.439356620329434,90.75806540578992,2.0516284803453995e-3,2.0516284803453995e-3,3.279999999999994e-2,"cx17_18: 2.168e-2 "
18,4.9367028045598955,67.76954256861626,63.6617275904161,6.151224621302387e-4,6.151224621302387e-4,2.0299999999999985e-2,"cx18_17: 2.168e-2 , cx18_15: 1.954e-2 , cx18_21: 1.409e-2 "
19,4.7628075787483715,94.83421268735835,64.28793414385827,3.6632056521686973e-4,3.6632056521686973e-4,1.0099999999999998e-2,"cx19_22: 1.117e-2 , cx19_20: 1.138e-2 , cx19_16: 1.231e-2 "
20,5.03863479568301,89.31131916631968,135.7669304309212,4.158314647409608e-4,4.158314647409608e-4,1.3400000000000079e-2,"cx20_19: 1.138e-2 "
21,4.834597340405325,68.80716284689963,34.058787952334576,4.516480798545822e-4,4.516480798545822e-4,5.109999999999992e-2,"cx21_23: 1.811e-2 , cx21_18: 1.409e-2 "
22,4.9896091759724115,116.91887363970366,43.88249877314719,3.559055621597481e-4,3.559055621597481e-4,1.5900000000000025e-2,"cx22_19: 1.117e-2 , cx22_25: 9.094e-3 "
23,5.126326693006638,99.13206161796789,95.61375223652055,3.961061255851602e-4,3.961061255851602e-4,1.5300000000000091e-2,"cx23_24: 1.166e-2 , cx23_21: 1.811e-2 "
24,4.97870088649306,85.27401464315055,119.8441431055221,2.959980781162302e-4,2.959980781162302e-4,1.090000000000002e-2,"cx24_25: 1.187e-2 , cx24_23: 1.166e-2 "
25,4.8520344810370855,102.89830004691079,67.26374062907014,2.9530710201411257e-4,2.9530710201411257e-4,3.079999999999994e-2,"cx25_22: 9.094e-3 , cx25_26: 9.684e-3 , cx25_24: 1.187e-2 "
26,4.958284091220233,102.13080585097816,144.337738349816,2.713883923952113e-4,2.713883923952113e-4,1.1900000000000022e-2,"cx26_25: 9.684e-3 "
