Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,4.910721175793674,107.38826691040694,75.52326484680549,2.1116337158045312e-4,2.1116337158045312e-4,1.0599999999999943e-2,"cx0_1: 7.016e-3 "
1,4.834686632799765,96.22877102563827,21.202407834569073,3.285880704448122e-4,3.285880704448122e-4,5.590000000000006e-2,"cx1_4: 8.835e-3 , cx1_2: 1.102e-2 , cx1_0: 7.016e-3 "
2,4.982351366935973,115.04375034039882,118.10833507085123,2.4332587072930576e-4,2.4332587072930576e-4,1.5700000000000047e-2,"cx2_3: 8.096e-3 , cx2_1: 1.102e-2 "
3,5.10489119915921,75.63388175692167,65.42779233194499,2.613129034463931e-4,2.613129034463931e-4,1.1099999999999999e-2,"cx3_5: 9.148e-3 , cx3_2: 8.096e-3 "
4,5.003742965294408,128.19408830526308,183.49909264937708,2.0732768293891868e-4,2.0732768293891868e-4,9.90000000000002e-3,"cx4_7: 9.975e-3 , cx4_1: 8.835e-3 "
5,5.033091800969442,131.02332063650834,98.46546017554924,3.3051361801448914e-4,3.3051361801448914e-4,2.089999999999992e-2,"cx5_8: 6.506e-3 , cx5_3: 9.148e-3 "
6,4.950608804128911,96.7326196990634,25.188374227226095,3.9868145793936754e-4,3.9868145793936754e-4,3.639999999999999e-2,"cx6_7: 2.787e-2 "
7,4.9056841207465345,120.7588408817271,77.93063272814979,5.425677898362978e-4,5.425677898362978e-4,5.2200000000000024e-2,"cx7_10: 2.208e-2 , cx7_6: 2.787e-2 , cx7_4: 9.975e-3 "
8,4.90818637930849,111.99011789291083,142.32660074778138,1.914625266009948e-4,1.914625266009948e-4,1.4800000000000035e-2,"cx8_5: 6.506e-3 , cx8_11: 7.400e-3 , cx8_9: 9.845e-3 "
9,5.044611221757046,122.68245071736995,100.31462411465583,1.111414106421687e-3,1.111414106421687e-3,3.0000000000000027e-2,"cx9_8: 9.845e-3 "
10,5.081932604386775,110.16202349299968,87.81500366179084,4.885331019717852e-4,4.885331019717852e-4,1.3700000000000045e-2,"cx10_7: 2.208e-2 , cx10_12: 1.009e-2 "
11,5.0341439658219995,105.67165621392145,51.675123890990605,2.5464920552608483e-4,2.5464920552608483e-4,1.2699999999999934e-2,"cx11_14: 5.586e-3 , cx11_8: 7.400e-3 "
12,4.972275341383392,58.02260151598875,66.82821879360843,2.455406267591888e-4,2.455406267591888e-4,3.269999999999995e-2,"cx12_13: 7.002e-3 , cx12_10: 1.009e-2 , cx12_15: 1.204e-2 "
13,4.868253685878823,99.59998284255902,68.89956723182614,1.6097740259599232e-4,1.6097740259599232e-4,7.099999999999995e-3,"cx13_12: 7.002e-3 , cx13_14: 7.349e-3 "
14,4.960940637415141,97.47413747058785,97.06516454554267,2.2173366695731102e-4,2.2173366695731102e-4,9.800000000000031e-3,"cx14_16: 8.816e-3 , cx14_11: 5.586e-3 , cx14_13: 7.349e-3 "
15,5.033903744210761,111.03127988528331,130.64651724057518,2.7363471094857353e-4,2.7363471094857353e-4,2.0499999999999963e-2,"cx15_18: 1.186e-2 , cx15_12: 1.204e-2 "
16,5.085532467857762,87.01155435331692,51.99147334488603,5.513643331245978e-4,5.513643331245978e-4,1.2499999999999956e-2,"cx16_19: 1.383e-2 , cx16_14: 8.816e-3 "
17,5.072130667797018,69.38738967380961,105.14989696384585,5.504565223966598e-4,5.504565223966598e-4,1.9600000000000062e-2,"cx17_18: 1.006e-2 "
18,4.981368853631676,80.49532614226653,27.257395338458075,3.6933831213593383e-4,3.6933831213593383e-4,3.2299999999999995e-2,"cx18_21: 1.327e-2 , cx18_15: 1.186e-2 , cx18_17: 1.006e-2 "
19,4.983193250791359,72.14671035493011,107.69172926810205,3.6772253672406164e-4,3.6772253672406164e-4,1.5800000000000036e-2,"cx19_22: 7.936e-3 , cx19_16: 1.383e-2 , cx19_20: 7.294e-3 "
20,5.082198527075786,98.62886704053095,127.77484759887618,2.871165231669008e-4,2.871165231669008e-4,1.5000000000000013e-2,"cx20_19: 7.294e-3 "
21,5.0733414145544415,101.22145967937186,48.95274810842316,4.709836824399731e-4,4.709836824399731e-4,2.190000000000003e-2,"cx21_18: 1.327e-2 , cx21_23: 7.912e-3 "
22,5.056970007957142,54.60066803772592,98.37582739124704,2.766975567638617e-4,2.766975567638617e-4,4.8899999999999944e-2,"cx22_19: 7.936e-3 , cx22_25: 1.015e-2 "
23,4.9728467157339455,144.82420350950594,38.67000825499057,2.2819410106792983e-4,2.2819410106792983e-4,9.670000000000001e-2,"cx23_21: 7.912e-3 , cx23_24: 9.471e-3 "
24,5.051505795441573,109.46504973467334,63.9860093085381,2.2334119186194406e-4,2.2334119186194406e-4,3.960000000000008e-2,"cx24_23: 9.471e-3 , cx24_25: 8.712e-3 "
25,4.934188828946117,95.27011304724029,77.68805715077441,2.9202599139097264e-4,2.9202599139097264e-4,8.299999999999974e-3,"cx25_26: 6.916e-3 , cx25_22: 1.015e-2 , cx25_24: 8.712e-3 "
26,4.999942449317529,92.8646213797692,165.07203689870656,4.533979073495256e-4,4.533979073495256e-4,9.800000000000031e-3,"cx26_25: 6.916e-3 "
