Qubit,Frequency (GHz),T1 (µs),T2 (µs),√x (sx) error,Single-qubit Pauli-X error,Readout assignment error,CNOT error
,5.199074091464609,145.6819777261454,135.22356157424173,1.7157741572987155e-4,1.7157741572987155e-4,8.499999999999952e-3,"cx0_1: 3.976e-3 "
1,4.979575979245169,222.23721839671657,244.83845751440904,1.6011867185487273e-4,1.6011867185487273e-4,8.69999999999993e-3,"cx1_4: 4.801e-3 , cx1_2: 7.611e-3 , cx1_0: 3.976e-3 "
2,5.10528455761829,129.25857914462657,150.91942979336633,1.8994631926642984e-4,1.8994631926642984e-4,2.8200000000000003e-2,"cx2_3: 7.228e-3 , cx2_1: 7.611e-3 "
3,4.874356933096068,123.79630569472549,171.7499914646886,2.843508233178466e-4,2.843508233178466e-4,1.849999999999996e-2,"cx3_5: 7.346e-3 , cx3_2: 7.228e-3 "
4,5.212597512334902,81.90774377455426,30.619036803404708,2.3339922419732517e-4,2.3339922419732517e-4,8.700000000000041e-3,"cx4_7: 8.097e-3 , cx4_1: 4.801e-3 "
5,5.109282540099286,95.37200334378005,38.53812357008549,2.2267058896464095e-4,2.2267058896464095e-4,3.0899999999999928e-2,"cx5_8: 7.101e-3 , cx5_3: 7.346e-3 "
6,5.1955171170209695,106.06162405053566,110.59491108316922,5.104719996702323e-4,5.104719996702323e-4,6.799999999999917e-3,"cx6_7: 8.071e-3 "
7,5.027039055446017,156.63477863023223,16.087659648965897,2.067718787461868e-4,2.067718787461868e-4,7.099999999999995e-3,"cx7_10: 6.452e-3 , cx7_6: 8.071e-3 , cx7_4: 8.097e-3 "
8,4.946226546763586,175.09247506131743,147.75129231300429,1.5464985141905373e-4,1.5464985141905373e-4,5.50000000000006e-3,"cx8_5: 7.101e-3 , cx8_11: 4.921e-3 , cx8_9: 4.010e-3 "
9,5.05201229051011,115.42544624402754,122.57716343456444,1.8669636533077968e-4,1.8669636533077968e-4,8.199999999999985e-3,"cx9_8: 4.010e-3 "
10,5.157860761974693,81.55823179717285,85.64613521393723,2.0633685522169758e-4,2.0633685522169758e-4,6.399999999999961e-3,"cx10_7: 6.452e-3 , cx10_12: 7.293e-3 "
11,4.868490525591424,153.41054881784754,156.24103261068018,1.9329651501035535e-4,1.9329651501035535e-4,2.1299999999999986e-2,"cx11_14: 1.145e-2 , cx11_8: 4.921e-3 "
12,4.948190141482557,95.06834280689182,20.486212534724096,3.01258308001987e-4,3.01258308001987e-4,1.1400000000000077e-2,"cx12_15: 5.070e-3 , cx12_10: 7.293e-3 , cx12_13: 5.572e-3 "
13,5.018692130280502,142.88108006806425,208.18815094575277,1.913975738561267e-4,1.913975738561267e-4,8.099999999999996e-3,"cx13_12: 5.572e-3 , cx13_14: 5.874e-3 "
14,5.124093659804907,76.05790890584628,115.49005326229802,2.0242953655197162e-4,2.0242953655197162e-4,1.1900000000000022e-2,"cx14_11: 1.145e-2 , cx14_16: 6.231e-3 , cx14_13: 5.874e-3 "
15,5.042814668299836,181.6018893164218,76.24036759691265,3.3019019663882123e-4,3.3019019663882123e-4,1.6599999999999948e-2,"cx15_12: 5.070e-3 , cx15_18: 7.164e-3 "
16,5.209182947985243,124.96569408086623,129.2159126539969,2.7503948864927673e-4,2.7503948864927673e-4,6.469999999999998e-2,"cx16_14: 6.231e-3 , cx16_19: 1.099e-2 "
17,5.242714724684742,114.72335333975084,119.32838610007283,3.218763817617569e-4,3.218763817617569e-4,5.900000000000016e-3,"cx17_18: 5.597e-3 "
18,5.092396062480436,129.64758764364348,193.8680665366411,2.4698324736839155e-4,2.4698324736839155e-4,7.500000000000062e-3,"cx18_21: 8.023e-3 , cx18_17: 5.597e-3 , cx18_15: 7.164e-3 "
19,5.007968316887505,104.92262441086822,114.51048793380411,1.8094849404210608e-4,1.8094849404210608e-4,1.0699999999999932e-2,"cx19_16: 1.099e-2 , cx19_20: 7.686e-3 , cx19_22: 6.110e-3 "
20,5.186515018214344,157.67119043005155,229.84894498159096,1.632655242525464e-4,1.632655242525464e-4,9.000000000000008e-3,"cx20_19: 7.686e-3 "
21,5.263905952337775,68.11240612627614,37.778764055405034,2.2859632720645086e-4,2.2859632720645086e-4,1.3800000000000034e-2,"cx21_18: 8.023e-3 , cx21_23: 6.443e-3 "
22,5.113731902776692,52.760273095276624,20.999045420430154,2.8245071246459774e-4,2.8245071246459774e-4,9.800000000000031e-3,"cx22_25: 8.054e-3 , cx22_19: 6.110e-3 "
23,5.130661381147441,118.9481719274622,52.02264616353372,3.143058879527193e-4,3.143058879527193e-4,9.700000000000042e-3,"cx23_24: 7.122e-2 , cx23_21: 6.443e-3 "
24,4.997957240867762,103.026930191453,31.201211923127207,1.3912230990985115e-2,1.3912230990985115e-2,1.0289999999999999e-1,"cx24_23: 7.122e-2 , cx24_25: 5.849e-2 "
25,4.909959270185723,102.21666430327699,135.22074405452605,3.001739482877245e-4,3.001739482877245e-4,9.600000000000053e-3,"cx25_26: 6.298e-3 , cx25_22: 8.054e-3 , cx25_24: 5.849e-2 "
26,5.119988577823867,116.65148509096095,146.9468934585438,1.6868513133323014e-4,1.6868513133323014e-4,2.32e-2,"cx26_25: 6.298e-3 "
