Qubit,T1 (us),T2 (us),Frequency (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,53.49,88.44,5.115,3.010e-2,0.051,0.0092,3555.556,5.605e-4,5.605e-4,5.605e-4,0_14:2.372e-2; 0_1:2.189e-2,0_14:935.111; 0_1:743.111
Q1,44.39,44.97,5.235,4.320e-2,0.0658,0.0206,3555.556,8.630e-4,8.630e-4,8.630e-4,1_13:5.039e-2; 1_2:1.142e-2; 1_0:2.189e-2,1_13:1137.778; 1_2:355.556; 1_0:689.778
Q2,61.32,76.31,5.038,4.290e-2,0.067,0.0188,3555.556,6.233e-4,6.233e-4,6.233e-4,2_12:4.057e-2; 2_3:2.476e-2; 2_1:1.142e-2,2_12:1696; 2_3:988.444; 2_1:408.889
Q3,69.83,19.77,4.894,5.840e-2,0.089,0.0278,3555.556,4.853e-4,4.853e-4,4.853e-4,3_11:2.717e-2; 3_4:2.111e-2; 3_2:2.476e-2,3_11:807.111; 3_4:785.778; 3_2:1041.778
Q4,46.8,62.88,5.022,1.068e-1,0.1576,0.056,3555.556,1.016e-3,1.016e-3,1.016e-3,4_10:3.313e-2; 4_5:3.954e-2; 4_3:2.111e-2,4_10:1169.778; 4_5:789.333; 4_3:732.444
Q5,20.15,32.84,5.073,6.270e-2,0.1106,0.0148,3555.556,4.089e-3,4.089e-3,4.089e-3,5_9:5.636e-2; 5_6:6.511e-2; 5_4:3.954e-2,5_9:860.444; 5_6:1472; 5_4:647.111
Q6,72.94,84.44,4.93,6.700e-2,0.101,0.033,3555.556,1.619e-3,1.619e-3,1.619e-3,6_8:3.676e-2; 6_5:6.511e-2,6_8:995.556; 6_5:1614.222
Q7,36.34,24.77,4.983,2.970e-2,0.0516,0.0078,3555.556,1.648e-3,1.648e-3,1.648e-3,7_8:2.184e-2,7_8:775.111
Q8,123.32,89.76,4.751,2.720e-2,0.037,0.0174,3555.556,5.212e-4,5.212e-4,5.212e-4,8_6:3.676e-2; 8_9:2.763e-2; 8_7:2.184e-2,8_6:1137.778; 8_9:1159.111; 8_7:917.333
Q9,37.94,63.89,4.974,5.550e-2,0.1008,0.0102,3555.556,1.734e-3,1.734e-3,1.734e-3,9_5:5.636e-2; 9_10:3.004e-2; 9_8:2.763e-2,9_5:1002.667; 9_10:860.444; 9_8:1016.889
Q10,40.34,49.14,4.945,4.460e-2,0.0748,0.0144,3555.556,1.492e-3,1.492e-3,1.492e-3,10_4:3.313e-2; 10_11:3.398e-2; 10_9:3.004e-2,10_4:1312; 10_11:945.778; 10_9:1002.667
Q11,50.11,88.76,4.997,5.960e-2,0.0998,0.0194,3555.556,8.959e-4,8.959e-4,8.959e-4,11_3:2.717e-2; 11_12:3.049e-2; 11_10:3.398e-2,11_3:753.778; 11_12:597.333; 11_10:1088
Q12,84.88,54.24,4.764,3.200e-2,0.0524,0.0116,3555.556,1.254e-3,1.254e-3,1.254e-3,12_2:4.057e-2; 12_13:2.828e-2; 12_11:3.049e-2,12_2:1642.667; 12_13:753.778; 12_11:650.667
Q13,27.39,21.97,4.974,5.670e-2,0.0876,0.0258,3555.556,2.919e-3,2.919e-3,2.919e-3,13_14:4.330e-2; 13_1:5.039e-2; 13_12:2.828e-2,13_14:657.778; 13_1:995.556; 13_12:611.556
Q14,43.58,41.55,5.007,4.290e-2,0.0718,0.014,3555.556,8.086e-4,8.086e-4,8.086e-4,14_0:2.372e-2; 14_13:4.330e-2,14_0:881.778; 14_13:515.556
