Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,68.29,61.19,5.028,-0.33685,1.660e-2,0.0256,0.0076,5351.111,3.496e-4,3.496e-4,3.496e-4,0_1:8.994e-3,0_1:376.889
Q1,107.22,165.68,4.972,-0.32145,1.260e-2,0.0208,0.0044,5351.111,2.224e-4,2.224e-4,2.224e-4,1_4:8.692e-3; 1_2:8.651e-3; 1_0:8.994e-3,1_4:384; 1_2:540.444; 1_0:412.444
Q2,96.41,86.31,4.779,-0.34102,1.430e-2,0.0202,0.0084,5351.111,2.371e-4,2.371e-4,2.371e-4,2_3:1.096e-2; 2_1:8.651e-3,2_3:405.333; 2_1:576
Q3,114,159.32,4.85,-0.33808,1.630e-2,0.0286,0.004,5351.111,2.195e-4,2.195e-4,2.195e-4,3_5:7.213e-3; 3_2:1.096e-2,3_5:469.333; 3_2:369.778
Q4,106.04,91.04,4.751,-0.34205,3.200e-2,0.048,0.016,5351.111,3.462e-4,3.462e-4,3.462e-4,4_7:1.338e-2; 4_1:8.692e-3,4_7:462.222; 4_1:419.556
Q5,98.59,132.87,4.705,-0.34061,2.240e-2,0.0404,0.0044,5351.111,2.218e-4,2.218e-4,2.218e-4,5_8:1.133e-2; 5_3:7.213e-3,5_8:398.222; 5_3:433.778
Q6,105.96,118.62,4.858,-0.33869,3.600e-2,0.0474,0.0246,5351.111,1.943e-4,1.943e-4,1.943e-4,6_7:2.964e-2,6_7:469.333
Q7,49.47,44.63,4.705,-0.27751,9.890e-2,0.0908,0.107,5351.111,4.509e-4,4.509e-4,4.509e-4,7_10:2.228e-2; 7_4:1.338e-2; 7_6:2.964e-2,7_10:760.889; 7_4:497.778; 7_6:504.889
Q8,90.74,105.87,4.769,-0.31287,2.330e-2,0.0412,0.0054,5351.111,1.743e-4,1.743e-4,1.743e-4,8_5:1.133e-2; 8_11:6.511e-3; 8_9:8.673e-3,8_5:362.667; 8_11:405.333; 8_9:376.889
Q9,71.81,114.7,4.864,-0.33983,5.400e-2,0.054,0.054,5351.111,2.008e-4,2.008e-4,2.008e-4,9_8:8.673e-3,9_8:341.333
Q10,71.92,74.36,4.855,-0.34051,1.630e-2,0.0252,0.0074,5351.111,4.763e-4,4.763e-4,4.763e-4,10_7:2.228e-2; 10_12:1.055e-2,10_7:725.333; 10_12:433.778
Q11,123.97,101.96,4.854,-0.33844,2.540e-2,0.0378,0.013,5351.111,3.274e-4,3.274e-4,3.274e-4,11_14:8.863e-3; 11_8:6.511e-3,11_14:391.111; 11_8:369.778
Q12,157.77,21.68,4.745,-0.37433,7.040e-2,0.0638,0.077,5351.111,3.673e-4,3.673e-4,3.673e-4,12_13:3.116e-2; 12_15:1.690e-2; 12_10:1.055e-2,12_13:376.889; 12_15:455.111; 12_10:469.333
Q13,113.13,108.23,4.846,-0.33869,1.500e-2,0.023,0.007,5351.111,5.936e-4,5.936e-4,5.936e-4,13_14:1.172e-2; 13_12:3.116e-2,13_14:384; 13_12:341.333
Q14,141.32,82.95,4.782,-0.32426,2.660e-2,0.0296,0.0236,5351.111,1.876e-4,1.876e-4,1.876e-4,14_13:1.172e-2; 14_11:8.863e-3; 14_16:7.928e-3,14_13:419.556; 14_11:355.556; 14_16:440.889
Q15,123.04,112.58,4.833,-0.3395,4.350e-2,0.06,0.027,5351.111,4.383e-4,4.383e-4,4.383e-4,15_12:1.690e-2; 15_18:1.065e-2,15_12:419.556; 15_18:469.333
Q16,101.13,157.53,5,-0.33592,1.020e-2,0.0148,0.0056,5351.111,2.032e-4,2.032e-4,2.032e-4,16_14:7.928e-3; 16_19:1.147e-2,16_14:405.333; 16_19:398.222
Q17,112.73,159.36,4.752,-0.34202,7.080e-2,0.11,0.0316,5351.111,3.245e-4,3.245e-4,3.245e-4,17_18:1.052e-2,17_18:405.333
Q18,104.51,46.22,4.629,-0.31032,4.340e-2,0.055,0.0318,5351.111,3.336e-4,3.336e-4,3.336e-4,18_21:9.611e-3; 18_17:1.052e-2; 18_15:1.065e-2,18_21:668.444; 18_17:440.889; 18_15:504.889
Q19,131.97,105.95,4.756,-0.32476,7.430e-2,0.1164,0.0322,5351.111,3.302e-4,3.302e-4,3.302e-4,19_20:1.455e-2; 19_16:1.147e-2; 19_22:1.072e-2,19_20:490.667; 19_16:433.778; 19_22:405.333
Q20,88.22,144.07,4.886,-0.33801,1.470e-2,0.0258,0.0036,5351.111,3.969e-4,3.969e-4,3.969e-4,20_19:1.455e-2,20_19:455.111
Q21,117.62,141.5,4.681,-0.34186,1.810e-2,0.0246,0.0116,5351.111,2.599e-4,2.599e-4,2.599e-4,21_23:1.027e-2; 21_18:9.611e-3,21_23:483.556; 21_18:632.889
Q22,66.82,78.75,4.854,-0.33668,3.670e-2,0.061,0.0124,5351.111,3.964e-4,3.964e-4,3.964e-4,22_19:1.072e-2; 22_25:1.234e-2,22_19:440.889; 22_25:462.222
Q23,118.93,57.9,4.732,-0.34272,2.510e-2,0.0344,0.0158,5351.111,2.624e-4,2.624e-4,2.624e-4,23_24:9.397e-3; 23_21:1.027e-2,23_24:526.222; 23_21:519.111
Q24,90.02,167.11,4.828,-0.34103,1.500e-2,0.023,0.007,5351.111,2.316e-4,2.316e-4,2.316e-4,24_25:1.054e-2; 24_23:9.397e-3,24_25:576; 24_23:561.778
Q25,90.55,104.82,4.73,-0.32446,4.150e-2,0.0612,0.0218,5351.111,3.867e-4,3.867e-4,3.867e-4,25_24:1.054e-2; 25_22:1.234e-2; 25_26:1.327e-2,25_24:540.444; 25_22:426.667; 25_26:362.667
Q26,123.39,202.92,4.848,-0.33858,8.800e-3,0.0134,0.0042,5351.111,2.445e-4,2.445e-4,2.445e-4,26_25:1.327e-2,26_25:327.111
