Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,41.35,89.33,5.113,-0.33523,3.490e-2,0.0616,0.0082,5351.111,5.879e-4,5.879e-4,5.879e-4,0_1:1.398e-2,0_1:334.222
Q1,72.76,84.94,5.161,-0.31827,1.730e-2,0.0314,0.0032,5351.111,4.207e-4,4.207e-4,4.207e-4,1_0:1.398e-2; 1_4:6.621e-3; 1_2:1.360e-2,1_0:369.778; 1_4:298.667; 1_2:504.889
Q2,62.17,77.3,5.311,-0.33184,1.740e-2,0.026,0.0088,5351.111,6.729e-4,6.729e-4,6.729e-4,2_3:8.318e-2; 2_1:1.360e-2,2_3:483.556; 2_1:469.333
Q3,54.99,60.49,5.46,-0.31579,2.770e-2,0.0368,0.0186,5351.111,1.665e-3,1.665e-3,1.665e-3,3_2:8.318e-2; 3_5:1.571e-2,3_2:519.111; 3_5:583.111
Q4,59.97,91.99,5.354,-0.33131,1.310e-2,0.0232,0.003,5351.111,2.304e-4,2.304e-4,2.304e-4,4_7:1.266e-2; 4_1:6.621e-3,4_7:512; 4_1:263.111
Q5,87.66,84.86,5.303,-0.3322,4.560e-2,0.0756,0.0156,5351.111,8.811e-4,8.811e-4,8.811e-4,5_3:1.571e-2; 5_8:7.191e-3,5_3:547.556; 5_8:270.222
Q6,54.95,14.55,5.136,-0.33611,1.420e-2,0.0244,0.004,5351.111,3.173e-4,3.173e-4,3.173e-4,6_7:8.415e-3,6_7:405.333
Q7,80.92,118.94,5.203,-0.31733,1.140e-2,0.0162,0.0066,5351.111,2.054e-4,2.054e-4,2.054e-4,7_4:1.266e-2; 7_6:8.415e-3; 7_10:8.259e-3,7_4:476.444; 7_6:369.778; 7_10:298.667
Q8,94.5,105.89,5.175,-0.31746,1.440e-2,0.022,0.0068,5351.111,2.287e-4,2.287e-4,2.287e-4,8_9:6.612e-3; 8_11:7.013e-3; 8_5:7.191e-3,8_9:412.444; 8_11:348.444; 8_5:305.778
Q9,98.06,77.66,5.254,-0.33386,1.230e-2,0.02,0.0046,5351.111,2.226e-4,2.226e-4,2.226e-4,9_8:6.612e-3,9_8:448
Q10,34.64,80,5.427,-0.32983,1.410e-2,0.0198,0.0084,5351.111,3.007e-4,3.007e-4,3.007e-4,10_12:2.892e-2; 10_7:8.259e-3,10_12:376.889; 10_7:263.111
Q11,92.5,81.41,5.39,-0.33061,1.580e-2,0.0236,0.008,5351.111,2.053e-4,2.053e-4,2.053e-4,11_8:7.013e-3; 11_14:6.525e-3,11_8:312.889; 11_14:348.444
Q12,93.63,115.9,5.263,-0.31645,1.730e-2,0.0256,0.009,5351.111,2.272e-4,2.272e-4,2.272e-4,12_15:7.721e-3; 12_10:2.892e-2; 12_13:7.052e-3,12_15:376.889; 12_10:341.333; 12_13:348.444
Q13,71.46,80.06,5.038,-0.33734,1.500e-2,0.0248,0.0052,5351.111,2.367e-4,2.367e-4,2.367e-4,13_12:7.052e-3; 13_14:1.663e-2,13_12:384; 13_14:398.222
Q14,67.94,98.8,5.205,-0.31733,1.420e-2,0.0196,0.0088,5351.111,2.249e-4,2.249e-4,2.249e-4,14_11:6.525e-3; 14_13:1.663e-2,14_11:384; 14_13:433.778
Q15,104.03,107.2,5.125,-0.33428,1.520e-2,0.0262,0.0042,5351.111,2.805e-4,2.805e-4,2.805e-4,15_12:7.721e-3,15_12:412.444
