Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,146.07,147.2,5.199,-0.34127,1.060e-2,0.0108,0.0104,337.778,1.721e-4,1.721e-4,1.721e-4,0_1:4.975e-3,0_1:298.667
Q1,141.99,83.89,4.98,-0.34688,7.000e-3,0.008,0.006,337.778,2.264e-4,2.264e-4,2.264e-4,1_4:7.576e-3; 1_2:7.959e-3; 1_0:4.975e-3,1_4:305.778; 1_2:376.889; 1_0:334.222
Q2,111.95,178.2,5.105,-0.33886,5.700e-3,0.0072,0.0042,337.778,2.400e-4,2.400e-4,2.400e-4,2_3:3.782e-2; 2_1:7.959e-3,2_3:334.222; 2_1:412.444
Q3,70.51,121.82,4.875,-0.34826,1.814e-1,0.1964,0.1664,337.778,1.447e-2,1.447e-2,1.447e-2,3_5:5.159e-2; 3_2:3.782e-2,3_5:433.778; 3_2:369.778
Q4,81.73,34.11,5.213,-0.34094,9.200e-3,0.0104,0.008,337.778,2.716e-4,2.716e-4,2.716e-4,4_7:9.670e-3; 4_1:7.576e-3,4_7:462.222; 4_1:270.222
Q5,119.28,43.43,5.109,-0.34358,1.410e-2,0.0154,0.0128,337.778,1.705e-4,1.705e-4,1.705e-4,5_8:6.862e-3; 5_3:5.159e-2,5_8:526.222; 5_3:398.222
Q6,118.24,103.04,5.196,-0.34148,7.600e-3,0.0092,0.006,337.778,3.639e-4,3.639e-4,3.639e-4,6_7:8.559e-3,6_7:476.444
Q7,61.49,16.09,5.027,-0.34378,1.260e-2,0.0174,0.0078,337.778,2.435e-4,2.435e-4,2.435e-4,7_10:6.669e-3; 7_6:8.559e-3; 7_4:9.670e-3,7_10:490.667; 7_6:440.889; 7_4:426.667
Q8,179.87,157.57,4.946,-0.34765,8.800e-3,0.0088,0.0088,337.778,1.545e-4,1.545e-4,1.545e-4,8_5:6.862e-3; 8_11:6.480e-3; 8_9:4.518e-3,8_5:490.667; 8_11:312.889; 8_9:320
Q9,149.87,158.82,5.052,-0.34276,7.300e-3,0.0094,0.0052,337.778,2.201e-4,2.201e-4,2.201e-4,9_8:4.518e-3,9_8:284.444
Q10,97.52,132.77,5.158,-0.34128,7.000e-3,0.0078,0.0062,337.778,1.830e-4,1.830e-4,1.830e-4,10_7:6.669e-3; 10_12:8.274e-3,10_7:526.222; 10_12:590.222
Q11,139.93,118.19,4.868,-0.34866,1.960e-2,0.0242,0.015,337.778,2.433e-4,2.433e-4,2.433e-4,11_14:1.058e-2; 11_8:6.480e-3,11_14:696.889; 11_8:348.444
