Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,73.46,72.96,4.838,-0.33143,8.420e-2,0.119,0.0494,5351.111,4.414e-4,4.414e-4,4.414e-4,0_10:1.857e-2; 0_1:1.704e-2,0_10:462.222; 0_1:433.778
Q1,46.28,75.54,4.681,-0.33561,3.700e-2,0.0488,0.0252,5351.111,4.481e-4,4.481e-4,4.481e-4,1_0:1.704e-2; 1_2:1.364e-2,1_0:398.222; 1_2:405.333
Q2,61.38,74.82,4.947,-0.33105,2.950e-2,0.0422,0.0168,5351.111,4.812e-4,4.812e-4,4.812e-4,2_1:1.364e-2; 2_3:1.637e-2,2_1:369.778; 2_3:412.444
Q3,67.49,76.49,4.766,-0.33421,2.780e-2,0.0448,0.0108,5351.111,9.062e-4,9.062e-4,9.062e-4,3_4:1.526e-2; 3_2:1.637e-2,3_4:305.778; 3_2:448
Q4,71.27,99.37,4.71,-0.33321,1.460e-2,0.0188,0.0104,5351.111,6.565e-4,6.565e-4,6.565e-4,4_11:1.368e-2; 4_3:1.526e-2; 4_5:1.085e-2,4_11:426.667; 4_3:341.333; 4_5:384
Q5,85.66,50.96,4.574,-0.33544,3.040e-2,0.0376,0.0232,5351.111,3.023e-4,3.023e-4,3.023e-4,5_6:9.957e-3; 5_4:1.085e-2,5_6:419.556; 5_4:348.444
Q6,86.26,109.55,4.758,-0.33259,1.970e-2,0.0284,0.011,5351.111,2.986e-4,2.986e-4,2.986e-4,6_5:9.957e-3; 6_7:1.040e-2,6_5:384; 6_7:384
Q7,49.42,52.12,4.63,-0.33437,1.820e-2,0.0304,0.006,5351.111,4.585e-4,4.585e-4,4.585e-4,7_6:1.040e-2; 7_8:1.513e-2,7_6:419.556; 7_8:391.111
Q8,45.83,45.59,4.778,-0.33354,3.700e-2,0.0636,0.0104,5351.111,5.832e-4,5.832e-4,5.832e-4,8_9:1.743e-2; 8_12:2.451e-2; 8_7:1.513e-2,8_9:583.111; 8_12:355.556; 8_7:355.556
Q9,64.15,85.49,4.929,-0.33134,1.090e-2,0.0192,0.0026,5351.111,4.357e-4,4.357e-4,4.357e-4,9_8:1.743e-2,9_8:547.556
Q10,57.78,80.5,4.688,-0.33352,6.790e-2,0.0652,0.0706,5351.111,3.433e-4,3.433e-4,3.433e-4,10_0:1.857e-2; 10_13:1.245e-2,10_0:497.778; 10_13:526.222
Q11,57.22,54.93,4.764,-0.33438,7.930e-2,0.1198,0.0388,5351.111,7.422e-4,7.422e-4,7.422e-4,11_4:1.368e-2; 11_17:1.365e-2,11_4:391.111; 11_17:334.222
Q12,54.56,126.31,4.939,-0.33142,1.310e-2,0.0182,0.008,5351.111,4.261e-4,4.261e-4,4.261e-4,12_21:2.046e-2; 12_8:2.451e-2,12_21:689.778; 12_8:391.111
Q13,41.71,37.34,4.84,-0.33102,4.120e-2,0.0472,0.0352,5351.111,3.394e-4,3.394e-4,3.394e-4,13_10:1.245e-2; 13_14:4.905e-2,13_10:490.667; 13_14:504.889
Q14,60.82,7.17,4.632,-0.33401,1.577e-1,0.1552,0.1602,5351.111,1.885e-3,1.885e-3,1.885e-3,14_15:4.219e-2; 14_13:4.905e-2,14_15:689.778; 14_13:469.333
Q15,79.67,109.74,4.803,-0.33284,8.380e-2,0.102,0.0656,5351.111,9.529e-4,9.529e-4,9.529e-4,15_14:4.219e-2; 15_24:1.218e-2; 15_16:1.449e-2,15_14:725.333; 15_24:391.111; 15_16:412.444
Q16,52.36,114.8,4.649,-0.33657,8.440e-2,0.09,0.0788,5351.111,3.581e-4,3.581e-4,3.581e-4,16_17:1.129e-2; 16_15:1.449e-2,16_17:327.111; 16_15:376.889
Q17,38.89,70.99,4.877,-0.33159,2.570e-2,0.0328,0.0186,5351.111,4.279e-4,4.279e-4,4.279e-4,17_11:1.365e-2; 17_16:1.129e-2; 17_18:1.338e-2,17_11:298.667; 17_16:291.556; 17_18:298.667
Q18,45.22,58.8,4.817,-0.33218,1.670e-2,0.027,0.0064,5351.111,5.220e-4,5.220e-4,5.220e-4,18_19:1.264e-2; 18_17:1.338e-2,18_19:419.556; 18_17:334.222
Q19,47.26,72.24,4.999,-0.3309,1.920e-2,0.0298,0.0086,5351.111,3.990e-4,3.990e-4,3.990e-4,19_20:1.122e-2; 19_18:1.264e-2; 19_25:1.398e-2,19_20:469.333; 19_18:455.111; 19_25:405.333
Q20,87.44,51.97,4.843,-0.33119,1.000e-2,0.0136,0.0064,5351.111,3.363e-4,3.363e-4,3.363e-4,20_19:1.122e-2; 20_21:8.796e-3,20_19:433.778; 20_21:284.444
Q21,61.74,72.54,4.78,-0.33214,1.540e-2,0.0238,0.007,5351.111,4.164e-4,4.164e-4,4.164e-4,21_12:2.046e-2; 21_22:1.987e-2; 21_20:8.796e-3,21_12:654.222; 21_22:675.556; 21_20:320
Q22,52.27,82.02,4.935,-0.33126,2.450e-2,0.0384,0.0106,5351.111,4.465e-4,4.465e-4,4.465e-4,22_21:1.987e-2; 22_23:2.758e-2,22_21:640; 22_23:334.222
Q23,30.49,50.24,4.797,-0.33371,8.520e-2,0.1348,0.0356,5351.111,3.547e-3,3.547e-3,3.547e-3,23_26:2.466e-2; 23_22:2.758e-2,23_26:448; 23_22:369.778
