Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,83.23,81.12,4.911,-0.33961,1.200e-2,0.0178,0.0062,5201.778,1.948e-4,1.948e-4,1.948e-4,0_1:2.040e-2,0_1:384
Q1,122.35,18.76,4.835,-0.3245,2.690e-2,0.0434,0.0104,5201.778,5.672e-4,5.672e-4,5.672e-4,1_4:1.048e-2; 1_2:2.479e-2; 1_0:2.040e-2,1_4:526.222; 1_2:568.889; 1_0:419.556
Q2,109.35,118.08,4.982,-0.34,1.620e-2,0.0224,0.01,5201.778,3.291e-4,3.291e-4,3.291e-4,2_3:7.741e-3; 2_1:2.479e-2,2_3:405.333; 2_1:533.333
Q3,101.37,60.08,5.105,-0.33534,9.800e-3,0.013,0.0066,5201.778,3.021e-4,3.021e-4,3.021e-4,3_5:7.049e-3; 3_2:7.741e-3,3_5:398.222; 3_2:369.778
Q4,112.4,127.25,5.004,-0.33834,1.820e-2,0.0266,0.0098,5201.778,2.858e-4,2.858e-4,2.858e-4,4_7:8.175e-3; 4_1:1.048e-2,4_7:391.111; 4_1:561.778
Q5,126.29,107.4,5.033,-0.3374,1.480e-2,0.0196,0.01,5201.778,2.963e-4,2.963e-4,2.963e-4,5_8:9.890e-3; 5_3:7.049e-3,5_8:355.556; 5_3:362.667
Q6,127.88,25.04,4.951,-0.38998,3.890e-2,0.0352,0.0426,5201.778,3.766e-4,3.766e-4,3.766e-4,6_7:2.080e-2,6_7:547.556
Q7,108.91,83.25,4.906,-0.32316,4.900e-2,0.0568,0.0412,5201.778,3.291e-4,3.291e-4,3.291e-4,7_10:1.177e-2; 7_6:2.080e-2; 7_4:8.175e-3,7_10:583.111; 7_6:512; 7_4:355.556
Q8,108.27,96.05,4.908,-0.32449,1.700e-2,0.0214,0.0126,5201.778,5.220e-4,5.220e-4,5.220e-4,8_5:9.890e-3; 8_11:1.080e-2; 8_9:9.666e-3,8_5:391.111; 8_11:483.556; 8_9:405.333
Q9,109.94,70.34,5.045,-0.33805,1.580e-2,0.0268,0.0048,5201.778,4.950e-4,4.950e-4,4.950e-4,9_8:9.666e-3,9_8:369.778
Q10,86.53,88.75,5.082,-0.33695,9.700e-3,0.0164,0.003,5201.778,2.930e-4,2.930e-4,2.930e-4,10_7:1.177e-2; 10_12:2.514e-2,10_7:618.667; 10_12:412.444
Q11,120.3,50.26,5.034,-0.33745,8.400e-3,0.0124,0.0044,5201.778,2.044e-4,2.044e-4,2.044e-4,11_14:5.965e-3; 11_8:1.080e-2,11_14:341.333; 11_8:448
Q12,96.75,156.34,4.972,-0.32198,7.570e-2,0.1376,0.0138,5201.778,3.782e-3,3.782e-3,3.782e-3,12_13:2.947e-2; 12_10:2.514e-2; 12_15:5.981e-2,12_13:391.111; 12_10:376.889; 12_15:405.333
Q13,90.19,76.45,4.868,-0.34049,9.300e-3,0.0146,0.004,5201.778,2.196e-4,2.196e-4,2.196e-4,13_12:2.947e-2; 13_14:8.539e-3,13_12:426.667; 13_14:490.667
Q14,85.17,72.36,4.961,-0.32323,2.100e-2,0.0348,0.0072,5201.778,2.286e-4,2.286e-4,2.286e-4,14_16:1.192e-2; 14_11:5.965e-3; 14_13:8.539e-3,14_16:355.556; 14_11:376.889; 14_13:526.222
Q15,99.21,91.78,5.034,-0.33837,3.250e-2,0.0536,0.0114,5201.778,3.154e-4,3.154e-4,3.154e-4,15_18:1.226e-2; 15_12:5.981e-2,15_18:597.333; 15_12:369.778
