Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,101.65,129.33,5.073,-0.32855,2.690e-2,0.0292,0.0246,3552,1.931e-4,1.931e-4,1.931e-4,0_1:6.695e-3,0_1:419.556
Q1,140.39,35.56,4.944,-0.33124,1.780e-2,0.0188,0.0168,3552,2.268e-4,2.268e-4,2.268e-4,1_2:1.268e-2; 1_4:7.769e-3; 1_0:6.695e-3,1_2:739.556; 1_4:362.667; 1_0:455.111
Q2,127.57,212.65,4.668,-0.33496,1.380e-2,0.0192,0.0084,3552,1.547e-4,1.547e-4,1.547e-4,2_3:5.078e-3; 2_1:1.268e-2,2_3:426.667; 2_1:704
Q3,100,124.07,4.887,-0.33136,2.930e-2,0.0362,0.0224,3552,1.993e-4,1.993e-4,1.993e-4,3_2:5.078e-3; 3_5:6.750e-3,3_2:391.111; 3_5:355.556
Q4,104,138.87,5.016,-0.32887,2.170e-2,0.036,0.0074,3552,3.587e-4,3.587e-4,3.587e-4,4_7:6.753e-3; 4_1:7.769e-3,4_7:341.333; 4_1:327.111
Q5,117.21,135.61,4.951,-0.39107,1.710e-2,0.0254,0.0088,3552,2.769e-4,2.769e-4,2.769e-4,5_8:2.509e-2; 5_3:6.750e-3,5_8:1315.556; 5_3:391.111
Q6,88.38,129.52,4.971,-0.33064,1.480e-2,0.0192,0.0104,3552,2.812e-4,2.812e-4,2.812e-4,6_7:1.342e-2,6_7:241.778
Q7,133,152.91,4.89,-0.33092,2.230e-2,0.0282,0.0164,3552,1.671e-4,1.671e-4,1.671e-4,7_10:6.846e-3; 7_6:1.342e-2; 7_4:6.753e-3,7_10:433.778; 7_6:277.333; 7_4:376.889
Q8,75.82,57.82,4.77,-0.3124,7.390e-2,0.059,0.0888,3552,2.945e-4,2.945e-4,2.945e-4,8_5:2.509e-2; 8_9:1.203e-2; 8_11:8.503e-3,8_5:1351.111; 8_9:689.778; 8_11:590.222
Q9,144.32,55.62,4.949,-0.3302,2.980e-2,0.0338,0.0258,3552,3.010e-4,3.010e-4,3.010e-4,9_8:1.203e-2,9_8:654.222
