Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,73.76,86.62,5.072,-0.3366,3.700e-2,0.058,0.016,4088.889,3.592e-4,3.592e-4,3.592e-4,0_1:1.109e-2,0_1:362.667
Q1,75.04,70.8,5.021,-0.32077,1.700e-2,0.0252,0.0088,4088.889,3.379e-4,3.379e-4,3.379e-4,1_4:2.066e-2; 1_2:1.405e-2; 1_0:1.109e-2,1_4:440.889; 1_2:597.333; 1_0:398.222
Q2,68.03,101.1,4.818,-0.33972,1.580e-2,0.0192,0.0124,4088.889,2.796e-4,2.796e-4,2.796e-4,2_3:1.021e-2; 2_1:1.405e-2,2_3:440.889; 2_1:561.778
Q3,118.71,67.11,4.895,-0.33908,8.800e-3,0.0134,0.0042,4088.889,4.268e-4,4.268e-4,4.268e-4,3_5:1.638e-2; 3_2:1.021e-2,3_5:497.778; 3_2:405.333
Q4,39.68,49.11,5.085,-0.33642,2.150e-2,0.0324,0.0106,4088.889,8.687e-4,8.687e-4,8.687e-4,4_7:1.329e-2; 4_1:2.066e-2,4_7:384; 4_1:405.333
Q5,185.05,30.11,4.804,-0.40566,9.140e-2,0.0692,0.1136,4088.889,4.663e-4,4.663e-4,4.663e-4,5_8:2.748e-2; 5_3:1.638e-2,5_8:497.778; 5_3:533.333
Q6,45.41,58.95,5.202,-0.33491,1.500e-2,0.0258,0.0042,4088.889,3.974e-4,3.974e-4,3.974e-4,6_7:1.026e-2,6_7:277.333
Q7,66.63,38.79,5.142,-0.31876,1.810e-2,0.0232,0.013,4088.889,3.293e-4,3.293e-4,3.293e-4,7_10:7.836e-3; 7_6:1.026e-2; 7_4:1.329e-2,7_10:312.889; 7_6:312.889; 7_4:419.556
Q8,48.17,57.2,5.069,-0.32035,2.830e-2,0.0444,0.0122,4088.889,2.073e-3,2.073e-3,2.073e-3,8_11:1.614e-2; 8_9:1.670e-2; 8_5:2.748e-2,8_11:298.667; 8_9:298.667; 8_5:462.222
Q9,88.71,95.69,5.17,-0.33577,1.330e-2,0.0218,0.0048,4088.889,3.031e-4,3.031e-4,3.031e-4,9_8:1.670e-2,9_8:263.111
