Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,39.72,71.95,5.092,-0.3347,1.730e-2,0.0246,0.01,5351.111,3.631e-4,3.631e-4,3.631e-4,0_1:8.093e-3,0_1:291.556
Q1,61.64,30.68,5.013,-0.3008,6.080e-2,0.0726,0.049,5351.111,3.407e-4,3.407e-4,3.407e-4,1_4:9.954e-3; 1_2:9.007e-3; 1_0:8.093e-3,1_4:412.444; 1_2:497.778; 1_0:327.111
Q2,97.85,62.84,4.863,-0.33913,1.440e-2,0.021,0.0078,5351.111,2.445e-4,2.445e-4,2.445e-4,2_3:8.507e-3; 2_1:9.007e-3,2_3:341.333; 2_1:462.222
Q3,70.7,49.22,5.104,-0.33302,3.100e-2,0.0532,0.0088,5351.111,6.193e-4,6.193e-4,6.193e-4,3_5:7.743e-3; 3_2:8.507e-3,3_5:355.556; 3_2:305.778
Q4,127.59,148.71,5.064,-0.33504,2.130e-2,0.027,0.0156,5351.111,2.719e-4,2.719e-4,2.719e-4,4_7:7.631e-3; 4_1:9.954e-3,4_7:376.889; 4_1:376.889
Q5,103.4,70.69,4.893,-0.33827,1.340e-2,0.0214,0.0054,5351.111,1.761e-4,1.761e-4,1.761e-4,5_8:1.270e-2; 5_3:7.743e-3,5_8:640; 5_3:391.111
Q6,78.15,125.87,4.994,-0.33706,4.350e-2,0.0534,0.0336,5351.111,3.486e-4,3.486e-4,3.486e-4,6_7:1.089e-2,6_7:355.556
Q7,73.13,124.17,4.943,-0.32084,4.070e-2,0.0476,0.0338,5351.111,2.578e-4,2.578e-4,2.578e-4,7_10:1.157e-2; 7_4:7.631e-3; 7_6:1.089e-2,7_10:455.111; 7_4:341.333; 7_6:391.111
Q8,80.72,69.14,4.761,-0.32305,7.510e-2,0.115,0.0352,5351.111,1.112e-3,1.112e-3,1.112e-3,8_5:1.270e-2; 8_11:1.554e-2; 8_9:1.542e-2,8_5:604.444; 8_11:398.222; 8_9:440.889
Q9,123.07,86.63,4.85,-0.33942,2.130e-2,0.0324,0.0102,5351.111,2.205e-4,2.205e-4,2.205e-4,9_8:1.542e-2,9_8:405.333
Q10,91.7,98.48,5.047,-0.33542,2.630e-2,0.0338,0.0188,5351.111,5.378e-4,5.378e-4,5.378e-4,10_12:1.922e-2; 10_7:1.157e-2,10_12:398.222; 10_7:490.667
Q11,139.14,122.4,4.847,-0.33775,2.090e-2,0.0332,0.0086,5351.111,1.908e-4,1.908e-4,1.908e-4,11_8:1.554e-2; 11_14:6.385e-3,11_8:362.667; 11_14:369.778
