Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,87.32,47.93,5.225,-0.33435,4.750e-2,0.0456,0.0494,5351.111,2.284e-4,2.284e-4,2.284e-4,0_1:5.824e-3,0_1:241.778
Q1,115.48,167.95,5.004,-0.32237,7.150e-2,0.115,0.028,5351.111,2.260e-4,2.260e-4,2.260e-4,1_4:8.417e-3; 1_2:2.729e-2; 1_0:5.824e-3,1_4:469.333; 1_2:547.556; 1_0:277.333
Q2,49.18,46.75,5.144,-0.33555,8.680e-2,0.1574,0.0162,5351.111,7.532e-3,7.532e-3,7.532e-3,2_3:3.896e-2; 2_1:2.729e-2,2_3:327.111; 2_1:512
Q3,79.84,178.68,5.21,-0.32951,1.180e-2,0.0178,0.0058,5351.111,5.343e-4,5.343e-4,5.343e-4,3_5:9.837e-3; 3_2:3.896e-2,3_5:376.889; 3_2:362.667
Q4,98.84,118.95,5.088,-0.33615,5.420e-2,0.077,0.0314,5351.111,2.900e-4,2.900e-4,2.900e-4,4_7:8.980e-3; 4_1:8.417e-3,4_7:504.889; 4_1:504.889
Q5,101.21,133.62,5.167,-0.33048,9.500e-3,0.014,0.005,5351.111,6.743e-4,6.743e-4,6.743e-4,5_8:8.223e-3; 5_3:9.837e-3,5_8:348.444; 5_3:341.333
Q6,76.08,61.74,5.152,-0.33622,4.300e-2,0.0594,0.0266,5351.111,4.176e-4,4.176e-4,4.176e-4,6_7:7.569e-3,6_7:298.667
Q7,154.09,233.7,4.915,-0.32245,3.540e-2,0.0558,0.015,5351.111,1.884e-4,1.884e-4,1.884e-4,7_10:9.870e-3; 7_6:7.569e-3; 7_4:8.980e-3,7_10:483.556; 7_6:334.222; 7_4:469.333
Q8,120.6,167.3,5.033,-0.32062,2.060e-2,0.0352,0.006,5351.111,2.741e-4,2.741e-4,2.741e-4,8_9:1.057e-2; 8_5:8.223e-3; 8_11:8.806e-3,8_9:376.889; 8_5:384; 8_11:341.333
Q9,116.19,172.6,5.082,-0.33612,1.010e-2,0.0142,0.006,5351.111,2.288e-4,2.288e-4,2.288e-4,9_8:1.057e-2,9_8:341.333
Q10,105.92,166.46,5.098,-0.33658,4.670e-2,0.0652,0.0282,5351.111,2.097e-4,2.097e-4,2.097e-4,10_12:1.271e-2; 10_7:9.870e-3,10_12:483.556; 10_7:519.111
Q11,39.32,75.89,5.117,-0.33559,1.360e-2,0.0228,0.0044,5351.111,8.131e-4,8.131e-4,8.131e-4,11_8:8.806e-3; 11_14:1.380e-2,11_8:305.778; 11_14:497.778
Q12,156.11,146.33,4.928,-0.32314,1.145e-1,0.167,0.062,5351.111,1.688e-3,1.688e-3,1.688e-3,12_15:1.643e-2; 12_13:2.568e-2; 12_10:1.271e-2,12_15:419.556; 12_13:419.556; 12_10:448
